cik,sic,sic2
0000108516,3310,33
0000108985,4941,49
0000109177,3690,36
0000109563,5080,50
0000110471,3140,31
0000202058,3812,38
0000205402,5063,50
0000215466,1040,10
0000216228,3561,35
0000216877,7000,70
0000275053,2834,28
0000275880,7373,73
0000276720,4941,49
0000277135,5000,50
0000277509,3711,37
0000277638,0700,07
0000277948,4011,40
0000278165,7373,73
0000310142,2860,28
0000310764,3841,38
0000312257,5141,51
0000313616,3823,38
0000313927,2840,28
0000314203,1040,10
0000314227,2860,28
0000314808,1381,13
0000315213,7363,73
0000315293,6411,64
0000315374,3823,38
0000315958,7320,73
0000317540,2086,20
0000318154,2836,28
0000318300,6022,60
0000318833,7600,76
0000320121,7373,73
0000320193,3571,35
0000350698,5500,55
0000350894,6211,62
0000351998,3825,38
0000352541,4931,49
0000352915,8062,80
0000352955,1311,13
0000352991,6500,65
0000354707,4911,49
0000354950,5211,52
0000354963,4813,48
0000355811,3714,37
0000355948,5065,50
0000356037,7373,73
0000356309,4924,49
0000700923,1623,16
0000701719,5944,59
0000701985,5990,59
0000702165,4011,40
0000703351,5812,58
0000703604,5080,50
0000704440,3841,38
0000704532,3829,38
0000706698,3841,38
0000707549,3559,35
0000708821,3578,35
0000709005,5812,58
0000711377,2835,28
0000711404,3851,38
0000712034,2780,27
0000714256,3842,38
0000715787,2273,22
0000715957,4911,49
0000716133,4813,48
0000716634,7830,78
0000716643,7200,72
0000717423,1311,13
0000717605,2821,28
0000717954,7200,72
0000718332,5140,51
0000718937,3851,38
0000719135,3841,38
0000719733,3672,36
0000719955,5700,57
0000720154,8731,87
0000720515,4911,49
0000721693,7389,73
0000722313,3679,36
0000722572,3661,36
0000723125,3674,36
0000723254,2320,23
0000723531,8700,87
0000725394,7363,73
0000727273,4941,49
0000727346,6798,67
0000727510,2836,28
0000728385,3829,38
0000728391,4911,49
0000729580,3677,36
0000730349,2024,20
0000730464,8200,82
0000731766,6324,63
0000731802,4924,49
0000732712,4813,48
0000732717,4813,48
0000732834,1311,13
0000733590,6798,67
0000737758,3524,35
0000744218,2835,28
0000744825,8071,80
0000745308,6552,65
0000745732,5651,56
0000746514,6513,65
0000746515,4731,47
0000746598,3990,39
0000746838,7373,73
0000747540,5065,50
0000748268,7372,73
0000749251,8741,87
0000750004,7373,73
0000751365,2531,25
0000751978,3679,36
0000752714,7359,73
0000755001,4931,49
0000761648,6798,67
0000763744,3714,37
0000764065,1000,10
0000764180,2111,21
0000764622,4911,49
0000764630,3690,36
0000766421,4512,45
0000766792,3559,35
0000766829,4941,49
0000769397,7372,73
0000769520,3580,35
0000771266,3674,36
0000771497,7340,73
0000771999,2650,26
0000773840,3724,37
0000775158,3711,37
0000778164,2860,28
0000779152,7373,73
0000779544,5812,58
0000780571,3825,38
0000783325,4931,49
0000784199,3841,38
0000784539,5065,50
0000784977,4911,49
0000785786,3672,36
0000787250,4931,49
0000788329,3949,39
0000788784,4931,49
0000788816,4911,49
0000788920,3841,38
0000788965,4911,49
0000789019,7372,73
0000789460,5172,51
0000789570,7011,70
0000789933,1221,12
0000790051,3060,30
0000790526,8071,80
0000790816,6798,67
0000791908,2834,28
0000791963,6211,62
0000792987,3531,35
0000793074,4213,42
0000793171,2836,28
0000793306,1311,13
0000793524,6794,67
0000793952,3751,37
0000794367,5311,53
0000795403,3490,34
0000796343,7372,73
0000796505,3661,36
0000798081,3842,38
0000798354,7389,73
0000798359,6798,67
0000798783,6798,67
0000799233,4213,42
0000799288,5651,56
0000799292,1531,15
0000801337,6021,60
0000802481,2015,20
0000803578,7372,73
0000804328,3663,36
0000805928,3845,38
0000807863,3577,35
0000807882,5812,58
0000810136,3674,36
0000810332,4512,45
0000811156,4931,49
0000811222,8011,80
0000811596,3350,33
0000811641,2835,28
0000812011,7990,79
0000812074,3221,32
0000813298,5651,56
0000813672,7372,73
0000813716,2080,20
0000814453,3089,30
0000814547,7389,73
0000814586,2020,20
0000814676,3260,32
0000815097,4400,44
0000815556,5200,52
0000816761,7372,73
0000817720,3674,36
0000818479,3843,38
0000818686,2834,28
0000819793,2221,22
0000820313,3678,36
0000821130,4812,48
0000821189,1311,13
0000821483,1311,13
0000822370,2834,28
0000822818,4955,49
0000823277,5150,51
0000823768,4953,49
0000825542,2870,28
0000827052,4911,49
0000827099,4931,49
0000827187,2510,25
0000828146,3577,35
0000829224,5810,58
0000829323,7310,73
0000831259,1000,10
0000831641,8711,87
0000832101,3561,35
0000832428,4833,48
0000832988,5944,59
0000833640,3674,36
0000835011,5180,51
0000836157,3523,35
0000837465,3949,39
0000838875,2080,20
0000839087,3845,38
0000842023,2836,28
0000842162,3714,37
0000842633,3460,34
0000843006,8742,87
0000844059,6500,65
0000844985,3845,38
0000845819,4899,48
0000846913,3564,35
0000849145,7389,73
0000849146,2834,28
0000849395,3241,32
0000851205,3823,38
0000851310,3663,36
0000851520,8742,87
0000851968,2273,22
0000853816,4213,42
0000854775,3576,35
0000855658,3674,36
0000856982,3841,38
0000856984,3841,38
0000857005,7372,73
0000858470,1311,13
0000858877,3576,35
0000860731,7372,73
0000861459,1600,16
0000861884,5051,50
0000862651,7389,73
0000862861,6221,62
0000863110,4941,49
0000863436,3672,36
0000864749,3829,38
0000865752,2086,20
0000866273,1700,17
0000866729,2731,27
0000866787,5531,55
0000866829,1389,13
0000867038,1311,13
0000867840,3845,38
0000868278,2834,28
0000868780,3714,37
0000868857,8711,87
0000871763,7363,73
0000872589,2834,28
0000872912,3841,38
0000873303,2834,28
0000874015,2834,28
0000874238,1600,16
0000874396,3420,34
0000874499,1311,13
0000874716,2835,28
0000875320,2834,28
0000875355,0100,01
0000875582,3470,34
0000875657,3690,36
0000876167,7372,73
0000876343,2836,28
0000876523,5900,59
0000876883,7311,73
0000877212,3560,35
0000879101,6798,67
0000879169,8731,87
0000879407,2834,28
0000879526,3715,37
0000879585,4813,48
0000880117,2060,20
0000880266,3523,35
0000880631,6211,62
0000880984,8711,87
0000882095,2836,28
0000882508,3674,36
0000882835,3823,38
0000883107,2844,28
0000883237,6282,62
0000883241,7372,73
0000883569,3873,38
0000883902,3448,34
0000883984,3841,38
0000884144,7373,73
0000884614,4932,49
0000884624,3841,38
0000884887,4400,44
0000885245,5651,56
0000885307,5211,52
0000885508,6552,65
0000885568,4911,49
0000885590,2834,28
0000885639,5311,53
0000885725,3841,38
0000885978,8000,80
0000886128,3620,36
0000886163,2834,28
0000886206,8741,87
0000886346,3550,35
0000886744,2834,28
0000887359,2836,28
0000887396,1311,13
0000887596,5812,58
0000887733,5190,51
0000887905,6798,67
0000887936,8742,87
0000888981,3944,39
0000889348,3728,37
0000889900,1381,13
0000890564,7363,73
0000891014,2810,28
0000891103,7370,73
0000891482,7011,70
0000891532,4955,49
0000892553,3443,34
0000893538,1311,13
0000894405,4213,42
0000894556,2800,28
0000894627,1311,13
0000894871,4841,48
0000895126,1311,13
0000895417,6798,67
0000895419,3674,36
0000895447,5661,56
0000896156,2511,25
0000896264,2833,28
0000896429,3578,35
0000896622,3089,30
0000896878,7372,73
0000897077,3523,35
0000897448,2834,28
0000897723,3672,36
0000898173,5531,55
0000898293,3672,36
0000898437,3841,38
0000899460,2834,28
0000899629,6798,67
0000899751,3312,33
0000899923,2835,28
0000901491,5812,58
0000903129,3714,37
0000906553,7011,70
0000906709,2834,28
0000907254,6798,67
0000908255,3714,37
0000908315,5900,59
0000908937,4832,48
0000909724,3100,31
0000909832,5331,53
0000910329,2090,20
0000910406,2000,20
0000910606,6798,67
0000910638,7372,73
0000911147,7011,70
0000911177,4953,49
0000912061,5190,51
0000912093,3674,36
0000912562,3310,33
0000912615,5651,56
0000912728,4731,47
0000912766,8200,82
0000913142,3357,33
0000913241,3140,31
0000913277,3949,39
0000914156,3841,38
0000914208,6282,62
0000914475,2836,28
0000915840,1531,15
0000915912,6798,67
0000915913,2821,28
0000916076,1400,14
0000916365,5200,52
0000916540,2070,20
0000917251,6798,67
0000917520,3841,38
0000918541,3540,35
0000918965,5045,50
0000919012,5651,56
0000920148,8071,80
0000920371,3420,34
0000920522,6798,67
0000921082,6798,67
0000921299,2834,28
0000921582,3861,38
0000921638,6795,67
0000922224,4911,49
0000922358,5900,59
0000922621,6411,64
0000923120,3743,37
0000923601,7373,73
0000923796,1520,15
0000924168,3640,36
0000924719,3272,32
0000926282,3661,36
0000926326,3571,35
0000926423,3812,38
0000927003,3679,36
0000927066,8090,80
0000928054,2890,28
0000928340,4941,49
0000929008,5063,50
0000929351,7812,78
0000930420,7363,73
0000931015,3790,37
0000931148,3620,36
0000932021,3663,36
0000932696,5961,59
0000933034,3714,37
0000933036,7359,73
0000933972,3621,36
0000933974,3559,35
0000934549,6794,67
0000934612,4011,40
0000935036,7372,73
0000935419,5812,58
0000935703,5331,53
0000936395,3661,36
0000936468,3760,37
0000937556,3845,38
0000939767,2836,28
0000940944,5812,58
0000943452,3743,37
0000943819,3841,38
0000944075,3571,35
0000944695,6331,63
0000944809,2834,28
0000945114,5084,50
0000945841,5090,50
0000945983,5045,50
0000946563,3841,38
0000946644,2836,28
0000948320,8011,80
0000948708,7372,73
0000949157,3334,33
0000949870,2082,20
0001000228,5047,50
0001000623,2621,26
0001000694,2836,28
0001000697,3826,38
0001000753,7363,73
0001001115,3829,38
0001001233,2836,28
0001001250,2844,28
0001001316,2834,28
0001001614,1311,13
0001001838,1000,10
0001002590,5990,59
0001002638,7373,73
0001002910,4931,49
0001003078,5084,50
0001004724,6519,65
0001004980,4931,49
0001005101,6199,61
0001005210,5900,59
0001005284,3670,36
0001005757,7374,73
0001006028,2890,28
0001006045,3845,38
0001006281,2836,28
0001006655,1311,13
0001006837,3440,34
0001007019,2090,20
0001007587,4899,48
0001009829,3944,39
0001009891,3728,37
0001010086,2834,28
0001012019,5500,55
0001013237,7370,73
0001013488,5812,58
0001013857,7374,73
0001013871,4911,49
0001013880,7363,73
0001013934,8200,82
0001014473,7371,73
0001014739,8082,80
0001014763,3577,35
0001016281,7200,72
0001017303,3577,35
0001017655,7389,73
0001018164,5080,50
0001018724,5961,59
0001018840,5651,56
0001018963,3317,33
0001019849,5500,55
0001020214,3841,38
0001020569,6798,67
0001020710,5084,50
0001020859,5141,51
0001021561,5122,51
0001021635,4911,49
0001021860,3533,35
0001021917,6512,65
0001022079,8071,80
0001022321,4610,46
0001022505,7374,73
0001022652,3669,36
0001022671,3312,33
0001023024,2834,28
0001023128,5500,55
0001023313,8700,87
0001023459,7373,73
0001023994,5030,50
0001024305,2844,28
0001024478,3829,38
0001024795,3490,34
0001026655,3089,30
0001027838,3841,38
0001029199,6099,60
0001030192,1040,10
0001030894,3672,36
0001031203,5500,55
0001031235,6798,67
0001031296,4911,49
0001031308,7372,73
0001032220,7389,73
0001034054,6798,67
0001034670,3714,37
0001034760,7373,73
0001034842,2834,28
0001035201,4941,49
0001035267,3842,38
0001035983,1731,17
0001036044,3577,35
0001037868,3823,38
0001037976,6531,65
0001038074,3674,36
0001038277,3823,38
0001039280,7372,73
0001039399,3674,36
0001039684,4923,49
0001040470,3825,38
0001040829,6798,67
0001040896,7372,73
0001040971,6798,67
0001041061,5812,58
0001041514,6099,60
0001041803,5331,53
0001041859,5651,56
0001041934,3845,38
0001042046,6331,63
0001042893,3533,35
0001043277,4731,47
0001043337,3714,37
0001043509,5500,55
0001043961,3826,38
0001044777,7373,73
0001045450,6798,67
0001045609,6798,67
0001045810,3674,36
0001046102,7389,73
0001046257,2040,20
0001046311,7011,70
0001046568,8200,82
0001047127,3674,36
0001047335,8051,80
0001047340,0100,01
0001047862,4931,49
0001048268,1731,17
0001048286,7011,70
0001048477,2834,28
0001048695,3576,35
0001048911,4513,45
0001049502,3823,38
0001049521,3670,36
0001049606,3420,34
0001050377,5045,50
0001050446,6199,61
0001050797,2300,23
0001050915,1731,17
0001051470,6798,67
0001051512,4813,48
0001051627,3674,36
0001052752,6500,65
0001053507,6798,67
0001053706,8111,81
0001054102,3841,38
0001054905,2800,28
0001056288,6282,62
0001056358,2833,28
0001056696,7372,73
0001056903,4941,49
0001057060,5531,55
0001057352,7389,73
0001057379,8742,87
0001058090,5812,58
0001058290,7371,73
0001058623,4832,48
0001059556,7320,73
0001060391,4953,49
0001060822,2300,23
0001060955,8731,87
0001061069,4953,49
0001061219,4922,49
0001061983,2834,28
0001062231,3714,37
0001062822,2834,28
0001063761,6798,67
0001064728,1221,12
0001065059,1400,14
0001065088,7389,73
0001065280,7841,78
0001065696,5010,50
0001066194,7372,73
0001066923,7389,73
0001067294,5812,58
0001067701,7359,73
0001068148,3460,34
0001068689,7372,73
0001069183,3480,34
0001069202,3585,35
0001069258,3760,37
0001069394,2890,28
0001069533,4923,49
0001069878,2400,24
0001069899,2834,28
0001070050,7372,73
0001070081,2834,28
0001070423,4610,46
0001070494,2834,28
0001070750,6798,67
0001071739,6324,63
0001072379,2834,28
0001072627,6331,63
0001075531,4700,47
0001075736,4813,48
0001076930,3690,36
0001078271,3576,35
0001080014,2834,28
0001080340,6798,67
0001080657,6798,67
0001081316,4900,49
0001081745,7372,73
0001081938,2834,28
0001082554,2834,28
0001083301,6199,61
0001083446,8742,87
0001083490,6513,65
0001083522,2080,20
0001084048,4822,48
0001084267,7310,73
0001084765,7389,73
0001084869,5990,59
0001084961,6153,61
0001084991,1389,13
0001085277,2834,28
0001085392,4911,49
0001086600,1221,12
0001087294,2834,28
0001088034,6099,60
0001088413,3559,35
0001088856,2834,28
0001089063,5940,59
0001089819,4911,49
0001089872,7812,78
0001090396,7990,79
0001090727,4210,42
0001090872,3826,38
0001091667,4841,48
0001092699,7372,73
0001093557,3841,38
0001093691,3620,36
0001094285,3812,38
0001095146,6199,61
0001095565,7370,73
0001095651,6798,67
0001095981,3841,38
0001096056,2810,28
0001096275,3714,37
0001096343,6331,63
0001096752,2844,28
0001097149,3842,38
0001097864,3674,36
0001098009,2834,28
0001098972,2836,28
0001099160,4832,48
0001099219,6311,63
0001099369,7372,73
0001099590,7389,73
0001099800,3842,38
0001100682,8731,87
0001101239,6798,67
0001101302,3089,30
0001101433,7389,73
0001102238,6510,65
0001102993,7372,73
0001103982,2000,20
0001104038,6199,61
0001104485,1311,13
0001104506,2834,28
0001104657,3460,34
0001106644,2834,28
0001107843,7372,73
0001108109,8062,80
0001108426,4911,49
0001108524,7372,73
0001109116,4833,48
0001109242,6021,60
0001109262,5960,59
0001109354,3826,38
0001109357,4931,49
0001109448,6282,62
0001110607,3533,35
0001110803,3826,38
0001111485,3851,38
0001111711,4931,49
0001111741,1000,10
0001111928,3674,36
0001113169,6282,62
0001113232,3559,35
0001114483,3845,38
0001114925,3576,35
0001114936,7372,73
0001114995,3679,36
0001116132,3100,31
0001116463,3841,38
0001116942,3672,36
0001117057,2030,20
0001117171,3690,36
0001117297,7389,73
0001119643,2833,28
0001120193,6200,62
0001120970,2860,28
0001121484,3533,35
0001121788,3812,38
0001122904,3576,35
0001122976,2821,28
0001123360,7389,73
0001123494,3826,38
0001124105,2834,28
0001124198,1600,16
0001124524,2834,28
0001124796,3674,36
0001125345,2834,28
0001125376,8051,80
0001127475,7389,73
0001127537,3841,38
0001128928,2000,20
0001130310,4911,49
0001130464,4911,49
0001130713,5961,59
0001132105,5940,59
0001133062,7389,73
0001133311,7310,73
0001133421,3812,38
0001136869,3842,38
0001136893,7389,73
0001137091,3510,35
0001137789,3572,35
0001138118,6500,65
0001138476,8090,80
0001138723,3841,38
0001139685,8734,87
0001140102,7363,73
0001140215,2086,20
0001140536,6411,64
0001140859,5122,51
0001141103,7363,73
0001141197,1311,13
0001141284,3669,36
0001141391,7389,73
0001142417,4833,48
0001142750,7363,73
0001144215,3640,36
0001144879,7374,73
0001144980,5500,55
0001145197,3841,38
0001145255,6282,62
0001145986,5030,50
0001156039,6324,63
0001156041,1311,13
0001156375,6200,62
0001157408,8200,82
0001157601,2834,28
0001158114,3674,36
0001158172,7389,73
0001158449,5531,55
0001158463,4512,45
0001158780,2836,28
0001159036,2836,28
0001160420,2833,28
0001160791,1040,10
0001162194,2834,28
0001163609,2070,20
0001163739,1381,13
0001165002,6282,62
0001166003,4700,47
0001166691,4841,48
0001166708,3949,39
0001167419,6199,61
0001169138,7389,73
0001169445,7371,73
0001171155,4731,47
0001171326,8742,87
0001171759,5812,58
0001173489,7370,73
0001173514,3537,35
0001175454,7389,73
0001176334,5171,51
0001177394,5045,50
0001177609,5331,53
0001177648,2834,28
0001177702,4213,42
0001179929,6324,63
0001180262,5122,51
0001185348,6153,61
0001190370,2390,23
0001192448,3841,38
0001193311,4911,49
0001196298,3841,38
0001200375,2860,28
0001201792,8200,82
0001206264,2510,25
0001210677,7374,73
0001210708,7363,73
0001211583,2836,28
0001211805,7372,73
0001213037,2836,28
0001213809,2836,28
0001217234,8071,80
0001218683,6199,61
0001219601,3411,34
0001224133,7372,73
0001224608,6321,63
0001227636,3841,38
0001227654,1400,14
0001228627,2834,28
0001230058,6552,65
0001230524,8742,87
0001232524,2834,28
0001232582,6798,67
0001235468,7389,73
0001235912,3841,38
0001236275,5030,50
0001237831,3841,38
0001254699,5961,59
0001257640,2810,28
0001260221,3728,37
0001261333,7372,73
0001261654,8200,82
0001262039,3577,35
0001262823,2860,28
0001262976,2750,27
0001265521,2834,28
0001267565,2834,28
0001269026,3841,38
0001270436,6211,62
0001271833,4841,48
0001272842,3663,36
0001274494,3674,36
0001274737,8071,80
0001275158,5812,58
0001275187,3841,38
0001276187,4922,49
0001278021,6211,62
0001278027,2000,20
0001280058,7372,73
0001280263,3674,36
0001280452,3674,36
0001282224,7200,72
0001282637,2860,28
0001282648,1311,13
0001283699,4812,48
0001285550,3841,38
0001285785,2870,28
0001286139,7374,73
0001286613,8200,82
0001286681,5140,51
0001287098,8731,87
0001287213,3531,35
0001288403,1311,13
0001288469,3674,36
0001288847,7374,73
0001289340,3845,38
0001289419,6282,62
0001289460,5812,58
0001289490,6798,67
0001289848,8742,87
0001289945,4812,48
0001290900,3714,37
0001294133,3842,38
0001295514,2080,20
0001297184,2834,28
0001297937,7990,79
0001297989,7389,73
0001297996,6798,67
0001299130,3826,38
0001299969,6500,65
0001300514,7011,70
0001301787,5031,50
0001304161,8742,87
0001306830,2820,28
0001307748,6798,67
0001307954,2800,28
0001308027,3060,30
0001308208,4213,42
0001308547,6794,67
0001309108,7389,73
0001309402,2860,28
0001310383,6798,67
0001310630,2833,28
0001311370,6282,62
0001314102,3826,38
0001314196,7389,73
0001314727,3651,36
0001315061,1382,13
0001315098,7372,73
0001315257,2400,24
0001316835,5211,52
0001317630,4911,49
0001317685,3580,35
0001317945,3430,34
0001318008,5600,56
0001318220,4953,49
0001318484,5600,56
0001318605,3711,37
0001319161,7900,79
0001319947,5661,56
0001320350,3841,38
0001320414,8060,80
0001320760,8742,87
0001320854,3743,37
0001321655,7372,73
0001321732,3841,38
0001323468,5171,51
0001323885,3841,38
0001324404,2870,28
0001324424,4700,47
0001324759,2821,28
0001325618,3841,38
0001325702,3674,36
0001325964,3080,30
0001326110,2836,28
0001326200,4412,44
0001326205,2834,28
0001326380,5734,57
0001326706,3842,38
0001326732,2834,28
0001326801,7370,73
0001327567,3577,35
0001327811,7374,73
0001327978,6798,67
0001328581,5030,50
0001329606,4924,49
0001332174,6221,62
0001332349,8050,80
0001333274,2611,26
0001333493,6411,64
0001333822,3674,36
0001334036,3021,30
0001334325,3812,38
0001334978,7310,73
0001335258,7900,79
0001336047,4922,49
0001336920,7373,73
0001337013,3841,38
0001337298,2860,28
0001337634,7990,79
0001338474,1382,13
0001339005,3841,38
0001340476,7372,73
0001341439,7372,73
0001341766,2086,20
0001342423,0100,01
0001342916,1000,10
0001342958,3663,36
0001345016,7200,72
0001345126,2510,25
0001347178,2834,28
0001348362,2834,28
0001349436,1311,13
0001349706,3690,36
0001350102,3674,36
0001350593,3490,34
0001351636,7372,73
0001352010,7371,73
0001352190,1382,13
0001352952,7389,73
0001354866,3690,36
0001355096,5961,59
0001355790,2834,28
0001355839,7370,73
0001355848,7812,78
0001356090,2834,28
0001356115,6798,67
0001356576,2834,28
0001357615,1600,16
0001357671,4522,45
0001357874,2836,28
0001360214,2834,28
0001360442,7200,72
0001360565,7372,73
0001361538,1623,16
0001361658,7011,70
0001362004,8742,87
0001362190,7372,73
0001362468,4512,45
0001364397,1382,13
0001364954,8200,82
0001365135,7389,73
0001366868,4899,48
0001367644,2834,28
0001367993,7380,73
0001368265,4932,49
0001368458,5990,59
0001368514,2836,28
0001368757,6798,67
0001369290,3842,38
0001369568,2834,28
0001370053,2834,28
0001370450,8711,87
0001370637,7389,73
0001370946,3290,32
0001371285,6324,63
0001371451,2860,28
0001371489,8742,87
0001372299,2836,28
0001372612,7372,73
0001373715,7372,73
0001374567,2510,25
0001374881,5090,50
0001375365,3571,35
0001376139,2911,29
0001376231,7372,73
0001376321,7370,73
0001376339,3841,38
0001376793,0700,07
0001377149,3663,36
0001377630,7310,73
0001378325,3845,38
0001378590,7372,73
0001378950,5531,55
0001380106,3826,38
0001381531,2621,26
0001382101,2836,28
0001382574,2834,28
0001383312,7389,73
0001383650,4924,49
0001384101,8071,80
0001384195,1311,13
0001384905,7374,73
0001385157,5065,50
0001385662,1382,13
0001385818,2834,28
0001385849,1400,14
0001386044,6163,61
0001386278,6199,61
0001386301,7389,73
0001386570,2833,28
0001387467,3674,36
0001388295,7374,73
0001388658,3841,38
0001389170,4922,49
0001391135,2834,28
0001392380,2860,28
0001392694,4813,48
0001393052,7372,73
0001393311,6798,67
0001393434,2834,28
0001393584,7389,73
0001393781,3590,35
0001393883,7389,73
0001394056,3571,35
0001394638,8200,82
0001395937,2834,28
0001395942,5500,55
0001396009,1400,14
0001396536,7372,73
0001396814,2834,28
0001397016,3827,38
0001397183,7372,73
0001397187,2300,23
0001398659,8742,87
0001398733,2834,28
0001398805,3690,36
0001399520,5812,58
0001400891,4832,48
0001401257,3533,35
0001401521,6331,63
0001401667,2834,28
0001401914,2834,28
0001402057,5961,59
0001402328,2834,28
0001402436,7372,73
0001402829,1600,16
0001403161,7389,73
0001403568,5990,59
0001404655,7372,73
0001404804,3714,37
0001405495,6794,67
0001406666,4899,48
0001407704,7900,79
0001408075,2650,26
0001408198,7389,73
0001408710,3661,36
0001409171,5990,59
0001409947,1382,13
0001410098,2834,28
0001410384,7372,73
0001410428,7200,72
0001410636,4941,49
0001411057,8731,87
0001411207,3714,37
0001411579,7830,78
