cik,sic2,op_income_loss_cy2025q1,revenues_cy2025q1,revenues_cy2026q1,opmargin_cy2025q1_level,prior_year_opmargin_level_rank,gross_profit_cy2025q1,gross_profit_cy2026q1,ocf_cy2025q1,ocf_cy2026q1,assets_cy2024q4i,assets_cy2025q1i,assets_cy2025q4i,assets_cy2026q1i
0000007623,35,2485.00,5140955.00,6640285.00,0.000483,855.0,1496509.00,1911460.00,-101805.00,148395.00,21240684.00,21004594.00,22477555.00,24563832.00
0000008063,37,13137000.00,205936000.00,230619000.00,0.063792,1651.0,60849000.00,75133000.00,20642000.00,10606000.00,648764000.00,662242000.00,706678000.00,747143000.00
0000008146,35,571000.00,37708000.00,39364000.00,0.015143,850.0,11951000.00,14425000.00,4395000.00,3021000.00,145595000.00,150324000.00,137566000.00,139856000.00
0000008858,50,143251000.00,5315423000.00,7119779000.00,0.026950,2187.0,587853000.00,739061000.00,,,11942931000.00,11712330000.00,13153175000.00,13489294000.00
0000009092,38,49425000.00,222211000.00,202277000.00,0.222424,1070.0,95437000.00,84327000.00,33027000.00,33893000.00,816413000.00,899596000.00,973577000.00,970808000.00
0000009326,28,51015000.00,250519000.00,270709000.00,0.203637,180.0,88168000.00,101084000.00,36457000.00,40061000.00,1575371000.00,1617555000.00,1686252000.00,1693742000.00
0000010048,13,773000.00,3569000.00,2535000.00,0.216587,1786.0,,,,,26010000.00,24377000.00,21467000.00,21547000.00
0000010329,25,2455000.00,82162000.00,80340000.00,0.029880,2408.0,46830000.00,45165000.00,-52000.00,-5468000.00,341170000.00,335786000.00,323819000.00,316154000.00
0000010456,38,58000000.00,2625000000.00,2701000000.00,0.022095,1178.0,861000000.00,891000000.00,-193000000.00,213000000.00,25782000000.00,21304000000.00,20055000000.00,19846000000.00
0000010795,38,383000000.00,4480000000.00,4714000000.00,0.085491,1137.0,,,,,54665000000.00,54467000000.00,54841000000.00,50832000000.00
0000012040,58,3516000.00,53359000.00,56515000.00,0.065893,2431.0,,,,,146876000.00,143307000.00,142071000.00,144763000.00
0000012208,38,23700000.00,585400000.00,592100000.00,0.040485,1166.0,306000000.00,309400000.00,129900000.00,108100000.00,9364100000.00,9526900000.00,10576500000.00,9790000000.00
0000012239,62,-32882000.00,7240000.00,35805000.00,-4.541713,2685.0,,,1235000.00,-28942000.00,47125000.00,52335000.00,112907000.00,85320000.00
0000012927,37,461000000.00,19496000000.00,22217000000.00,0.023646,1664.0,2417000000.00,2546000000.00,-1616000000.00,-179000000.00,156363000000.00,156494000000.00,168235000000.00,164787000000.00
0000013156,79,1975296.00,7784933.00,7662561.00,0.253733,945.0,,,1168692.00,2544086.00,41010731.00,27816794.00,27500619.00,27042819.00
0000014177,20,-3187000.00,50639000.00,50044000.00,-0.062936,2085.0,11071000.00,8781000.00,,,153376000.00,152443000.00,144605000.00,145341000.00
0000014846,67,-2731000.00,24106000.00,24605000.00,-0.113291,918.0,,,246000.00,2086000.00,713463000.00,703913000.00,709813000.00,698409000.00
0000014930,35,56300000.00,1221800000.00,1378100000.00,0.046080,829.0,,,-27400000.00,-64100000.00,5677700000.00,5857000000.00,5312200000.00,5505800000.00
0000015357,20,-138129.00,308464.00,427061.00,-0.447796,2430.0,76105.00,158036.00,,,1472820.00,1414133.00,1378672.00,1337350.00
0000015615,16,36189000.00,2847718000.00,3828801000.00,0.012708,2394.0,,,78365000.00,98854000.00,8975275000.00,8861938000.00,9923542000.00,10441515000.00
0000016040,28,162000000.00,936000000.00,904000000.00,0.173077,185.0,241000000.00,210000000.00,,,3642000000.00,3784000000.00,3757000000.00,3897000000.00
0000016058,73,196369000.00,2166982000.00,2351002000.00,0.090619,1271.0,,,,,8548499000.00,8580078000.00,8933289000.00,11602847000.00
0000016160,02,635670000.00,1417685000.00,666951000.00,0.448386,2467.5,716115000.00,119283000.00,,,2490099000.00,3081569000.00,3144064000.00,3139261000.00
0000016732,20,161000000.00,2475000000.00,2366000000.00,0.065051,2023.0,,,,,15910000000.00,14828000000.00,15348000000.00,15142000000.00
0000017843,33,137800000.00,727000000.00,811500000.00,0.189546,2342.0,200800000.00,251800000.00,,,3326700000.00,3361800000.00,3504300000.00,3679100000.00
0000018230,35,2579000000.00,14249000000.00,17415000000.00,0.180995,766.0,,,1289000000.00,1870000000.00,87764000000.00,84974000000.00,98585000000.00,95550000000.00
0000018255,56,3443000.00,170242000.00,171104000.00,0.020224,2354.0,,,3868000.00,8049000.00,452361000.00,440806000.00,421419000.00,439180000.00
0000018498,56,-28145000.00,473973000.00,487025000.00,-0.059381,2472.0,221181000.00,228919000.00,-101036000.00,-102772000.00,1335536000.00,1404591000.00,1392978000.00,1384029000.00
0000018926,48,107000000.00,3182000000.00,2899000000.00,0.033627,29.0,,,1095000000.00,1323000000.00,33496000000.00,33538000000.00,34342000000.00,30622000000.00
0000019584,80,94758000.00,646943000.00,657513000.00,0.146470,974.0,,,32744000.00,88219000.00,1668575000.00,1726515000.00,1538189000.00,1535815000.00
0000019745,49,86800000.00,298700000.00,353100000.00,0.290593,1889.0,,,85000000.00,118000000.00,3577000000.00,3664600000.00,3994800000.00,4095900000.00
0000019871,35,409694.00,7245635.00,6851517.00,0.056544,822.0,1657741.00,958459.00,-2020548.00,-649487.00,23370174.00,24071057.00,23301439.00,23869377.00
0000020212,79,135000000.00,643000000.00,663000000.00,0.209953,946.0,,,247000000.00,295000000.00,7275900000.00,7347100000.00,7485000000.00,7485000000.00
0000021344,20,3659000000.00,11129000000.00,12472000000.00,0.328781,1877.0,6966000000.00,7852000000.00,-5202000000.00,2021000000.00,100549000000.00,101716000000.00,104816000000.00,104217000000.00
0000021665,28,1076000000.00,4911000000.00,5324000000.00,0.219100,178.0,2987000000.00,3226000000.00,600000000.00,747000000.00,16046000000.00,16647000000.00,16330000000.00,16610000000.00
0000022701,17,-2167348.00,12636638.00,7194449.00,-0.171513,2562.0,4431325.00,1591248.00,-3403349.00,-5164097.00,45712732.00,44427672.00,48244120.00,40120052.00
0000023194,13,126168000.00,512854000.00,587354000.00,0.246012,1776.0,,,174746000.00,271965000.00,6382097000.00,6601547000.00,7007062000.00,7239696000.00
0000023197,36,-1532000.00,126787000.00,106004000.00,-0.012083,598.0,38945000.00,36066000.00,,,770561000.00,751144000.00,703829000.00,693483000.00
0000023217,20,239400000.00,2841000000.00,2787800000.00,0.084266,2011.0,710300000.00,657700000.00,,,21018100000.00,20744500000.00,19540300000.00,19212300000.00
0000023795,67,7873000.00,35811000.00,41173000.00,0.219849,854.0,26920000.00,31005000.00,10311000.00,14604000.00,1181644000.00,1243903000.00,1263902000.00,1299667000.00
0000024741,33,445000000.00,3452000000.00,4144000000.00,0.128911,2419.0,1214000000.00,1528000000.00,151000000.00,362000000.00,27735000000.00,27394000000.00,30976000000.00,31253000000.00
0000025232,67,165228000.00,250328000.00,263109000.00,0.660046,716.0,,,44758000.00,40460000.00,8802146000.00,8663360000.00,8890132000.00,9087843000.00
0000025445,34,37300000.00,330300000.00,387700000.00,0.112928,2170.0,,,-19100000.00,-14000000.00,2386500000.00,2428700000.00,3116400000.00,3640400000.00
0000025743,28,-1281000.00,393000.00,724000.00,-3.259542,366.0,,,,,38822000.00,38236000.00,37656000.00,37581000.00
0000026058,36,16285000.00,125769000.00,139230000.00,0.129483,549.0,46549000.00,54986000.00,15518000.00,17295000.00,765427000.00,765528000.00,764311000.00,777155000.00
0000026172,35,1134000000.00,8174000000.00,8398000000.00,0.138733,792.0,2155000000.00,2243000000.00,-3000000.00,309000000.00,31540000000.00,32531000000.00,33992000000.00,34445000000.00
0000026324,35,129205000.00,805645000.00,913687000.00,0.160375,778.0,292464000.00,331483000.00,-38765000.00,-5655000.00,4985704000.00,4951791000.00,5221292000.00,5270081000.00
0000026780,37,8000000.00,1781000000.00,1868000000.00,0.004492,1670.0,,,-37000000.00,-195000000.00,7486000000.00,7800000000.00,7808000000.00,6078000000.00
0000027419,53,1472000000.00,23846000000.00,25443000000.00,0.061729,2449.0,,,275000000.00,716000000.00,57769000000.00,56185000000.00,59490000000.00,58010000000.00
0000027430,49,28400000.00,252100000.00,338700000.00,0.112654,1986.0,,,43200000.00,68700000.00,3355200000.00,,3730800000.00,3717300000.00
0000027904,45,569000000.00,14040000000.00,15854000000.00,0.040527,2056.0,,,2378000000.00,2432000000.00,75372000000.00,77342000000.00,81317000000.00,84431000000.00
0000027996,27,48100000.00,536500000.00,538100000.00,0.089655,1715.0,281047000.00,,50300000.00,52700000.00,2831000000.00,2573817000.00,2863600000.00,2556300000.00
0000028823,35,29600000.00,841100000.00,891800000.00,0.035192,837.0,202400000.00,213100000.00,15700000.00,31700000.00,3543500000.00,3625600000.00,3854400000.00,3829900000.00
0000029002,36,1296000.00,332113000.00,405467000.00,0.003902,592.0,104694000.00,128792000.00,56743000.00,64313000.00,2386281000.00,2356341000.00,2448100000.00,2497728000.00
0000029332,22,11000.00,62990000.00,59380000.00,0.000175,2494.0,16902000.00,19288000.00,,,175872000.00,185446000.00,175158000.00,179243000.00
0000029534,53,576113000.00,10435979000.00,10786965000.00,0.055204,2458.0,3231288000.00,3410472000.00,847155000.00,716188000.00,31132733000.00,30987661000.00,30963730000.00,31699653000.00
0000029905,35,296309000.00,1866059000.00,2053623000.00,0.158789,779.0,745500000.00,798135000.00,,,12509160000.00,12648548000.00,13422423000.00,13506680000.00
0000029989,73,452600000.00,3690400000.00,6242900000.00,0.122643,1245.0,,,-786800000.00,-553200000.00,29620700000.00,28113700000.00,54415300000.00,49964700000.00
0000030305,37,4975000.00,192481000.00,209022000.00,0.025847,1663.0,50451000.00,56233000.00,771000.00,11239000.00,1126273000.00,1128350000.00,1186415000.00,1185333000.00
0000030697,58,83126000.00,523472000.00,540637000.00,0.158797,2322.0,,,85415000.00,59389000.00,5034843000.00,4919482000.00,4956561000.00,4924622000.00
0000031107,34,3231165.00,63312774.00,59676538.00,0.051035,2223.0,14187472.00,11929681.00,-1848184.00,3479333.00,235308747.00,232329678.00,216676616.00,217093114.00
0000031235,38,-13000000.00,247000000.00,265000000.00,-0.052632,1231.0,46000000.00,57000000.00,-38000000.00,-30000000.00,2001000000.00,1937000000.00,1617000000.00,1557000000.00
0000031462,28,555300000.00,3695000000.00,4066100000.00,0.150284,191.0,,,369400000.00,445900000.00,22387800000.00,22366400000.00,24696300000.00,25040600000.00
0000031791,38,72230000.00,664762000.00,711118000.00,0.108655,1128.0,,,128155000.00,115230000.00,12392478000.00,12360724000.00,12168411000.00,11996590000.00
0000033185,73,235800000.00,1442000000.00,1648900000.00,0.163523,1216.0,,,223900000.00,241900000.00,11759400000.00,11854800000.00,11864200000.00,11942000000.00
0000033213,13,496250000.00,1739850000.00,3378736000.00,0.285226,1766.0,,,1741167000.00,3055047000.00,39830255000.00,39703364000.00,41792874000.00,41692278000.00
0000033488,39,3652000.00,55479000.00,55785000.00,0.065827,2291.0,,,3791000.00,6142000.00,226330000.00,222074000.00,222109000.00,227550000.00
0000033533,36,1751122.00,10302719.00,11422655.00,0.169967,538.0,2948384.00,4229345.00,,,60191285.00,72839495.00,85166300.00,96003648.00
0000034067,33,6513000.00,159290000.00,135595000.00,0.040888,2534.0,41199000.00,25443000.00,4488000.00,-2379000.00,671337000.00,670640000.00,635831000.00,648409000.00
0000034285,73,-382000.00,4746000.00,5551000.00,-0.080489,1438.0,641000.00,770000.00,959000.00,-505000.00,11556000.00,9914000.00,8845000.00,9831000.00
0000034903,67,108133000.00,309154000.00,341084000.00,0.349771,791.0,,,179044000.00,184594000.00,8524757000.00,8621850000.00,9130460000.00,9096770000.00
0000036840,67,3821000.00,7258000.00,7634000.00,0.526454,735.0,,,,,156883000.00,156213000.00,148997000.00,148648000.00
0000037472,25,-5060000.00,113972000.00,115125000.00,-0.044397,2510.0,25336000.00,26045000.00,,,271547000.00,266126000.00,290194000.00,290171000.00
0000037785,28,58200000.00,791400000.00,758600000.00,0.073541,226.0,316700000.00,246600000.00,,,11653300000.00,11800900000.00,9687200000.00,9419500000.00
0000037996,37,319000000.00,40659000000.00,43253000000.00,0.007846,1669.0,,,3679000000.00,1316000000.00,285196000000.00,284539000000.00,289160000000.00,282434000000.00
0000038264,61,-1821758.00,3122933.00,12961114.00,-0.583348,103.0,-178761.00,9071812.00,,,13492305.00,12338296.00,892946117.00,608512726.00
0000038725,36,44101000.00,455247000.00,500437000.00,0.096873,557.0,163903000.00,174969000.00,-19468000.00,-40875000.00,1820606000.00,1928900000.00,1944385000.00,1996565000.00
0000038777,62,145600000.00,2111400000.00,2294900000.00,0.068959,2218.0,,,,,32390000000.00,31989800000.00,32549100000.00,34109800000.00
0000039911,56,260000000.00,3463000000.00,3497000000.00,0.075079,2309.0,1448000000.00,1417000000.00,-140000000.00,213000000.00,11885000000.00,11565000000.00,12632000000.00,12137000000.00
0000040533,37,1268000000.00,12223000000.00,13481000000.00,0.103739,1634.0,,,-148000000.00,2155000000.00,55880000000.00,57249000000.00,57249000000.00,59029000000.00
0000040570,73,-23220000.00,24495000.00,19481000.00,-0.947949,1590.0,8360000.00,7415000.00,,,92789000.00,61770000.00,58943000.00,59664000.00
0000040704,20,891400000.00,4842200000.00,4436700000.00,0.184090,1958.0,1639100000.00,1366900000.00,,,33396100000.00,32706200000.00,32549000000.00,32403100000.00
0000041719,26,4000000.00,824000000.00,796000000.00,0.004854,2347.0,,,,,3993000000.00,4061000000.00,3893000000.00,3896000000.00
0000042888,35,144013000.00,528284000.00,540144000.00,0.272605,744.0,277733000.00,280641000.00,125416000.00,120248000.00,3139212000.00,3008314000.00,3274270000.00,3334768000.00
0000043196,48,92000000.00,782000000.00,768000000.00,0.117647,20.0,,,132000000.00,1000000.00,10542000000.00,10438000000.00,10440000000.00,10319000000.00
0000045876,89,29261000.00,547907000.00,549803000.00,0.053405,2467.5,,,6600000.00,21536000.00,2634511000.00,2689008000.00,2708671000.00,2704109000.00
0000045919,73,-40000.00,41561000.00,37264000.00,-0.000962,1365.0,,,-818000.00,-575000.00,101782000.00,100585000.00,91826000.00,90405000.00
0000046080,39,170700000.00,1006100000.00,1113100000.00,0.169665,2198.0,,,138100000.00,337700000.00,6340300000.00,6040000000.00,5552000000.00,5930300000.00
0000046129,38,8779000.00,132803000.00,138915000.00,0.066105,1146.0,42752000.00,45375000.00,13928000.00,6173000.00,575781000.00,586899000.00,577595000.00,577663000.00
0000046619,37,248152000.00,1097820000.00,1375713000.00,0.226041,1618.0,,,,,7890711000.00,8092176000.00,9043696000.00,9592213000.00
0000046765,13,42163000.00,1016039000.00,932362000.00,0.041497,1872.0,,,,,5816621000.00,7242263000.00,6459096000.00,6336267000.00
0000047111,20,369221000.00,2805419000.00,3104167000.00,0.131610,1987.0,944267000.00,1222731000.00,396682000.00,468806000.00,12946861000.00,13967764000.00,13741297000.00,13841293000.00
0000047217,35,654000000.00,13220000000.00,14408000000.00,0.049470,826.0,2739000000.00,3016000000.00,,,38930000000.00,38799000000.00,41535000000.00,42936000000.00
0000048287,25,24400000.00,599800000.00,1347500000.00,0.040680,2390.0,238400000.00,499900000.00,12600000.00,-171800000.00,1875100000.00,1858100000.00,4885000000.00,4772600000.00
0000048898,36,230400000.00,1365200000.00,1516700000.00,0.168766,539.0,442600000.00,505300000.00,37400000.00,86600000.00,6847700000.00,6922100000.00,8228800000.00,8417700000.00
0000049071,63,2014000000.00,32112000000.00,39648000000.00,0.062718,2461.0,,,331000000.00,1254000000.00,46479000000.00,50930000000.00,48909000000.00,55280000000.00
0000049826,35,951000000.00,3839000000.00,4016000000.00,0.247721,749.0,,,592000000.00,623000000.00,15067000000.00,15468000000.00,16148000000.00,16264000000.00
0000050493,54,21640338.00,1331273155.00,1307863099.00,0.016255,2476.0,310976634.00,325258628.00,,,2493272016.00,2506421683.00,2570728364.00,2594915653.00
0000050725,34,90886000.00,426684000.00,421860000.00,0.213005,2094.0,198347000.00,191989000.00,,,2325152000.00,2343941000.00,2054802000.00,2066273000.00
0000050863,36,-301000000.00,12667000000.00,13577000000.00,-0.023763,601.0,4672000000.00,5347000000.00,813000000.00,1096000000.00,196485000000.00,192242000000.00,211429000000.00,205332000000.00
0000051253,28,-903000000.00,2843000000.00,2741000000.00,-0.317622,288.0,1035000000.00,1018000000.00,127000000.00,257000000.00,28723000000.00,28265000000.00,25539000000.00,25144000000.00
0000052827,67,59000.00,82922000.00,276787000.00,0.000712,907.0,,,27699000.00,34583000.00,3474419000.00,3351353000.00,3404653000.00,7745428000.00
0000053456,49,72000000.00,566000000.00,666000000.00,0.127208,1976.0,,,205000000.00,57000000.00,9913000000.00,10057000000.00,55904000000.00,11444000000.00
0000054187,65,113110.00,5632151.00,5314751.00,0.020083,2071.0,,,,,88346401.00,87855809.00,88383256.00,90221176.00
0000055135,73,10800000.00,1164900000.00,1040700000.00,0.009271,1358.0,236500000.00,196400000.00,23900000.00,-25400000.00,2632300000.00,2594900000.00,2250600000.00,2255000000.00
0000055242,35,44060000.00,486399000.00,592585000.00,0.090584,812.0,156365000.00,207978000.00,,,2435805000.00,2490503000.00,2595556000.00,2730747000.00
0000055785,26,631000000.00,4054000000.00,4163000000.00,0.155649,2212.0,1509000000.00,1534000000.00,327000000.00,745000000.00,16546000000.00,16305000000.00,17098000000.00,17184000000.00
0000056047,44,105546000.00,785659000.00,844099000.00,0.134341,2465.0,,,36541000.00,97650000.00,5851952000.00,6014601000.00,6008045000.00,6119203000.00
0000056978,36,-84667000.00,161986000.00,242621000.00,-0.522681,645.0,40384000.00,119704000.00,,,1251445000.00,1145264000.00,1114640000.00,1185984000.00
0000057515,20,49877000.00,457836000.00,453368000.00,0.108941,1998.0,105962000.00,107216000.00,,,1239858000.00,1276612000.00,1328859000.00,1356055000.00
0000059255,28,50100000.00,538600000.00,560100000.00,0.093019,216.0,122500000.00,103000000.00,-155900000.00,-46100000.00,2800200000.00,2757200000.00,2632300000.00,2610000000.00
0000059527,35,164918000.00,1004388000.00,1121434000.00,0.164198,774.0,365448000.00,399132000.00,185693000.00,102170000.00,3520142000.00,3625074000.00,3777577000.00,3900395000.00
0000060519,24,120000000.00,724000000.00,574000000.00,0.165746,2395.0,197000000.00,115000000.00,64000000.00,-38000000.00,2556000000.00,2570000000.00,2627000000.00,2581000000.00
0000060667,52,2494000000.00,20930000000.00,23078000000.00,0.119159,2340.0,6986000000.00,7543000000.00,3379000000.00,3350000000.00,43102000000.00,45372000000.00,54144000000.00,54941000000.00
0000060714,28,4468000.00,143432000.00,169487000.00,0.031151,238.0,14384000.00,35794000.00,6836000.00,51797000.00,1187188000.00,1175938000.00,1173539000.00,1191357000.00
0000061004,36,41000.00,918000.00,1085000.00,0.044662,575.0,,,340000.00,501000.00,43145000.00,43302000.00,46776000.00,48123000.00
0000061986,35,5300000.00,470900000.00,494600000.00,0.011255,851.0,89800000.00,95300000.00,12900000.00,27400000.00,1660000000.00,1763800000.00,1818200000.00,1842900000.00
0000062234,78,-20412000.00,148766000.00,154404000.00,-0.137209,2387.0,,,-35329000.00,-15221000.00,1044528000.00,1017957000.00,1014532000.00,992058000.00
0000062709,64,2005000000.00,7061000000.00,7597000000.00,0.283954,2294.0,,,-622000000.00,-688000000.00,56481000000.00,57015000000.00,58710000000.00,58552000000.00
0000062996,34,286000000.00,1801000000.00,1918000000.00,0.158801,2130.0,644000000.00,686000000.00,-158000000.00,-79000000.00,5016000000.00,5107000000.00,5201000000.00,5233000000.00
0000063276,39,-52980000.00,826629000.00,862171000.00,-0.064092,2443.0,408096000.00,386780000.00,24814000.00,-22943000.00,6544084000.00,6206440000.00,6640382000.00,6329635000.00
0000063330,65,-1779000.00,5804000.00,3405000.00,-0.306513,2331.0,,,157000.00,-2015000.00,50139000.00,47232000.00,47968000.00,47872000.00
0000063754,20,225200000.00,1605500000.00,1873900000.00,0.140268,1979.0,604000000.00,708900000.00,115500000.00,50900000.00,13070300000.00,12899800000.00,13200400000.00,16346300000.00
0000063908,58,2648000000.00,5956000000.00,6517000000.00,0.444594,2088.0,,,2428000000.00,2412000000.00,55182000000.00,56329000000.00,59515000000.00,60037000000.00
0000064040,73,1578000000.00,3777000000.00,4171000000.00,0.417792,1068.0,,,953000000.00,1037000000.00,60221000000.00,59889000000.00,61200000000.00,60792000000.00
0000064463,61,-7177000.00,5936000.00,9394000.00,-1.209063,112.0,338000.00,491000.00,-177000.00,-6372000.00,88040000.00,90049000.00,187944000.00,190420000.00
0000064803,59,3374000000.00,94588000000.00,100426000000.00,0.035670,474.0,,,4556000000.00,4249000000.00,253215000000.00,255585000000.00,253538000000.00,252974000000.00
0000065596,62,10496000.00,28919000.00,23470000.00,0.362945,2029.0,,,-34461000.00,-26105000.00,519668000.00,534187000.00,759042000.00,597142000.00
0000065770,36,-14040000.00,589000.00,935000.00,-23.837012,1687.0,39000.00,363000.00,-14098000.00,-16443000.00,121161000.00,116743000.00,103119000.00,110204000.00
0000065984,49,700104000.00,2846874000.00,3187626000.00,0.245920,1914.0,,,536188000.00,828964000.00,64790032000.00,66620409000.00,71890730000.00,75804140000.00
0000066004,49,11557000.00,44301000.00,48714000.00,0.260874,1905.0,,,13782000.00,11731000.00,1255174000.00,1278961000.00,1365737000.00,1386038000.00
0000066382,25,-82200000.00,876200000.00,926600000.00,-0.093814,2552.0,332400000.00,352900000.00,,,4036200000.00,3895400000.00,3946400000.00,3951600000.00
0000066570,38,77761000.00,421340000.00,463632000.00,0.184556,1083.0,193395000.00,219581000.00,61833000.00,75687000.00,2205784000.00,2235885000.00,2554374000.00,2563986000.00
0000066740,38,1246000000.00,5954000000.00,6030000000.00,0.209271,1074.0,,,-79000000.00,574000000.00,39868000000.00,39951000000.00,37733000000.00,35436000000.00
0000067716,14,112863000.00,674833000.00,605977000.00,0.167246,509.0,,,217472000.00,149208000.00,7038818000.00,6961474000.00,7622206000.00,7683936000.00
0000067887,35,109051000.00,934022000.00,1051947000.00,0.116754,803.0,256618000.00,287555000.00,,,4181848000.00,4307055000.00,4551893000.00,4902598000.00
0000068505,36,582000000.00,2528000000.00,2714000000.00,0.230222,533.0,1300000000.00,1362000000.00,510000000.00,451000000.00,14595000000.00,14433000000.00,19389000000.00,19080000000.00
0000068622,48,388000000.00,1222000000.00,1051000000.00,0.317512,2.0,,,453000000.00,264000000.00,17362000000.00,17571000000.00,15820000000.00,15717000000.00
0000069422,65,2350000.00,16824000.00,20372000.00,0.139681,2013.0,,,,,110594000.00,103241000.00,101137000.00,103508000.00
0000069488,30,17201000.00,161667000.00,164580000.00,0.106398,692.0,50219000.00,56545000.00,10131000.00,26204000.00,860815000.00,883842000.00,852576000.00,836734000.00
0000069633,36,11146000.00,43961000.00,49167000.00,0.253543,532.0,25127000.00,29489000.00,,,202684000.00,190863000.00,212823000.00,222009000.00
0000070145,49,317252000.00,729950000.00,858373000.00,0.434622,1813.0,,,,,8301448000.00,8479963000.00,9205872000.00,9127604000.00
0000070318,80,943000000.00,5223000000.00,5368000000.00,0.180548,970.0,,,815000000.00,1641000000.00,28936000000.00,29237000000.00,29677000000.00,31203000000.00
0000070487,87,8596000.00,33551000.00,34803000.00,0.256207,1750.0,,,6646000.00,7180000.00,132539000.00,135175000.00,134878000.00,134559000.00
0000070866,35,-21000000.00,612000000.00,606000000.00,-0.034314,865.0,,,-42000000.00,42000000.00,4452000000.00,4336000000.00,3921000000.00,3923000000.00
0000071557,48,2414901.00,17880769.00,18432680.00,0.135056,19.0,,,4962822.00,6972954.00,273657002.00,268588411.00,277976171.00,273517730.00
0000071691,27,58634000.00,635910000.00,712236000.00,0.092205,1713.0,,,99088000.00,92236000.00,2841479000.00,2735065000.00,2997090000.00,2859351000.00
0000071829,73,13528000.00,64777000.00,75070000.00,0.208840,1183.0,,,8828000.00,21111000.00,393682000.00,390010000.00,441758000.00,437890000.00
0000072162,28,3148000.00,40272000.00,40569000.00,0.078168,225.0,12163000.00,13252000.00,-47475000.00,-3542000.00,578258000.00,520025000.00,464220000.00,461192000.00
0000072205,24,2742219.00,14757337.00,12410560.00,0.185821,2368.0,4631416.00,3630197.00,,,67327081.00,65542959.00,65946538.00,63619264.00
0000072331,35,168750000.00,682938000.00,740847000.00,0.247094,750.0,,,,,5871526000.00,6062038000.00,5960922000.00,5964418000.00
0000072444,28,-14935000.00,20876000.00,39227000.00,-0.715415,316.0,,,-9599000.00,-2054000.00,166389000.00,158559000.00,186079000.00,180055000.00
