date,tga_balance_b
2019-06-03,221.319
2019-06-04,204.066
2019-06-05,207.647
2019-06-06,188.654
2019-06-07,189.662
2019-06-10,199.119
2019-06-11,183.097
2019-06-12,173.062
2019-06-13,139.168
2019-06-14,153.849
2019-06-17,265.79
2019-06-18,263.642
2019-06-19,258.641
2019-06-20,240.054
2019-06-21,246.052
2019-06-24,263.915
2019-06-25,255.08
2019-06-26,240.909
2019-06-27,222.822
2019-06-28,263.709
2019-07-01,242.627
2019-07-02,239.653
2019-07-03,220.911
2019-07-05,210.522
2019-07-08,219.246
2019-07-09,210.858
2019-07-10,195.226
2019-07-11,183.735
2019-07-12,181.379
2019-07-15,223.382
2019-07-16,221.578
2019-07-17,206.203
2019-07-18,193.492
2019-07-19,195.443
2019-07-22,200.842
2019-07-23,194.645
2019-07-24,178.227
2019-07-25,161.323
2019-07-26,159.064
2019-07-29,170.082
2019-07-30,161.081
2019-07-31,176.662
2019-08-01,117.629
2019-08-02,133.666
2019-08-05,141.111
2019-08-06,129.108
2019-08-07,133.077
2019-08-08,125.667
2019-08-09,125.213
2019-08-12,132.745
2019-08-13,144.667
2019-08-14,130.981
2019-08-15,111.766
2019-08-16,120.765
2019-08-19,128.669
2019-08-20,145.898
2019-08-21,131.447
2019-08-22,142.425
2019-08-23,139.037
2019-08-26,146.691
2019-08-27,165.326
2019-08-28,150.146
2019-08-29,156.856
2019-08-30,133.091
2019-09-03,177.181
2019-09-04,174.779
2019-09-05,184.901
2019-09-06,181.508
2019-09-09,190.398
2019-09-10,193.989
2019-09-11,183.581
2019-09-12,195.302
2019-09-13,215.579
2019-09-16,298.755
2019-09-17,307.731
2019-09-18,303.057
2019-09-19,313.799
2019-09-20,310.506
2019-09-23,324.733
2019-09-24,323.46
2019-09-25,305.81
2019-09-26,309.38
2019-09-27,330.276
2019-09-30,382.483
2019-10-01,328.321
2019-10-02,335.185
2019-10-03,321.728
2019-10-04,321.687
2019-10-07,330.055
2019-10-08,313.105
2019-10-09,297.389
2019-10-10,307.701
2019-10-11,308.479
2019-10-15,369.111
2019-10-16,361.497
2019-10-17,378.567
2019-10-18,376.29
2019-10-21,379.07
2019-10-22,384.216
2019-10-23,375.17
2019-10-24,382.885
2019-10-25,383.655
2019-10-28,393.739
2019-10-29,400.905
2019-10-30,400.616
2019-10-31,434.942
2019-11-01,360.775
2019-11-04,370.08
2019-11-05,373.672
2019-11-06,378.184
2019-11-07,382.761
2019-11-08,381.727
2019-11-12,393.834
2019-11-13,370.185
2019-11-14,382.896
2019-11-15,361.698
2019-11-18,380.068
2019-11-19,376.08
2019-11-20,357.551
2019-11-21,357.98
2019-11-22,355.42
2019-11-25,369.284
2019-11-26,374.167
2019-11-27,358.896
2019-11-29,342.618
2019-12-02,371.347
2019-12-03,332.247
2019-12-04,338.453
2019-12-05,331.25
2019-12-06,331.96
2019-12-09,340.756
2019-12-10,316.01
2019-12-11,304.16
2019-12-12,280.898
2019-12-13,293.216
2019-12-16,401.451
2019-12-17,387.575
2019-12-18,378.573
2019-12-19,373.409
2019-12-20,370.111
2019-12-23,387.129
2019-12-24,351.934
2019-12-26,354.659
2019-12-27,374.776
2019-12-30,391.18
2019-12-31,403.853
2020-01-02,382.335
2020-01-03,363.919
2020-01-06,378.421
2020-01-07,365.66
2020-01-08,350.84
2020-01-09,343.421
2020-01-10,342.514
2020-01-13,357.137
2020-01-14,348.006
2020-01-15,380.802
2020-01-16,395.791
2020-01-17,401.053
2020-01-21,415.874
2020-01-22,411.708
2020-01-23,421.339
2020-01-24,424.554
2020-01-27,435.639
2020-01-28,443.253
2020-01-29,450.537
2020-01-30,445.933
2020-01-31,403.983
2020-02-03,401.01
2020-02-04,417.779
2020-02-05,416.585
2020-02-06,410.904
2020-02-07,405.658
2020-02-10,414.251
2020-02-11,432.191
2020-02-12,404.341
2020-02-13,425.468
2020-02-14,427.327
2020-02-18,445.806
2020-02-19,421.051
2020-02-20,443.494
2020-02-21,441.313
2020-02-24,450.799
2020-02-25,469.71
2020-02-26,387.615
2020-02-27,378.164
2020-02-28,357.251
2020-03-02,403.798
2020-03-03,386.591
2020-03-04,381.302
2020-03-05,379.451
2020-03-06,375.464
2020-03-09,390.574
2020-03-10,395.134
2020-03-11,372.337
2020-03-12,318.828
2020-03-13,325.866
2020-03-16,417.801
2020-03-17,422.448
2020-03-18,401.354
2020-03-19,392.511
2020-03-20,382.896
2020-03-23,394.91
2020-03-24,410.766
2020-03-25,384.89
2020-03-26,382.097
2020-03-27,397.619
2020-03-30,407.73
2020-03-31,515.257
2020-04-01,506.933
2020-04-02,615.537
2020-04-03,673.488
2020-04-06,676.457
2020-04-07,750.414
2020-04-08,827.178
2020-04-09,898.91
2020-04-10,881.941
2020-04-13,868.878
2020-04-14,958.94
2020-04-15,856.155
2020-04-16,909.739
2020-04-17,889.042
2020-04-20,857.911
2020-04-21,924.544
2020-04-22,949.999
2020-04-23,1006.551
2020-04-24,965.931
2020-04-27,961.804
2020-04-28,1040.169
2020-04-29,1076.232
2020-04-30,1180.035
2020-05-01,1100.958
2020-05-04,1099.175
2020-05-05,1167.077
2020-05-06,1143.268
2020-05-07,1198.455
2020-05-08,1193.614
2020-05-11,1151.999
2020-05-12,1172.993
2020-05-13,1138.172
2020-05-14,1206.011
2020-05-15,1185.006
2020-05-18,1188.332
2020-05-19,1218.209
2020-05-20,1193.297
2020-05-21,1270.885
2020-05-22,1302.819
2020-05-26,1364.378
2020-05-27,1326.897
2020-05-28,1414.981
2020-05-29,1449.129
2020-06-01,1394.436
2020-06-02,1455.494
2020-06-03,1431.462
2020-06-04,1501.733
2020-06-05,1494.494
2020-06-08,1520.809
2020-06-09,1535.311
2020-06-10,1504.569
2020-06-11,1550.414
2020-06-12,1541.349
2020-06-15,1597.571
2020-06-16,1588.615
2020-06-17,1565.306
2020-06-18,1634.655
2020-06-19,1635.527
2020-06-22,1626.909
2020-06-23,1612.877
2020-06-24,1586.573
2020-06-25,1638.128
2020-06-26,1647.248
2020-06-29,1644.69
2020-06-30,1722.032
2020-07-01,1656.747
2020-07-02,1659.147
2020-07-03,1661.799
2020-07-06,1660.66
2020-07-07,1642.079
2020-07-08,1624.404
2020-07-09,1642.285
2020-07-10,1641.08
2020-07-13,1653.555
2020-07-14,1627.709
2020-07-15,1740.455
2020-07-16,1807.305
2020-07-17,1812.801
2020-07-20,1817.27
2020-07-21,1794.448
2020-07-22,1777.18
2020-07-23,1821.824
2020-07-24,1825.498
2020-07-27,1830.546
2020-07-28,1795.511
2020-07-29,1792.434
2020-07-30,1767.341
2020-07-31,1763.09
2020-08-03,1745.136
2020-08-04,1708.214
2020-08-05,1706.637
2020-08-06,1687.233
2020-08-07,1678.144
2020-08-10,1676.455
2020-08-11,1654.869
2020-08-12,1635.143
2020-08-13,1641.133
2020-08-14,1635.886
2020-08-17,1663.881
2020-08-18,1655.467
2020-08-19,1636.393
2020-08-20,1630.312
2020-08-21,1621.385
2020-08-24,1627.631
2020-08-25,1629.281
2020-08-26,1607.449
2020-08-27,1602.817
2020-08-28,1620.187
2020-08-31,1705.982
2020-09-01,1652.933
2020-09-02,1651.823
2020-09-03,1628.42
2020-09-04,1621.785
2020-09-08,1591.491
2020-09-09,1570.533
2020-09-10,1580.972
2020-09-11,1581.016
2020-09-14,1596.094
2020-09-15,1691.058
2020-09-16,1692.809
2020-09-17,1686.36
2020-09-18,1684.759
2020-09-21,1689.647
2020-09-22,1672.796
2020-09-23,1661.732
2020-09-24,1650.402
2020-09-25,1666.33
2020-09-28,1667.836
2020-09-29,1655.158
2020-09-30,1781.679
2020-10-01,1721.399
2020-10-02,1696.491
2020-10-05,1699.085
2020-10-06,1682.129
2020-10-07,1687.434
2020-10-08,1693.511
2020-10-09,1688.155
2020-10-13,1672.917
2020-10-14,1647.937
2020-10-15,1724.441
2020-10-16,1731.394
2020-10-19,1736.903
2020-10-20,1718.52
2020-10-21,1699.497
2020-10-22,1686.614
2020-10-23,1687.789
2020-10-26,1690.216
2020-10-27,1673.293
2020-10-28,1653.039
2020-10-29,1647.48
2020-10-30,1598.798
2020-11-02,1668.478
2020-11-03,1618.498
2020-11-04,1618.568
2020-11-05,1616.716
2020-11-06,1611.36
2020-11-09,1613.526
2020-11-10,1570.768
2020-11-12,1559.098
2020-11-13,1548.695
2020-11-16,1583.7
2020-11-17,1562.437
2020-11-18,1546.924
2020-11-19,1532.201
2020-11-20,1523.945
2020-11-23,1524.043
2020-11-24,1508.389
2020-11-25,1484.036
2020-11-27,1497.733
2020-11-30,1622.986
2020-12-01,1559.909
2020-12-02,1557.239
2020-12-03,1542.061
2020-12-04,1541.553
2020-12-07,1542.507
2020-12-08,1528.113
2020-12-09,1502.361
2020-12-10,1489.111
2020-12-11,1491.532
2020-12-14,1507.694
2020-12-15,1620.613
2020-12-16,1615.873
2020-12-17,1603.0
2020-12-18,1605.924
2020-12-21,1609.289
2020-12-22,1603.478
2020-12-23,1583.308
2020-12-24,1576.37
2020-12-28,1611.761
2020-12-29,1606.627
2020-12-30,1613.514
2020-12-31,1728.569
2021-01-04,1563.361
2021-01-05,1600.257
2021-01-06,1607.396
2021-01-07,1576.756
2021-01-08,1592.94
2021-01-11,1601.94
2021-01-12,1592.556
2021-01-13,1575.875
2021-01-14,1574.375
2021-01-15,1630.897
2021-01-19,1652.048
2021-01-20,1638.331
2021-01-21,1639.728
2021-01-22,1636.166
2021-01-25,1641.392
2021-01-26,1631.783
2021-01-27,1613.377
2021-01-28,1593.973
2021-01-29,1611.352
2021-02-01,1664.596
2021-02-02,1654.919
2021-02-03,1629.729
2021-02-04,1620.963
2021-02-05,1613.958
2021-02-08,1619.357
2021-02-09,1603.403
2021-02-10,1576.744
2021-02-11,1564.862
2021-02-12,1560.063
2021-02-16,1595.279
2021-02-17,1568.893
2021-02-18,1567.702
2021-02-19,1557.254
2021-02-22,1550.121
2021-02-23,1480.606
2021-02-24,1439.646
2021-02-25,1379.961
2021-02-26,1414.465
2021-03-01,1500.687
2021-03-02,1462.558
2021-03-03,1420.238
2021-03-04,1382.253
2021-03-05,1368.265
2021-03-08,1373.951
2021-03-09,1349.174
2021-03-10,1310.273
2021-03-11,1268.214
2021-03-12,1269.979
2021-03-15,1379.152
2021-03-16,1361.274
2021-03-17,1089.501
2021-03-18,1063.289
2021-03-19,1058.913
2021-03-22,1054.77
2021-03-23,1101.256
2021-03-24,1031.908
2021-03-25,994.029
2021-03-26,1013.861
2021-03-29,1019.013
2021-03-30,1003.516
2021-03-31,1121.951
2021-04-01,1045.816
2021-04-02,1019.804
2021-04-05,1016.158
2021-04-06,994.366
2021-04-07,954.968
2021-04-08,924.88
2021-04-09,923.929
2021-04-12,932.525
2021-04-13,924.784
2021-04-14,921.685
2021-04-15,1010.328
2021-04-16,1015.48
2021-04-19,1032.722
2021-04-20,1018.382
2021-04-21,1003.443
2021-04-22,976.597
2021-04-23,974.621
2021-04-26,982.206
2021-04-27,958.871
2021-04-28,932.287
2021-04-29,903.015
2021-04-30,970.716
2021-05-03,968.663
2021-05-04,945.86
2021-05-05,946.134
2021-05-06,909.277
2021-05-07,906.936
2021-05-10,911.337
2021-05-11,885.779
2021-05-12,864.253
2021-05-13,836.852
2021-05-14,843.078
2021-05-17,939.902
2021-05-18,896.013
2021-05-19,860.833
2021-05-20,832.974
2021-05-21,816.93
2021-05-24,824.521
2021-05-25,800.118
2021-05-26,778.912
2021-05-27,745.973
2021-05-28,776.7
2021-06-01,817.789
2021-06-02,812.087
2021-06-03,750.152
2021-06-04,740.611
2021-06-07,737.59
2021-06-08,728.517
2021-06-09,673.555
2021-06-10,633.055
2021-06-11,597.051
2021-06-14,622.178
2021-06-15,765.721
2021-06-16,765.114
2021-06-17,728.246
2021-06-18,730.159
2021-06-21,745.97
2021-06-22,744.249
2021-06-23,733.877
2021-06-24,723.946
2021-06-25,733.226
2021-06-28,734.915
2021-06-29,711.267
2021-06-30,851.929
2021-07-01,784.035
2021-07-02,757.682
2021-07-06,733.889
2021-07-07,724.898
2021-07-08,727.336
2021-07-09,718.092
2021-07-12,718.474
2021-07-13,676.8
2021-07-14,657.542
2021-07-15,690.107
2021-07-16,697.581
2021-07-19,700.041
2021-07-20,647.533
2021-07-21,616.294
2021-07-22,590.042
2021-07-23,588.083
2021-07-26,591.368
2021-07-27,564.799
2021-07-28,536.966
2021-07-29,501.179
2021-07-30,459.402
2021-08-02,555.569
2021-08-03,507.848
2021-08-04,505.871
2021-08-05,466.601
2021-08-06,442.557
2021-08-09,444.212
2021-08-10,416.199
2021-08-11,389.747
2021-08-12,351.572
2021-08-13,335.19
2021-08-16,362.012
2021-08-17,338.853
2021-08-18,313.651
2021-08-19,321.137
2021-08-20,309.82
2021-08-23,317.103
2021-08-24,284.11
2021-08-25,258.2
2021-08-26,239.304
2021-08-27,262.811
2021-08-30,262.895
2021-08-31,355.984
2021-09-01,296.934
2021-09-02,292.163
2021-09-03,262.488
2021-09-07,231.654
2021-09-08,200.702
2021-09-09,207.218
2021-09-10,208.035
2021-09-13,225.075
2021-09-14,211.227
2021-09-15,344.668
2021-09-16,317.97
2021-09-17,315.003
2021-09-20,324.877
2021-09-21,295.62
2021-09-22,272.679
2021-09-23,173.922
2021-09-24,215.533
2021-09-27,217.019
2021-09-28,172.92
2021-09-29,173.745
2021-09-30,215.16
2021-10-01,132.452
2021-10-04,141.318
2021-10-05,99.385
2021-10-06,95.854
2021-10-07,86.339
2021-10-08,81.803
2021-10-12,58.993
2021-10-13,72.46
2021-10-14,46.508
2021-10-15,50.846
2021-10-18,134.768
2021-10-19,132.525
2021-10-20,117.364
2021-10-21,149.154
2021-10-22,208.815
2021-10-25,219.868
2021-10-26,261.071
2021-10-27,236.495
2021-10-28,259.761
2021-10-29,278.023
2021-11-01,269.343
2021-11-02,311.302
2021-11-03,286.959
2021-11-04,268.35
2021-11-05,263.023
2021-11-08,270.273
2021-11-09,255.937
2021-11-10,231.421
2021-11-12,219.793
2021-11-15,211.7
2021-11-16,198.696
2021-11-17,178.972
2021-11-18,168.229
2021-11-19,170.311
2021-11-22,163.242
2021-11-23,165.16
2021-11-24,141.042
2021-11-26,137.091
2021-11-29,143.941
2021-11-30,213.153
2021-12-01,159.148
2021-12-02,125.195
2021-12-03,101.192
2021-12-06,106.98
2021-12-07,144.924
2021-12-08,125.144
2021-12-09,118.145
2021-12-10,114.68
2021-12-13,133.605
2021-12-14,79.505
2021-12-15,58.294
2021-12-16,42.111
2021-12-17,47.877
2021-12-20,64.905
2021-12-21,146.518
2021-12-22,197.516
2021-12-23,176.914
2021-12-24,183.671
2021-12-27,202.813
2021-12-28,268.208
2021-12-29,283.995
2021-12-30,284.174
2021-12-31,406.108
2022-01-03,366.304
2022-01-04,424.696
2022-01-05,434.757
2022-01-06,440.561
2022-01-07,436.443
2022-01-10,447.887
2022-01-11,507.352
2022-01-12,489.679
2022-01-13,441.135
2022-01-14,453.239
2022-01-18,586.619
2022-01-19,580.171
2022-01-20,601.115
2022-01-21,598.929
2022-01-24,619.699
2022-01-25,646.92
2022-01-26,639.62
2022-01-27,641.597
2022-01-28,642.334
2022-01-31,742.843
2022-02-01,708.705
2022-02-02,710.267
2022-02-03,684.721
2022-02-04,682.002
2022-02-07,691.711
2022-02-08,703.228
2022-02-09,679.019
2022-02-10,672.004
2022-02-11,682.93
2022-02-14,699.135
2022-02-15,718.597
2022-02-16,709.261
2022-02-17,705.359
2022-02-18,702.252
2022-02-22,695.704
2022-02-23,674.797
2022-02-24,640.342
2022-02-25,661.184
2022-02-28,771.264
2022-03-01,699.674
2022-03-02,685.491
2022-03-03,661.486
2022-03-04,658.241
2022-03-07,673.387
2022-03-08,645.312
2022-03-09,609.369
2022-03-10,541.965
2022-03-11,544.592
2022-03-14,567.36
2022-03-15,629.614
2022-03-16,621.527
2022-03-17,624.216
2022-03-18,622.418
2022-03-21,626.636
2022-03-22,607.762
2022-03-23,576.442
2022-03-24,563.796
2022-03-25,582.578
2022-03-28,596.168
2022-03-29,560.968
2022-03-30,556.791
2022-03-31,651.523
2022-04-01,567.423
2022-04-04,579.607
2022-04-05,542.176
2022-04-06,545.584
2022-04-07,542.946
2022-04-08,544.736
2022-04-11,564.856
2022-04-12,545.611
2022-04-13,543.536
2022-04-14,602.292
2022-04-15,578.473
2022-04-18,841.253
2022-04-19,893.351
2022-04-20,907.526
2022-04-21,918.877
2022-04-22,934.238
2022-04-25,958.291
2022-04-26,972.993
2022-04-27,957.419
2022-04-28,953.933
2022-04-29,923.24
2022-05-02,975.018
2022-05-03,955.262
2022-05-04,964.412
2022-05-05,943.481
2022-05-06,950.7
2022-05-09,962.928
2022-05-10,941.766
2022-05-11,919.331
2022-05-12,893.803
2022-05-13,880.792
2022-05-16,914.571
2022-05-17,891.271
2022-05-18,866.726
2022-05-19,825.182
2022-05-20,822.339
2022-05-23,838.141
2022-05-24,818.688
2022-05-25,801.714
2022-05-26,762.674
2022-05-27,782.309
2022-05-31,854.24
2022-06-01,780.575
2022-06-02,757.559
2022-06-03,731.781
2022-06-06,724.554
2022-06-07,702.336
2022-06-08,683.892
2022-06-09,631.026
2022-06-10,627.393
2022-06-13,653.718
2022-06-14,661.227
2022-06-15,769.937
2022-06-16,755.888
2022-06-17,762.327
2022-06-21,757.733
2022-06-22,745.052
2022-06-23,735.139
2022-06-24,758.505
2022-06-27,768.652
2022-06-28,757.242
2022-06-29,759.845
2022-06-30,782.406
2022-07-01,685.842
2022-07-05,689.482
2022-07-06,687.943
2022-07-07,666.044
2022-07-08,658.096
2022-07-11,665.792
2022-07-12,643.141
2022-07-13,618.74
2022-07-14,595.272
2022-07-15,606.834
2022-07-18,628.659
2022-07-19,636.362
2022-07-20,616.348
2022-07-21,594.035
2022-07-22,589.322
2022-07-25,605.872
2022-07-26,637.228
2022-07-27,615.515
2022-07-28,597.017
2022-07-29,619.273
2022-08-01,551.023
2022-08-02,586.37
2022-08-03,566.577
2022-08-04,554.402
2022-08-05,548.849
2022-08-08,555.513
2022-08-09,583.255
2022-08-10,561.14
2022-08-11,546.978
2022-08-12,548.414
2022-08-15,525.921
2022-08-16,559.827
2022-08-17,539.278
2022-08-18,530.499
2022-08-19,529.281
2022-08-22,543.194
2022-08-23,555.139
2022-08-24,530.196
2022-08-25,580.033
2022-08-26,600.109
2022-08-29,610.399
2022-08-30,627.082
2022-08-31,669.911
2022-09-01,598.859
2022-09-02,574.423
2022-09-06,589.596
2022-09-07,582.921
2022-09-08,581.785
2022-09-09,585.0
2022-09-12,601.944
2022-09-13,599.932
2022-09-14,617.997
2022-09-15,677.452
2022-09-16,692.971
2022-09-19,704.998
2022-09-20,695.823
2022-09-21,690.286
2022-09-22,682.027
2022-09-23,697.726
2022-09-26,705.918
2022-09-27,683.943
2022-09-28,661.92
2022-09-29,658.634
2022-09-30,635.994
2022-10-03,630.975
2022-10-04,617.85
2022-10-05,622.131
2022-10-06,612.4
2022-10-07,611.855
2022-10-11,614.781
2022-10-12,583.513
2022-10-13,578.283
2022-10-14,574.982
2022-10-17,651.318
2022-10-18,655.23
2022-10-19,640.613
2022-10-20,635.492
2022-10-21,624.584
2022-10-24,636.785
2022-10-25,659.483
2022-10-26,636.327
2022-10-27,625.362
2022-10-28,621.627
2022-10-31,596.47
2022-11-01,551.009
2022-11-02,552.089
2022-11-03,524.883
2022-11-04,524.694
2022-11-07,530.764
2022-11-08,545.285
2022-11-09,517.34
2022-11-10,510.55
2022-11-14,524.136
2022-11-15,482.354
2022-11-16,472.185
2022-11-17,465.368
2022-11-18,469.61
2022-11-21,476.764
2022-11-22,512.602
2022-11-23,492.754
2022-11-25,510.532
2022-11-28,517.125
2022-11-29,506.052
2022-11-30,532.791
2022-12-01,458.408
2022-12-02,434.939
2022-12-05,440.836
2022-12-06,411.431
2022-12-07,410.853
2022-12-08,358.794
2022-12-09,357.709
2022-12-12,370.897
2022-12-13,343.699
2022-12-14,342.104
2022-12-15,448.106
2022-12-16,467.544
2022-12-19,482.388
2022-12-20,450.413
2022-12-21,434.922
2022-12-22,429.684
2022-12-23,431.253
2022-12-27,430.977
2022-12-28,409.809
2022-12-29,412.9
2022-12-30,446.685
2023-01-03,386.114
2023-01-04,379.62
2023-01-05,379.653
2023-01-06,375.694
2023-01-09,385.22
2023-01-10,368.0
2023-01-11,346.426
2023-01-12,310.363
2023-01-13,321.572
2023-01-17,398.974
2023-01-18,377.5
2023-01-19,455.623
2023-01-20,454.615
2023-01-23,471.005
2023-01-24,579.841
2023-01-25,572.622
2023-01-26,568.553
2023-01-27,567.827
2023-01-30,579.826
2023-01-31,567.908
2023-02-01,500.852
2023-02-02,506.179
2023-02-03,477.618
2023-02-06,489.948
2023-02-07,528.118
2023-02-08,495.838
2023-02-09,494.252
2023-02-10,490.201
2023-02-13,501.103
2023-02-14,526.992
2023-02-15,439.703
2023-02-16,479.039
2023-02-17,475.675
2023-02-21,508.286
2023-02-22,451.307
2023-02-23,363.666
2023-02-24,381.671
2023-02-27,394.017
2023-02-28,415.005
2023-03-01,351.015
2023-03-02,355.232
2023-03-03,327.193
2023-03-06,340.182
2023-03-07,344.724
2023-03-08,311.731
2023-03-09,246.969
2023-03-10,208.074
2023-03-13,227.312
2023-03-14,253.921
2023-03-15,277.643
2023-03-16,285.108
2023-03-17,280.148
2023-03-20,267.101
2023-03-21,224.604
2023-03-22,199.856
