date,y1m,y3m,y6m,y1y
2018-07-06,1.86,1.97,2.13,2.34
2018-07-09,1.87,1.98,2.15,2.34
2018-07-10,1.88,1.99,2.15,2.36
2018-07-11,1.89,1.97,2.14,2.36
2018-07-12,1.89,1.98,2.17,2.39
2018-07-13,1.87,1.98,2.16,2.37
2018-07-16,1.9,2.01,2.19,2.39
2018-07-17,1.93,2.02,2.19,2.39
2018-07-18,1.9,2.0,2.17,2.43
2018-07-19,1.89,2.0,2.16,2.4
2018-07-20,1.86,1.99,2.16,2.41
2018-07-23,1.88,1.99,2.19,2.42
2018-07-24,1.92,2.02,2.19,2.42
2018-07-25,1.9,2.01,2.2,2.42
2018-07-26,1.89,1.99,2.19,2.41
2018-07-27,1.9,2.0,2.2,2.43
2018-07-30,1.91,2.04,2.21,2.43
2018-07-31,1.94,2.03,2.21,2.44
2018-08-01,1.93,2.03,2.22,2.45
2018-08-02,1.89,2.02,2.22,2.45
2018-08-03,1.9,2.01,2.23,2.43
2018-08-06,1.92,2.05,2.23,2.44
2018-08-07,1.96,2.06,2.23,2.45
2018-08-08,1.93,2.06,2.24,2.44
2018-08-09,1.91,2.06,2.25,2.44
2018-08-10,1.92,2.05,2.23,2.42
2018-08-13,1.93,2.06,2.22,2.42
2018-08-14,1.96,2.08,2.25,2.44
2018-08-15,1.96,2.07,2.23,2.45
2018-08-16,1.96,2.07,2.24,2.45
2018-08-17,1.95,2.05,2.24,2.44
2018-08-20,1.93,2.06,2.25,2.43
2018-08-21,1.94,2.08,2.25,2.45
2018-08-22,1.95,2.09,2.24,2.43
2018-08-23,1.94,2.08,2.23,2.43
2018-08-24,1.95,2.09,2.25,2.44
2018-08-27,1.96,2.12,2.25,2.47
2018-08-28,1.96,2.13,2.28,2.47
2018-08-29,1.97,2.13,2.28,2.48
2018-08-30,1.97,2.11,2.28,2.47
2018-08-31,1.95,2.11,2.28,2.46
2018-09-04,2.0,2.13,2.29,2.49
2018-09-05,2.0,2.14,2.3,2.49
2018-09-06,1.98,2.13,2.3,2.5
2018-09-07,1.98,2.14,2.3,2.53
2018-09-10,1.98,2.14,2.32,2.54
2018-09-11,2.02,2.15,2.31,2.55
2018-09-12,2.01,2.16,2.33,2.56
2018-09-13,2.01,2.15,2.33,2.55
2018-09-14,2.02,2.16,2.33,2.56
2018-09-17,2.02,2.16,2.35,2.57
2018-09-18,2.05,2.17,2.36,2.58
2018-09-19,2.03,2.16,2.36,2.58
2018-09-20,2.03,2.17,2.37,2.58
2018-09-21,2.05,2.18,2.38,2.58
2018-09-24,2.07,2.22,2.38,2.6
2018-09-25,2.12,2.21,2.38,2.59
2018-09-26,2.11,2.2,2.37,2.58
2018-09-27,2.1,2.18,2.37,2.58
2018-09-28,2.12,2.19,2.36,2.59
2018-10-01,2.13,2.23,2.4,2.6
2018-10-02,2.14,2.23,2.41,2.61
2018-10-03,2.15,2.23,2.41,2.62
2018-10-04,2.16,2.22,2.42,2.63
2018-10-05,2.15,2.23,2.41,2.64
2018-10-09,2.17,2.25,2.46,2.65
2018-10-10,2.18,2.27,2.45,2.67
2018-10-11,2.14,2.27,2.44,2.66
2018-10-12,2.14,2.28,2.44,2.66
2018-10-15,2.17,2.31,2.47,2.67
2018-10-16,2.19,2.3,2.46,2.66
2018-10-17,2.2,2.31,2.47,2.66
2018-10-18,2.19,2.32,2.47,2.67
2018-10-19,2.19,2.31,2.48,2.67
2018-10-22,2.18,2.34,2.49,2.68
2018-10-23,2.21,2.33,2.48,2.67
2018-10-24,2.2,2.34,2.47,2.64
2018-10-25,2.19,2.34,2.47,2.66
2018-10-26,2.16,2.33,2.47,2.63
2018-10-29,2.17,2.34,2.49,2.64
2018-10-30,2.21,2.33,2.48,2.66
2018-10-31,2.2,2.34,2.49,2.69
2018-11-01,2.21,2.32,2.49,2.67
2018-11-02,2.19,2.33,2.5,2.7
2018-11-05,2.2,2.36,2.51,2.71
2018-11-06,2.23,2.35,2.52,2.72
2018-11-07,2.23,2.37,2.51,2.74
2018-11-08,2.21,2.35,2.52,2.74
2018-11-09,2.21,2.36,2.52,2.73
2018-11-13,2.24,2.38,2.53,2.72
2018-11-14,2.24,2.38,2.52,2.71
2018-11-15,2.2,2.37,2.51,2.7
2018-11-16,2.21,2.36,2.5,2.68
2018-11-19,2.23,2.38,2.52,2.66
2018-11-20,2.23,2.39,2.51,2.67
2018-11-21,2.25,2.41,2.52,2.67
2018-11-23,2.25,2.41,2.52,2.67
2018-11-26,2.24,2.41,2.54,2.7
2018-11-27,2.31,2.41,2.53,2.7
2018-11-28,2.31,2.4,2.53,2.69
2018-11-29,2.31,2.37,2.52,2.69
2018-11-30,2.31,2.37,2.52,2.7
2018-12-03,2.3,2.38,2.56,2.72
2018-12-04,2.37,2.42,2.58,2.71
2018-12-06,2.36,2.41,2.56,2.7
2018-12-07,2.32,2.4,2.54,2.68
2018-12-10,2.32,2.41,2.54,2.69
2018-12-11,2.28,2.41,2.55,2.7
2018-12-12,2.3,2.43,2.56,2.7
2018-12-13,2.36,2.43,2.56,2.69
2018-12-14,2.36,2.42,2.56,2.68
2018-12-17,2.36,2.4,2.54,2.66
2018-12-18,2.35,2.39,2.53,2.64
2018-12-19,2.35,2.4,2.54,2.62
2018-12-20,2.42,2.39,2.55,2.64
2018-12-21,2.41,2.39,2.54,2.62
2018-12-24,2.42,2.45,2.52,2.61
2018-12-26,2.41,2.44,2.54,2.61
2018-12-27,2.43,2.41,2.49,2.58
2018-12-28,2.39,2.4,2.48,2.57
2018-12-31,2.44,2.45,2.56,2.63
2019-01-02,2.4,2.42,2.51,2.6
2019-01-03,2.42,2.41,2.47,2.5
2019-01-04,2.4,2.42,2.51,2.57
2019-01-07,2.42,2.45,2.54,2.58
2019-01-08,2.4,2.46,2.54,2.6
2019-01-09,2.4,2.45,2.52,2.59
2019-01-10,2.42,2.43,2.51,2.59
2019-01-11,2.41,2.43,2.5,2.58
2019-01-14,2.42,2.45,2.52,2.57
2019-01-15,2.41,2.45,2.52,2.57
2019-01-16,2.41,2.43,2.49,2.57
2019-01-17,2.41,2.42,2.5,2.57
2019-01-18,2.4,2.41,2.5,2.6
2019-01-22,2.38,2.43,2.51,2.59
2019-01-23,2.37,2.41,2.51,2.59
2019-01-24,2.38,2.37,2.5,2.58
2019-01-25,2.36,2.39,2.51,2.6
2019-01-28,2.39,2.42,2.51,2.6
2019-01-29,2.39,2.42,2.51,2.6
2019-01-30,2.4,2.42,2.5,2.57
2019-01-31,2.42,2.41,2.46,2.55
2019-02-01,2.41,2.4,2.46,2.56
2019-02-04,2.41,2.42,2.49,2.57
2019-02-05,2.39,2.42,2.5,2.56
2019-02-06,2.4,2.42,2.5,2.56
2019-02-07,2.43,2.42,2.49,2.55
2019-02-08,2.43,2.43,2.49,2.54
2019-02-11,2.44,2.45,2.51,2.55
2019-02-12,2.42,2.43,2.5,2.55
2019-02-13,2.42,2.44,2.51,2.55
2019-02-14,2.45,2.43,2.51,2.53
2019-02-15,2.43,2.43,2.5,2.55
2019-02-19,2.44,2.45,2.52,2.54
2019-02-20,2.41,2.45,2.51,2.54
2019-02-21,2.43,2.45,2.51,2.55
2019-02-22,2.43,2.46,2.51,2.55
2019-02-25,2.44,2.47,2.51,2.56
2019-02-26,2.43,2.45,2.51,2.55
2019-02-27,2.43,2.45,2.52,2.54
2019-02-28,2.44,2.45,2.5,2.54
2019-03-01,2.44,2.44,2.52,2.55
2019-03-04,2.45,2.46,2.54,2.54
2019-03-05,2.44,2.46,2.53,2.54
2019-03-06,2.43,2.47,2.53,2.54
2019-03-07,2.45,2.45,2.52,2.52
2019-03-08,2.45,2.46,2.52,2.53
2019-03-11,2.44,2.46,2.54,2.53
2019-03-12,2.44,2.46,2.53,2.52
2019-03-13,2.43,2.45,2.53,2.53
2019-03-14,2.48,2.45,2.52,2.52
2019-03-15,2.46,2.45,2.52,2.52
2019-03-18,2.47,2.44,2.51,2.52
2019-03-19,2.46,2.46,2.52,2.5
2019-03-20,2.45,2.48,2.49,2.47
2019-03-21,2.51,2.49,2.5,2.48
2019-03-22,2.49,2.46,2.48,2.45
2019-03-25,2.47,2.46,2.49,2.41
2019-03-26,2.46,2.46,2.49,2.44
2019-03-27,2.45,2.44,2.46,2.4
2019-03-28,2.44,2.43,2.44,2.4
2019-03-29,2.43,2.4,2.44,2.4
2019-04-01,2.42,2.43,2.46,2.41
2019-04-02,2.43,2.42,2.45,2.41
2019-04-03,2.42,2.44,2.45,2.41
2019-04-04,2.43,2.44,2.46,2.41
2019-04-05,2.42,2.44,2.46,2.43
2019-04-08,2.43,2.43,2.48,2.43
2019-04-09,2.42,2.42,2.46,2.42
2019-04-10,2.4,2.43,2.46,2.41
2019-04-11,2.42,2.43,2.46,2.44
2019-04-12,2.41,2.44,2.47,2.44
2019-04-15,2.42,2.43,2.46,2.43
2019-04-16,2.43,2.43,2.47,2.45
2019-04-17,2.43,2.44,2.47,2.44
2019-04-18,2.44,2.42,2.47,2.44
2019-04-22,2.44,2.44,2.47,2.46
2019-04-23,2.43,2.45,2.46,2.43
2019-04-24,2.42,2.44,2.46,2.42
2019-04-25,2.43,2.43,2.46,2.42
2019-04-26,2.42,2.42,2.46,2.41
2019-04-29,2.45,2.44,2.47,2.42
2019-04-30,2.43,2.43,2.46,2.39
2019-05-01,2.42,2.43,2.44,2.39
2019-05-02,2.44,2.47,2.46,2.41
2019-05-03,2.42,2.43,2.46,2.41
2019-05-06,2.43,2.44,2.46,2.39
2019-05-07,2.44,2.43,2.46,2.37
2019-05-08,2.42,2.43,2.45,2.37
2019-05-09,2.43,2.43,2.46,2.36
2019-05-10,2.42,2.43,2.45,2.36
2019-05-13,2.41,2.41,2.42,2.32
2019-05-14,2.41,2.41,2.43,2.32
2019-05-15,2.4,2.42,2.43,2.3
2019-05-16,2.4,2.4,2.43,2.33
2019-05-17,2.39,2.39,2.42,2.33
2019-05-20,2.39,2.39,2.42,2.34
2019-05-21,2.37,2.39,2.42,2.36
2019-05-22,2.36,2.38,2.41,2.37
2019-05-23,2.38,2.37,2.4,2.32
2019-05-24,2.37,2.35,2.39,2.33
2019-05-28,2.35,2.37,2.38,2.31
2019-05-29,2.35,2.37,2.38,2.3
2019-05-30,2.37,2.38,2.4,2.29
2019-05-31,2.35,2.35,2.35,2.21
2019-06-03,2.36,2.35,2.31,2.11
2019-06-04,2.34,2.35,2.29,2.11
2019-06-05,2.31,2.35,2.25,2.04
2019-06-06,2.32,2.33,2.22,2.02
2019-06-07,2.3,2.28,2.15,1.97
2019-06-10,2.3,2.29,2.21,2.03
2019-06-11,2.27,2.27,2.21,2.05
2019-06-12,2.19,2.24,2.2,2.02
2019-06-13,2.24,2.19,2.18,2.0
2019-06-14,2.23,2.2,2.18,2.0
2019-06-17,2.22,2.23,2.2,2.03
2019-06-18,2.18,2.22,2.2,2.04
2019-06-19,2.14,2.18,2.11,1.96
2019-06-20,2.17,2.14,2.04,1.91
2019-06-21,2.16,2.11,2.05,1.95
2019-06-24,2.12,2.13,2.1,1.92
2019-06-25,2.11,2.12,2.1,1.93
2019-06-26,2.11,2.15,2.12,1.96
2019-06-27,2.19,2.14,2.12,1.93
2019-06-28,2.18,2.12,2.09,1.92
2019-07-01,2.17,2.21,2.1,1.94
2019-07-02,2.21,2.2,2.09,1.91
2019-07-03,2.25,2.21,2.08,1.91
2019-07-05,2.26,2.23,2.14,1.98
2019-07-08,2.23,2.26,2.14,1.99
2019-07-09,2.22,2.26,2.15,2.0
2019-07-10,2.18,2.2,2.07,1.93
2019-07-11,2.17,2.17,2.08,1.97
2019-07-12,2.16,2.14,2.07,1.96
2019-07-15,2.17,2.16,2.06,1.95
2019-07-16,2.16,2.15,2.06,2.0
2019-07-17,2.13,2.14,2.04,1.95
2019-07-18,2.11,2.05,2.01,1.9
2019-07-19,2.11,2.06,2.03,1.94
2019-07-22,2.13,2.09,2.08,1.95
2019-07-23,2.12,2.06,2.09,1.97
2019-07-24,2.1,2.1,2.08,1.98
2019-07-25,2.16,2.1,2.08,1.99
2019-07-26,2.13,2.12,2.1,2.0
2019-07-29,2.12,2.12,2.1,1.98
2019-07-30,2.07,2.08,2.07,1.97
2019-07-31,2.01,2.08,2.1,2.0
2019-08-01,2.11,2.07,2.04,1.88
2019-08-02,2.11,2.06,2.02,1.85
2019-08-05,2.07,2.05,1.99,1.78
2019-08-06,2.05,2.05,2.0,1.8
2019-08-07,2.02,2.02,1.95,1.75
2019-08-08,2.09,2.02,1.96,1.79
2019-08-09,2.05,2.0,1.95,1.78
2019-08-12,2.09,2.0,1.94,1.75
2019-08-13,2.05,2.0,1.96,1.86
2019-08-14,1.98,1.96,1.92,1.79
2019-08-15,2.08,1.91,1.86,1.72
2019-08-16,2.05,1.87,1.85,1.71
2019-08-19,2.06,1.94,1.9,1.75
2019-08-20,2.05,1.94,1.89,1.72
2019-08-21,2.03,1.97,1.9,1.77
2019-08-22,2.1,2.0,1.91,1.79
2019-08-23,2.07,1.97,1.87,1.73
2019-08-26,2.09,2.01,1.9,1.75
2019-08-27,2.07,1.98,1.94,1.77
2019-08-28,2.07,1.99,1.89,1.74
2019-08-29,2.1,1.99,1.89,1.75
2019-08-30,2.1,1.99,1.89,1.76
2019-09-03,2.06,1.98,1.88,1.72
2019-09-04,2.05,1.97,1.87,1.69
2019-09-05,2.05,1.97,1.88,1.73
2019-09-06,2.05,1.96,1.88,1.73
2019-09-09,2.04,1.96,1.87,1.74
2019-09-10,2.04,1.95,1.89,1.81
2019-09-11,2.01,1.96,1.88,1.79
2019-09-12,1.99,1.95,1.9,1.82
2019-09-13,1.99,1.96,1.92,1.88
2019-09-16,2.08,1.99,1.93,1.86
2019-09-17,2.1,1.99,1.93,1.87
2019-09-18,1.94,1.95,1.91,1.87
2019-09-19,2.01,1.93,1.92,1.88
2019-09-20,1.95,1.91,1.91,1.84
2019-09-23,1.94,1.94,1.93,1.81
2019-09-24,1.9,1.92,1.91,1.78
2019-09-25,1.8,1.89,1.9,1.82
2019-09-26,1.91,1.83,1.88,1.79
2019-09-27,1.9,1.8,1.85,1.74
2019-09-30,1.91,1.88,1.83,1.75
2019-10-01,1.79,1.82,1.81,1.73
2019-10-02,1.75,1.79,1.75,1.67
2019-10-03,1.78,1.7,1.66,1.58
2019-10-04,1.73,1.71,1.65,1.58
2019-10-07,1.76,1.75,1.73,1.64
2019-10-08,1.69,1.72,1.69,1.62
2019-10-09,1.69,1.69,1.69,1.59
2019-10-10,1.74,1.68,1.68,1.63
2019-10-11,1.76,1.68,1.68,1.67
2019-10-15,1.74,1.67,1.67,1.65
2019-10-16,1.71,1.66,1.64,1.59
2019-10-17,1.74,1.66,1.63,1.59
2019-10-18,1.75,1.66,1.63,1.58
2019-10-21,1.76,1.67,1.65,1.59
2019-10-22,1.75,1.65,1.64,1.59
2019-10-23,1.74,1.65,1.64,1.58
2019-10-24,1.75,1.67,1.65,1.59
2019-10-25,1.73,1.66,1.66,1.6
2019-10-28,1.74,1.65,1.65,1.6
2019-10-29,1.66,1.63,1.64,1.59
2019-10-30,1.61,1.62,1.62,1.59
2019-10-31,1.59,1.54,1.57,1.53
2019-11-01,1.58,1.52,1.55,1.53
2019-11-04,1.58,1.53,1.57,1.56
2019-11-05,1.56,1.56,1.58,1.62
2019-11-06,1.55,1.56,1.57,1.58
2019-11-07,1.57,1.56,1.58,1.58
2019-11-08,1.56,1.55,1.58,1.58
2019-11-12,1.56,1.59,1.59,1.58
2019-11-13,1.56,1.57,1.59,1.57
2019-11-14,1.59,1.57,1.58,1.55
2019-11-15,1.59,1.57,1.59,1.54
2019-11-18,1.59,1.57,1.58,1.54
2019-11-19,1.58,1.57,1.58,1.54
2019-11-20,1.57,1.57,1.58,1.54
2019-11-21,1.57,1.58,1.59,1.55
2019-11-22,1.58,1.58,1.59,1.56
2019-11-25,1.6,1.61,1.61,1.58
2019-11-26,1.63,1.6,1.62,1.59
2019-11-27,1.65,1.62,1.63,1.6
2019-11-29,1.62,1.59,1.63,1.6
2019-12-02,1.6,1.6,1.62,1.6
2019-12-03,1.56,1.57,1.57,1.57
2019-12-04,1.59,1.55,1.56,1.56
2019-12-05,1.52,1.54,1.55,1.56
2019-12-06,1.52,1.53,1.56,1.57
2019-12-09,1.54,1.54,1.58,1.56
2019-12-10,1.53,1.56,1.57,1.56
2019-12-11,1.54,1.57,1.58,1.55
2019-12-12,1.57,1.56,1.57,1.55
2019-12-13,1.55,1.57,1.56,1.54
2019-12-16,1.57,1.57,1.58,1.54
2019-12-17,1.56,1.56,1.58,1.53
2019-12-18,1.56,1.56,1.58,1.54
2019-12-19,1.54,1.57,1.57,1.52
2019-12-20,1.57,1.58,1.58,1.52
2019-12-23,1.57,1.59,1.6,1.53
2019-12-24,1.55,1.58,1.61,1.53
2019-12-26,1.59,1.58,1.61,1.53
2019-12-27,1.56,1.57,1.59,1.51
2019-12-30,1.51,1.57,1.6,1.57
2019-12-31,1.48,1.55,1.6,1.59
2020-01-02,1.53,1.54,1.57,1.56
2020-01-03,1.52,1.52,1.55,1.55
2020-01-06,1.54,1.56,1.56,1.54
2020-01-07,1.52,1.54,1.56,1.53
2020-01-08,1.5,1.54,1.56,1.55
2020-01-09,1.53,1.54,1.56,1.54
2020-01-10,1.52,1.54,1.55,1.53
2020-01-13,1.54,1.57,1.57,1.53
2020-01-14,1.53,1.57,1.57,1.53
2020-01-15,1.53,1.57,1.58,1.54
2020-01-16,1.54,1.55,1.56,1.54
2020-01-17,1.54,1.56,1.57,1.56
2020-01-21,1.52,1.56,1.57,1.54
2020-01-22,1.52,1.55,1.56,1.55
2020-01-23,1.55,1.55,1.56,1.55
2020-01-24,1.54,1.54,1.55,1.55
2020-01-27,1.53,1.55,1.57,1.53
2020-01-28,1.53,1.57,1.58,1.53
2020-01-29,1.52,1.56,1.57,1.51
2020-01-30,1.59,1.57,1.57,1.48
2020-01-31,1.56,1.55,1.54,1.45
2020-02-03,1.56,1.57,1.56,1.46
2020-02-04,1.55,1.57,1.57,1.48
2020-02-05,1.55,1.57,1.57,1.49
2020-02-06,1.59,1.57,1.58,1.51
2020-02-07,1.57,1.56,1.57,1.49
2020-02-10,1.58,1.58,1.58,1.45
2020-02-11,1.57,1.57,1.55,1.48
2020-02-12,1.57,1.58,1.56,1.49
2020-02-13,1.59,1.59,1.56,1.48
2020-02-14,1.6,1.58,1.56,1.49
2020-02-18,1.61,1.58,1.56,1.47
2020-02-19,1.61,1.58,1.56,1.47
2020-02-20,1.61,1.58,1.55,1.46
2020-02-21,1.6,1.56,1.53,1.43
2020-02-24,1.6,1.53,1.49,1.35
2020-02-25,1.59,1.53,1.47,1.3
2020-02-26,1.59,1.53,1.42,1.26
2020-02-27,1.56,1.45,1.33,1.18
2020-02-28,1.45,1.27,1.11,0.97
2020-03-02,1.41,1.13,0.95,0.89
2020-03-03,1.11,0.95,0.83,0.73
2020-03-04,1.0,0.72,0.68,0.59
2020-03-05,0.92,0.62,0.53,0.48
2020-03-06,0.79,0.45,0.41,0.39
2020-03-09,0.57,0.33,0.27,0.31
2020-03-10,0.57,0.44,0.43,0.43
2020-03-11,0.42,0.42,0.4,0.4
2020-03-12,0.41,0.33,0.37,0.39
2020-03-13,0.33,0.28,0.38,0.38
2020-03-16,0.25,0.24,0.29,0.29
2020-03-17,0.12,0.19,0.24,0.3
2020-03-18,0.04,0.02,0.08,0.21
2020-03-19,0.04,0.04,0.06,0.2
2020-03-20,0.04,0.05,0.05,0.15
2020-03-23,0.01,0.02,0.08,0.17
2020-03-24,0.01,0.01,0.09,0.25
2020-03-25,0.0,0.0,0.07,0.19
2020-03-26,0.01,0.0,0.04,0.13
2020-03-27,0.01,0.03,0.02,0.11
2020-03-30,0.04,0.12,0.12,0.14
2020-03-31,0.05,0.11,0.15,0.17
2020-04-01,0.03,0.09,0.14,0.16
2020-04-02,0.09,0.09,0.15,0.14
2020-04-03,0.09,0.1,0.15,0.15
2020-04-06,0.09,0.15,0.17,0.2
2020-04-07,0.1,0.14,0.2,0.2
2020-04-08,0.14,0.22,0.24,0.23
2020-04-09,0.2,0.25,0.24,0.25
2020-04-13,0.17,0.26,0.27,0.27
2020-04-14,0.17,0.2,0.24,0.25
2020-04-15,0.14,0.14,0.19,0.19
2020-04-16,0.14,0.14,0.18,0.17
2020-04-17,0.12,0.12,0.16,0.16
2020-04-20,0.1,0.12,0.15,0.15
2020-04-21,0.08,0.11,0.14,0.17
2020-04-22,0.09,0.12,0.14,0.16
2020-04-23,0.09,0.11,0.14,0.17
2020-04-24,0.1,0.12,0.14,0.18
2020-04-27,0.09,0.12,0.15,0.17
2020-04-28,0.08,0.11,0.13,0.16
2020-04-29,0.1,0.1,0.12,0.18
2020-04-30,0.1,0.09,0.11,0.16
2020-05-01,0.1,0.12,0.12,0.17
2020-05-04,0.1,0.13,0.14,0.16
2020-05-05,0.09,0.13,0.15,0.16
2020-05-06,0.08,0.12,0.16,0.16
2020-05-07,0.1,0.11,0.14,0.15
2020-05-08,0.1,0.12,0.15,0.15
2020-05-11,0.09,0.12,0.16,0.16
2020-05-12,0.1,0.13,0.16,0.16
2020-05-13,0.1,0.13,0.15,0.15
2020-05-14,0.09,0.12,0.15,0.15
2020-05-15,0.09,0.12,0.15,0.15
2020-05-18,0.1,0.13,0.15,0.17
2020-05-19,0.09,0.13,0.15,0.16
2020-05-20,0.08,0.12,0.14,0.16
2020-05-21,0.09,0.12,0.14,0.16
2020-05-22,0.09,0.12,0.16,0.17
2020-05-26,0.1,0.14,0.17,0.17
2020-05-27,0.11,0.15,0.17,0.18
2020-05-28,0.14,0.15,0.18,0.17
2020-05-29,0.13,0.14,0.18,0.17
2020-06-01,0.12,0.14,0.18,0.17
2020-06-02,0.12,0.15,0.18,0.17
2020-06-03,0.12,0.16,0.19,0.17
2020-06-04,0.13,0.15,0.18,0.17
2020-06-05,0.13,0.15,0.18,0.18
2020-06-08,0.15,0.17,0.19,0.19
2020-06-09,0.14,0.19,0.19,0.19
2020-06-10,0.13,0.17,0.19,0.18
2020-06-11,0.14,0.17,0.18,0.19
2020-06-12,0.14,0.16,0.18,0.18
2020-06-15,0.15,0.18,0.19,0.17
2020-06-16,0.14,0.17,0.19,0.18
2020-06-17,0.13,0.17,0.18,0.19
2020-06-18,0.13,0.16,0.17,0.19
2020-06-19,0.13,0.15,0.17,0.18
2020-06-22,0.14,0.16,0.18,0.17
2020-06-23,0.12,0.16,0.17,0.18
2020-06-24,0.11,0.15,0.17,0.17
2020-06-25,0.13,0.16,0.17,0.17
2020-06-26,0.12,0.14,0.17,0.17
2020-06-29,0.11,0.14,0.18,0.16
2020-06-30,0.13,0.16,0.18,0.16
2020-07-01,0.12,0.14,0.17,0.16
2020-07-02,0.13,0.14,0.16,0.16
2020-07-06,0.12,0.15,0.16,0.16
2020-07-07,0.12,0.15,0.17,0.15
2020-07-08,0.11,0.15,0.17,0.15
2020-07-09,0.11,0.13,0.16,0.15
2020-07-10,0.1,0.13,0.15,0.15
2020-07-13,0.11,0.14,0.15,0.16
2020-07-14,0.11,0.15,0.14,0.17
2020-07-15,0.12,0.16,0.15,0.15
2020-07-16,0.12,0.11,0.13,0.14
2020-07-17,0.11,0.11,0.13,0.14
2020-07-20,0.11,0.13,0.14,0.14
2020-07-21,0.09,0.13,0.13,0.15
2020-07-22,0.09,0.13,0.14,0.14
2020-07-23,0.09,0.12,0.13,0.14
2020-07-24,0.1,0.11,0.14,0.16
2020-07-27,0.1,0.11,0.14,0.14
2020-07-28,0.09,0.11,0.12,0.14
2020-07-29,0.09,0.11,0.12,0.13
2020-07-30,0.1,0.09,0.11,0.11
2020-07-31,0.09,0.09,0.1,0.11
2020-08-03,0.09,0.1,0.11,0.12
2020-08-04,0.09,0.09,0.11,0.14
2020-08-05,0.08,0.1,0.12,0.12
2020-08-06,0.07,0.1,0.11,0.14
2020-08-07,0.08,0.1,0.12,0.14
2020-08-10,0.09,0.11,0.13,0.13
2020-08-11,0.08,0.11,0.12,0.15
2020-08-12,0.08,0.11,0.12,0.13
2020-08-13,0.08,0.1,0.12,0.14
2020-08-14,0.09,0.1,0.12,0.13
2020-08-17,0.09,0.1,0.12,0.13
2020-08-18,0.08,0.09,0.13,0.13
2020-08-19,0.07,0.11,0.12,0.13
2020-08-20,0.08,0.11,0.13,0.12
2020-08-21,0.07,0.1,0.12,0.13
2020-08-24,0.09,0.12,0.12,0.14
2020-08-25,0.08,0.11,0.12,0.13
2020-08-26,0.08,0.11,0.12,0.12
2020-08-27,0.09,0.11,0.11,0.13
2020-08-28,0.09,0.1,0.11,0.12
2020-08-31,0.08,0.11,0.13,0.12
2020-09-01,0.09,0.12,0.13,0.12
2020-09-02,0.1,0.12,0.12,0.13
