date,CPIAUCSL,CPILFESL,PCEPI,PCEPILFE
2018-05-01,250.792,257.145,101.941,101.78
2018-06-01,251.018,257.399,102.029,101.872
2018-07-01,251.214,257.699,102.137,102.006
2018-08-01,251.663,257.891,102.208,102.016
2018-09-01,252.182,258.368,102.418,102.205
2018-10-01,252.772,258.917,102.595,102.366
2018-11-01,252.594,259.439,102.63,102.556
2018-12-01,252.767,260.063,102.701,102.735
2019-01-01,252.561,260.766,102.648,102.87
2019-02-01,253.319,261.186,102.836,102.963
2019-03-01,254.277,261.567,103.069,103.058
2019-04-01,255.233,261.997,103.36,103.265
2019-05-01,255.296,262.217,103.435,103.371
2019-06-01,255.213,262.739,103.484,103.56
2019-07-01,255.802,263.28,103.622,103.678
2019-08-01,256.036,263.877,103.67,103.797
2019-09-01,256.43,264.388,103.733,103.873
2019-10-01,257.155,264.97,103.917,104.028
2019-11-01,257.879,265.548,104.024,104.092
2019-12-01,258.63,266.02,104.307,104.322
2020-01-01,259.127,266.716,104.49,104.507
2020-02-01,259.25,267.37,104.573,104.711
2020-03-01,258.076,267.054,104.271,104.632
2020-04-01,256.032,265.746,103.838,104.293
2020-05-01,255.802,265.412,103.942,104.402
2020-06-01,257.042,265.849,104.27,104.565
2020-07-01,258.352,267.389,104.578,104.937
2020-08-01,259.316,268.422,104.87,105.243
2020-09-01,259.997,268.933,105.057,105.41
2020-10-01,260.319,269.306,105.151,105.507
2020-11-01,260.911,269.981,105.258,105.605
2020-12-01,262.045,270.341,105.699,105.896
2021-01-01,262.687,270.387,106.147,106.281
2021-02-01,263.579,270.793,106.5,106.501
2021-03-01,264.961,271.459,107.054,106.933
2021-04-01,266.614,273.66,107.618,107.558
2021-05-01,268.383,275.465,108.175,108.099
2021-06-01,270.654,277.651,108.76,108.603
2021-07-01,271.903,278.648,109.256,109.058
2021-08-01,272.676,278.997,109.674,109.409
2021-09-01,273.91,279.698,110.034,109.641
2021-10-01,276.55,281.668,110.762,110.188
2021-11-01,278.919,283.406,111.5,110.77
2021-12-01,280.845,285.18,112.191,111.418
2022-01-01,282.543,286.757,112.805,111.976
2022-02-01,284.5,288.273,113.471,112.468
2022-03-01,287.674,289.056,114.469,112.914
2022-04-01,288.561,290.514,114.812,113.307
2022-05-01,291.298,292.063,115.525,113.703
2022-06-01,294.957,294.05,116.638,114.376
2022-07-01,294.913,295.088,116.631,114.628
2022-08-01,295.097,296.535,116.956,115.276
2022-09-01,296.349,298.226,117.371,115.788
2022-10-01,298.007,299.399,117.919,116.204
2022-11-01,298.786,300.325,118.224,116.539
2022-12-01,298.832,301.394,118.384,116.952
2023-01-01,300.42,302.642,119.018,117.505
2023-02-01,301.45,304.123,119.369,117.929
2023-03-01,301.821,305.147,119.538,118.315
2023-04-01,302.845,306.534,119.951,118.734
2023-05-01,303.334,307.652,120.15,119.083
2023-06-01,304.014,308.322,120.469,119.39
2023-07-01,304.609,308.96,120.607,119.556
2023-08-01,306.082,309.58,120.97,119.689
2023-09-01,307.276,310.539,121.419,120.058
2023-10-01,307.696,311.457,121.484,120.241
2023-11-01,308.148,312.392,121.493,120.374
2023-12-01,308.741,313.195,121.66,120.592
2024-01-01,309.698,314.319,122.23,121.217
2024-02-01,310.967,315.564,122.598,121.537
2024-03-01,312.345,316.792,123.038,122.009
2024-04-01,313.023,317.649,123.341,122.304
2024-05-01,313.175,318.095,123.348,122.383
2024-06-01,313.044,318.39,123.539,122.677
2024-07-01,313.569,318.94,123.736,122.911
2024-08-01,314.062,319.75,123.889,123.128
2024-09-01,314.732,320.732,124.164,123.466
2024-10-01,315.631,321.731,124.494,123.832
2024-11-01,316.528,322.657,124.637,123.962
2024-12-01,317.604,323.259,124.979,124.196
