date,PPIACO,PPIFIS,DCOILWTICO,HOUST,UNRATE,CES0500000003
2012-11-30,201.8,108.4,88.54,833.0,7.7,23.63
2012-12-01,201.5,108.4,88.54,976.0,7.9,23.72
2012-12-31,201.5,108.4,91.83,976.0,7.9,23.72
2013-01-01,202.5,108.7,91.83,888.0,8.0,23.74
2013-01-31,202.5,108.7,97.65,888.0,8.0,23.74
2013-02-01,204.3,108.9,97.65,962.0,7.7,23.78
2013-02-28,204.3,108.9,92.03,962.0,7.7,23.78
2013-03-01,204.0,108.9,92.03,1010.0,7.5,23.8
2013-03-31,204.0,108.9,97.24,1010.0,7.5,23.8
2013-04-01,203.5,108.7,97.24,835.0,7.6,23.87
2013-04-30,203.5,108.7,93.22,835.0,7.6,23.87
2013-05-01,204.1,108.6,93.22,930.0,7.5,23.89
2013-05-31,204.1,108.6,91.93,930.0,7.5,23.89
2013-06-01,204.3,109.0,91.93,839.0,7.5,23.96
2013-06-30,204.3,109.0,96.36,839.0,7.5,23.96
2013-07-01,204.4,109.2,96.36,880.0,7.3,23.98
2013-07-31,204.4,109.2,105.1,880.0,7.3,23.98
2013-08-01,204.2,109.3,105.1,917.0,7.2,24.02
2013-08-31,204.2,109.3,107.98,917.0,7.2,24.02
2013-09-01,203.9,109.3,107.98,850.0,7.2,24.06
2013-09-30,203.9,109.3,102.36,850.0,7.2,24.06
2013-10-01,202.5,109.5,102.36,925.0,7.2,24.09
2013-10-31,202.5,109.5,96.29,925.0,7.2,24.09
2013-11-01,201.2,109.7,96.29,1100.0,6.9,24.16
2013-11-30,201.2,109.7,92.55,1100.0,6.9,24.16
2013-12-01,202.0,109.8,92.55,1002.0,6.7,24.18
2013-12-31,202.0,109.8,98.17,1002.0,6.7,24.18
2014-01-01,203.8,110.1,98.17,888.0,6.6,24.22
2014-01-31,203.8,110.1,97.55,888.0,6.6,24.22
2014-02-01,205.7,110.3,97.55,944.0,6.7,24.33
2014-02-28,205.7,110.3,102.88,944.0,6.7,24.33
2014-03-01,207.0,110.7,102.88,970.0,6.7,24.31
2014-03-31,207.0,110.7,101.57,970.0,6.7,24.31
2014-04-01,208.3,110.8,101.57,1043.0,6.2,24.34
2014-04-30,208.3,110.8,100.07,1043.0,6.2,24.34
2014-05-01,208.0,111.0,100.07,1007.0,6.3,24.4
2014-05-31,208.0,111.0,103.4,1007.0,6.3,24.4
2014-06-01,208.3,110.9,103.4,911.0,6.1,24.46
2014-06-30,208.3,110.9,106.07,911.0,6.1,24.46
2014-07-01,208.0,111.3,106.07,1085.0,6.2,24.48
2014-07-31,208.0,111.3,98.23,1085.0,6.2,24.48
2014-08-01,207.0,111.3,98.23,984.0,6.1,24.54
2014-08-31,207.0,111.3,97.86,984.0,6.1,24.54
2014-09-01,206.4,111.1,97.86,1023.0,5.9,24.56
2014-09-30,206.4,111.1,91.17,1023.0,5.9,24.56
2014-10-01,203.4,111.3,91.17,1074.0,5.7,24.59
2014-10-31,203.4,111.3,80.53,1074.0,5.7,24.59
2014-11-01,200.9,111.1,80.53,1001.0,5.8,24.66
2014-11-30,200.9,111.1,65.94,1001.0,5.8,24.66
2014-12-01,197.0,110.8,65.94,1073.0,5.6,24.63
2014-12-31,197.0,110.8,53.45,1073.0,5.6,24.63
2015-01-01,192.0,110.1,53.45,1085.0,5.7,24.74
2015-01-31,192.0,110.1,47.79,1085.0,5.7,24.74
2015-02-01,191.1,109.6,47.79,886.0,5.5,24.79
2015-02-28,191.1,109.6,49.84,886.0,5.5,24.79
2015-03-01,191.5,109.8,49.84,960.0,5.4,24.85
2015-03-31,191.5,109.8,47.72,960.0,5.4,24.85
2015-04-01,190.9,109.6,47.72,1190.0,5.4,24.89
2015-04-30,190.9,109.6,59.62,1190.0,5.4,24.89
2015-05-01,193.4,110.0,59.62,1079.0,5.6,24.97
2015-05-31,193.4,110.0,60.25,1079.0,5.6,24.97
2015-06-01,194.8,110.3,60.25,1205.0,5.3,24.97
2015-06-30,194.8,110.3,59.48,1205.0,5.3,24.97
2015-07-01,193.9,110.5,59.48,1146.0,5.2,25.01
2015-07-31,193.9,110.5,47.11,1146.0,5.2,25.01
2015-08-01,191.9,110.3,47.11,1130.0,5.1,25.1
2015-08-31,191.9,110.3,49.2,1130.0,5.1,25.1
2015-09-01,189.1,109.9,49.2,1224.0,5.0,25.11
2015-09-30,189.1,109.9,45.06,1224.0,5.0,25.11
2015-10-01,187.5,109.6,45.06,1058.0,5.0,25.2
2015-10-31,187.5,109.6,46.6,1058.0,5.0,25.2
2015-11-01,185.7,109.7,46.6,1172.0,5.1,25.25
2015-11-30,185.7,109.7,40.43,1172.0,5.1,25.25
2015-12-01,183.5,109.6,40.43,1146.0,5.0,25.25
2015-12-31,183.5,109.6,37.13,1146.0,5.0,25.25
2016-01-01,182.6,110.0,37.13,1092.0,4.8,25.37
2016-01-31,182.6,110.0,33.66,1092.0,4.8,25.37
2016-02-01,181.3,109.7,33.66,1225.0,4.9,25.38
2016-02-29,181.3,109.7,32.74,1225.0,4.9,25.38
2016-03-01,182.1,109.7,32.74,1111.0,5.0,25.45
2016-03-31,182.1,109.7,36.94,1111.0,5.0,25.45
2016-04-01,183.2,109.9,36.94,1163.0,5.1,25.53
2016-04-30,183.2,109.9,45.98,1163.0,5.1,25.53
2016-05-01,185.3,110.1,45.98,1148.0,4.8,25.58
2016-05-31,185.3,110.1,49.1,1148.0,4.8,25.58
2016-06-01,187.6,110.6,49.1,1203.0,4.9,25.62
2016-06-30,187.6,110.6,48.27,1203.0,4.9,25.62
2016-07-01,187.7,110.5,48.27,1239.0,4.8,25.69
2016-07-31,187.7,110.5,41.54,1239.0,4.8,25.69
2016-08-01,186.6,110.3,41.54,1171.0,4.9,25.71
2016-08-31,186.6,110.3,44.68,1171.0,4.9,25.71
2016-09-01,186.9,110.6,44.68,1068.0,5.0,25.77
2016-09-30,186.9,110.6,47.72,1068.0,5.0,25.77
2016-10-01,186.7,110.9,47.72,1313.0,4.9,25.9
2016-10-31,186.7,110.9,46.83,1313.0,4.9,25.9
2016-11-01,186.3,111.1,46.83,1140.0,4.7,25.9
2016-11-30,186.3,111.1,49.41,1140.0,4.7,25.9
2016-12-01,188.2,111.4,49.41,1252.0,4.7,25.93
2016-12-31,188.2,111.4,53.75,1252.0,4.7,25.93
2017-01-01,190.7,111.9,53.75,1190.0,4.7,26.0
2017-01-31,190.7,111.9,52.75,1190.0,4.7,26.0
2017-02-01,191.6,111.9,52.75,1271.0,4.6,26.07
2017-02-28,191.6,111.9,54.0,1271.0,4.6,26.07
2017-03-01,191.5,112.1,54.0,1190.0,4.4,26.11
2017-03-31,191.5,112.1,50.54,1190.0,4.4,26.11
2017-04-01,193.0,112.6,50.54,1146.0,4.4,26.18
2017-04-30,193.0,112.6,49.31,1146.0,4.4,26.18
2017-05-01,192.8,112.5,49.31,1157.0,4.4,26.21
2017-05-31,192.8,112.5,48.29,1157.0,4.4,26.21
2017-06-01,193.6,112.6,48.29,1249.0,4.3,26.26
2017-06-30,193.6,112.6,46.02,1249.0,4.3,26.26
2017-07-01,193.5,112.7,46.02,1206.0,4.3,26.35
2017-07-31,193.5,112.7,50.21,1206.0,4.3,26.35
2017-08-01,193.8,113.1,50.21,1159.0,4.4,26.37
2017-08-31,193.8,113.1,47.26,1159.0,4.4,26.37
2017-09-01,194.8,113.5,47.26,1181.0,4.3,26.49
2017-09-30,194.8,113.5,51.67,1181.0,4.3,26.49
2017-10-01,194.9,113.9,51.67,1257.0,4.2,26.5
2017-10-31,194.9,113.9,54.36,1257.0,4.2,26.5
2017-11-01,195.9,114.3,54.36,1273.0,4.2,26.54
2017-11-30,195.9,114.3,57.4,1273.0,4.2,26.54
2017-12-01,196.3,114.4,57.4,1177.0,4.1,26.63
2017-12-31,196.3,114.4,60.46,1177.0,4.1,26.63
2018-01-01,197.9,114.8,60.46,1299.0,4.0,26.72
2018-01-31,197.9,114.8,64.82,1299.0,4.0,26.72
2018-02-01,199.3,115.1,64.82,1277.0,4.1,26.74
2018-02-28,199.3,115.1,61.43,1277.0,4.1,26.74
2018-03-01,199.3,115.3,61.43,1318.0,4.0,26.85
2018-03-31,199.3,115.3,64.87,1318.0,4.0,26.85
2018-04-01,200.3,115.5,64.87,1276.0,4.0,26.91
2018-04-30,200.3,115.5,68.56,1276.0,4.0,26.91
2018-05-01,203.2,115.9,68.56,1357.0,3.8,26.98
2018-05-31,203.2,115.9,66.98,1357.0,3.8,26.98
2018-06-01,204.2,116.3,66.98,1192.0,4.0,27.03
2018-06-30,204.2,116.3,74.13,1192.0,4.0,27.03
2018-07-01,204.3,116.4,74.13,1208.0,3.8,27.1
2018-07-31,204.3,116.4,69.88,1208.0,3.8,27.1
2018-08-01,203.4,116.5,69.88,1288.0,3.8,27.21
2018-08-31,203.4,116.5,69.84,1288.0,3.8,27.21
2018-09-01,203.6,116.7,69.84,1250.0,3.7,27.32
2018-09-30,203.6,116.7,73.16,1250.0,3.7,27.32
2018-10-01,204.6,117.5,73.16,1221.0,3.8,27.37
2018-10-31,204.6,117.5,65.31,1221.0,3.8,27.37
2018-11-01,202.3,117.4,65.31,1181.0,3.8,27.44
2018-11-30,202.3,117.4,50.78,1181.0,3.8,27.44
2018-12-01,201.0,117.4,50.78,1095.0,3.9,27.56
2018-12-31,201.0,117.4,45.15,1095.0,3.9,27.56
2019-01-01,199.1,117.0,45.15,1226.0,4.0,27.59
2019-01-31,199.1,117.0,53.84,1226.0,4.0,27.59
2019-02-01,199.2,117.2,53.84,1121.0,3.8,27.69
2019-02-28,199.2,117.2,57.21,1121.0,3.8,27.69
2019-03-01,200.8,117.6,57.21,1191.0,3.8,27.77
2019-03-31,200.8,117.6,60.19,1191.0,3.8,27.77
2019-04-01,202.1,118.2,60.19,1272.0,3.7,27.79
2019-04-30,202.1,118.2,63.83,1272.0,3.7,27.79
2019-05-01,201.7,118.3,63.83,1293.0,3.6,27.88
2019-05-31,201.7,118.3,53.49,1293.0,3.6,27.88
2019-06-01,200.3,118.2,53.49,1243.0,3.6,27.97
2019-06-30,200.3,118.2,58.2,1243.0,3.6,27.97
2019-07-01,200.7,118.5,58.2,1240.0,3.7,28.03
2019-07-31,200.7,118.5,58.53,1240.0,3.7,28.03
2019-08-01,199.2,118.6,58.53,1375.0,3.6,28.14
2019-08-31,199.2,118.6,55.07,1375.0,3.6,28.14
2019-09-01,198.4,118.3,55.07,1311.0,3.5,28.16
2019-09-30,198.4,118.3,54.09,1311.0,3.5,28.16
2019-10-01,198.6,118.8,54.09,1325.0,3.6,28.24
2019-10-31,198.6,118.8,54.02,1325.0,3.6,28.24
2019-11-01,199.0,118.6,54.02,1353.0,3.6,28.34
2019-11-30,199.0,118.6,58.12,1353.0,3.6,28.34
2019-12-01,199.0,119.0,58.12,1548.0,3.6,28.38
2019-12-31,199.0,119.0,61.14,1548.0,3.6,28.38
2020-01-01,199.3,119.2,61.14,1581.0,3.6,28.43
2020-01-31,199.3,119.2,51.58,1581.0,3.6,28.43
2020-02-01,196.7,118.6,51.58,1549.0,3.5,28.54
2020-02-29,196.7,118.6,44.83,1549.0,3.5,28.54
2020-03-01,193.1,118.0,44.83,1266.0,4.4,28.73
2020-03-31,193.1,118.0,20.51,1266.0,4.4,28.73
2020-04-01,185.5,116.6,20.51,936.0,14.8,30.04
2020-04-30,185.5,116.6,19.23,936.0,14.8,30.04
2020-05-01,188.6,117.2,19.23,1039.0,13.2,29.72
2020-05-31,188.6,117.2,35.57,1039.0,13.2,29.72
2020-06-01,191.2,117.5,35.57,1266.0,11.0,29.38
2020-06-30,191.2,117.5,39.27,1266.0,11.0,29.38
2020-07-01,193.0,118.2,39.27,1526.0,10.2,29.39
2020-07-31,193.0,118.2,40.1,1526.0,10.2,29.39
2020-08-01,194.3,118.4,40.1,1396.0,8.4,29.49
2020-08-31,194.3,118.4,42.61,1396.0,8.4,29.49
2020-09-01,195.5,118.8,42.61,1473.0,7.8,29.51
2020-09-30,195.5,118.8,40.05,1473.0,7.8,29.51
2020-10-01,196.5,119.4,40.05,1543.0,6.9,29.54
2020-10-31,196.5,119.4,35.64,1543.0,6.9,29.54
2020-11-01,198.3,119.5,35.64,1543.0,6.7,29.64
2020-11-30,198.3,119.5,45.2,1543.0,6.7,29.64
2020-12-01,200.5,120.0,45.2,1614.0,6.7,29.91
2020-12-31,200.5,120.0,48.35,1614.0,6.7,29.91
2021-01-01,204.8,121.2,48.35,1624.0,6.4,29.93
2021-01-31,204.8,121.2,52.16,1624.0,6.4,29.93
2021-02-01,210.6,122.0,52.16,1398.0,6.2,30.05
2021-02-28,210.6,122.0,61.55,1398.0,6.2,30.05
2021-03-01,215.0,122.8,61.55,1688.0,6.1,30.03
2021-03-31,215.0,122.8,59.19,1688.0,6.1,30.03
2021-04-01,217.9,124.0,59.19,1489.0,6.1,30.22
2021-04-30,217.9,124.0,63.5,1489.0,6.1,30.22
2021-05-01,224.9,125.3,63.5,1600.0,5.8,30.41
2021-05-31,224.9,125.3,66.31,1600.0,5.8,30.41
2021-06-01,228.9,126.2,66.31,1664.0,5.9,30.54
2021-06-30,228.9,126.2,73.52,1664.0,5.9,30.54
2021-07-01,231.85,127.486,73.52,1600.0,5.4,30.66
2021-07-31,231.85,127.486,73.93,1600.0,5.4,30.66
2021-08-01,233.415,128.603,73.93,1596.0,5.1,30.78
2021-08-31,233.415,128.603,68.43,1596.0,5.1,30.78
2021-09-01,235.678,129.226,68.43,1576.0,4.7,30.98
2021-09-30,235.678,129.226,75.22,1576.0,4.7,30.98
2021-10-01,240.465,130.045,75.22,1587.0,4.5,31.14
2021-10-31,240.465,130.045,83.5,1587.0,4.5,31.14
2021-11-01,243.287,131.475,83.5,1707.0,4.1,31.23
2021-11-30,243.287,131.475,66.14,1707.0,4.1,31.23
2021-12-01,241.338,132.26,66.14,1711.0,3.9,31.39
2021-12-31,241.338,132.26,75.33,1711.0,3.9,31.39
2022-01-01,246.453,133.529,75.33,1693.0,4.0,31.6
2022-01-31,246.453,133.529,89.16,1693.0,4.0,31.6
2022-02-01,252.66,134.771,89.16,1730.0,3.9,31.64
2022-02-28,252.66,134.771,96.13,1730.0,3.9,31.64
2022-03-01,260.014,137.037,96.13,1700.0,3.7,31.8
2022-03-31,260.014,137.037,100.53,1700.0,3.7,31.8
2022-04-01,265.31,137.773,100.53,1807.0,3.7,31.96
2022-04-30,265.31,137.773,104.59,1807.0,3.7,31.96
2022-05-01,273.251,139.013,104.59,1546.0,3.6,32.1
2022-05-31,273.251,139.013,114.38,1546.0,3.6,32.1
2022-06-01,280.251,140.273,114.38,1556.0,3.6,32.19
2022-06-30,280.251,140.273,107.76,1556.0,3.6,32.19
2022-07-01,272.274,139.837,107.76,1382.0,3.5,32.34
2022-07-31,272.274,139.837,101.31,1382.0,3.5,32.34
2022-08-01,269.546,139.755,101.31,1532.0,3.6,32.44
2022-08-31,269.546,139.755,90.09,1532.0,3.6,32.44
2022-09-01,267.898,140.2,90.09,1481.0,3.5,32.57
2022-09-30,267.898,140.2,79.91,1481.0,3.5,32.57
2022-10-01,265.061,140.681,79.91,1446.0,3.6,32.7
2022-10-31,265.061,140.681,86.54,1446.0,3.6,32.7
2022-11-01,263.157,141.16,86.54,1434.0,3.6,32.82
2022-11-30,263.157,141.16,80.48,1434.0,3.6,32.82
2022-12-01,257.897,140.694,80.48,1296.0,3.5,32.94
2022-12-31,257.897,140.694,80.16,1296.0,3.5,32.94
2023-01-01,260.227,141.203,80.16,1358.0,3.5,33.02
2023-01-31,260.227,141.203,78.95,1358.0,3.5,33.02
2023-02-01,258.669,141.135,78.95,1395.0,3.6,33.15
2023-02-28,258.669,141.135,76.88,1395.0,3.6,33.15
2023-03-01,257.062,140.736,76.88,1366.0,3.5,33.27
2023-03-31,257.062,140.736,75.68,1366.0,3.5,33.27
2023-04-01,256.908,140.934,75.68,1343.0,3.4,33.43
2023-04-30,256.908,140.934,76.78,1343.0,3.4,33.43
2023-05-01,253.67,140.614,76.78,1609.0,3.6,33.5
2023-05-31,253.67,140.614,68.11,1609.0,3.6,33.5
2023-06-01,253.86,140.698,68.11,1420.0,3.6,33.69
2023-06-30,253.86,140.698,70.66,1420.0,3.6,33.69
2023-07-01,253.835,141.485,70.66,1464.0,3.5,33.85
2023-07-31,253.835,141.485,81.8,1464.0,3.5,33.85
2023-08-01,257.68,142.409,81.8,1321.0,3.7,33.89
2023-08-31,257.68,142.409,83.55,1321.0,3.7,33.89
2023-09-01,258.934,142.744,83.55,1369.0,3.7,34.01
2023-09-30,258.934,142.744,90.77,1369.0,3.7,34.01
2023-10-01,255.192,142.249,90.77,1380.0,3.9,34.08
2023-10-31,255.192,142.249,81.64,1380.0,3.9,34.08
2023-11-01,252.856,142.334,81.64,1522.0,3.7,34.17
2023-11-30,252.856,142.334,75.66,1522.0,3.7,34.17
2023-12-01,249.866,142.165,75.66,1504.0,3.8,34.29
2023-12-31,249.866,142.165,71.89,1504.0,3.8,34.29
2024-01-01,251.306,142.576,71.89,1378.0,3.7,34.47
2024-01-31,251.306,142.576,76.28,1378.0,3.7,34.47
2024-02-01,254.926,143.356,76.28,1555.0,3.9,34.52
2024-02-29,254.926,143.356,79.22,1555.0,3.9,34.52
2024-03-01,255.095,143.521,79.22,1297.0,3.9,34.65
2024-03-31,255.095,143.521,83.96,1297.0,3.9,34.65
2024-04-01,256.978,144.197,83.96,1379.0,3.9,34.76
2024-04-30,256.978,144.197,83.49,1379.0,3.9,34.76
2024-05-01,255.313,144.224,83.49,1329.0,3.9,34.89
2024-05-31,255.313,144.224,77.97,1329.0,3.9,34.89
2024-06-01,255.914,144.869,77.97,1318.0,4.1,35.01
2024-06-30,255.914,144.869,82.83,1318.0,4.1,35.01
2024-07-01,257.321,144.922,82.83,1269.0,4.2,35.08
2024-07-31,257.321,144.922,79.36,1269.0,4.2,35.08
2024-08-01,255.463,145.409,79.36,1394.0,4.2,35.22
2024-08-31,255.463,145.409,74.52,1394.0,4.2,35.22
2024-09-01,252.682,145.803,74.52,1357.0,4.1,35.34
2024-09-30,252.682,145.803,68.75,1357.0,4.1,35.34
2024-10-01,253.081,146.294,68.75,1370.0,4.1,35.46
2024-10-31,253.081,146.294,69.58,1370.0,4.1,35.46
2024-11-01,253.211,146.447,69.58,1300.0,4.2,35.6
2024-11-30,253.211,146.447,68.26,1300.0,4.2,35.6
2024-12-01,253.423,147.052,68.26,1494.0,4.1,35.69
2024-12-31,253.423,147.052,72.44,1494.0,4.1,35.69
