cik,net_income,net_income_prior,revenue,total_assets,stockholders_equity,total_liabilities
21665,690000000,,,16647000000,363000000,15914000000
22356,131592000,,0,32364964000,3477787000,28866562000
22701,-3496432,,,44427672,14806897,
23194,-121278000,,,6601547000,2121497000,4324363000
23197,33934000,-48739000,126787000,751144000,115433000,465639000
23217,145100000,284500000,,20744500000,8779100000,11965400000
23795,2261000,,35811000,1243903000,593883000,650020000
24090,-1623000,3621000,55652000,1702204000,218139000,1484065000
24741,157000000,,3452000000,27394000000,10716000000,16266000000
25232,20897000,,250328000,8663360000,4813752000,3826287000
25445,21700000,,,2428700000,1106600000,1322100000
25475,6684000,,,792259000,160588000,
25743,-653000,,393000,38236000,26740000,11496000
26058,13367000,,125769000,765528000,538238000,227290000
26324,101337000,,805645000,4951791000,2559147000,2392644000
26780,25000000,-80000000,,7800000000,1379000000,6165000000
27419,1036000000,1103000000,,56185000000,14947000000,
27904,240000000,,,77342000000,15447000000,
27996,14000000,,536500000,2573817000,,
28823,-8300000,,841100000,3625600000,984000000,2634600000
28917,163817000,,1546971000,3907024000,1857885000,
29002,-4437000,,,2356341000,1801218000,484507000
29332,-1697000,,62990000,185446000,14617000,170829000
29534,391928000,,,30987661000,7703663000,23283998000
29644,57800000,95900000,,2996500000,1464200000,1532300000
29905,230821000,,,12648548000,7137767000,
29989,287700000,,3690400000,28113700000,4373200000,
30305,1402000,6585000,,1128350000,692067000,436283000
30625,73905000,,0,5483298000,2079771000,
30697,39232000,,523472000,4919482000,130239000,4789243000
31107,1943689,,63312774,232329678,120999645,111330034
31235,-7000000,,,1937000000,563000000,1154000000
31462,402500000,,,22366400000,8875800000,13462700000
31667,-1345500,-835700,6636300,78314300,40567600,37746700
31791,42237000,,,12360724000,7637130000,4723594000
32604,485000000,585000000,,41978000000,19249000000,
33185,133100000,,,11854800000,4981200000,6742300000
33213,242139000,,1739850000,39703364000,20717880000,15300095000
33488,2619000,,,222074000,168765000,53309000
33533,1704487,1908499,10302719,72839495,46324747,26514748
33992,3882660,,50498775,385439240,82209963,303229277
34067,677000,,,670640000,253923000,229637000
34088,7713000000,,83130000000,451908000000,262720000000,182102000000
34285,-333000,,,9914000,7004000,2910000
34563,-4976000,210000,,163159000,37264000,125895000
34903,63768000,,309154000,8621850000,3191881000,5176245000
34956,-10408000,,,112059000,109291000,2768000
35527,515000000,,,212669000000,20403000000,192266000000
36029,61346000,,,14312114000,1680261000,12631853000
36104,1709000000,,6958000000,676489000000,60096000000,615931000000
36146,53633000,,,18296203000,2021227000,16274976000
36270,584000000,,,210321000000,28991000000,181330000000
36377,59248000,,211003000,23744958000,2648852000,21096106000
36840,894000,614000,7258000,156213000,33541000,130719000
36966,218000000,,812000000,81491000000,8749000000,72447000000
37472,-3742000,9054000,,266126000,158119000,108007000
37785,-15500000,-16300000,,11800900000,4382000000,
37808,117000000,,,49020000000,6418000000,42602000000
38009,424000000,,3420000000,154923000000,14130000000,140793000000
38723,4195000,,103000000,1285778041,,1035253697
38725,30962000,,,1928900000,1297247000,
39263,150922000,,540231000,52004742000,4114160000,47890582000
39311,15590000,18461000,,5328428000,467277000,4861151000
39368,13248000,,,4960906000,1777139000,3182545000
39899,58671000,,,7301757000,3038870000,4242179000
39911,193000000,,3463000000,11565000000,3321000000,
40211,78600000,,421600000,12966300000,2549400000,10416900000
40533,994000000,,,57249000000,22225000000,
40545,1978000000,1899000000,9935000000,124123000000,19251000000,104654000000
40704,625600000,795700000,,32706200000,9263200000,23193600000
40729,-225000000,108000000,1541000000,193331000000,14232000000,179099000000
40987,194392000,,,19817205000,4449933000,
42582,115000000,,,21711000000,4930000000,16625000000
42682,12128000,,,857847000,382071000,475776000
42888,124101000,,528284000,3008314000,2477720000,
43196,-9000000,,,10438000000,2254000000,7534000000
43920,39900000,22000000,,6754400000,2134100000,
45012,204000000,,,25179000000,10367000000,14770000000
45876,-9013000,,,2689008000,408968000,2240321000
45919,-392000,,41561000,100585000,21421000,79164000
46080,98600000,,1006100000,6040000000,,4842500000
46195,43985000,,,23885056000,1704935000,22180121000
47111,224203000,,,13967764000,,9282868000
47307,3131034,3948415,,129843172,75267508,
48287,13900000,,,1858100000,803600000,1054200000
48898,163200000,198200000,,6922100000,3261400000,3649900000
49071,1244000000,,32112000000,50930000000,17751000000,33111000000
49196,527000000,,,209596000000,20434000000,189110000000
49754,8200000,,214800000,1766340000,-215746000,1982086000
50471,1965788,1551080,,54834436,48921066,5913370
50863,-821000000,,,192242000000,99756000000,
51143,1055000000,,14541000000,145667000000,26880000000,118714000000
51253,-1018000000,,,28265000000,13177000000,
51434,-105000000,-147000000,,41168000000,18092000000,
51644,-85400000,,2322600000,17125500000,3584100000,13432000000
52827,-3424000,,82922000,3351353000,1915088000,
53456,47000000,,566000000,10057000000,4986000000,5071000000
54187,86784,-157681,5632151,87855809,52853897,35001912
55067,304000000,,3083000000,15474000000,3915000000,
55135,5800000,,1164900000,2594900000,1240500000,
55242,31482000,17928000,486399000,2490503000,1236868000,1211587000
55785,567000000,447000000,4054000000,16305000000,1101000000,
56047,75986000,,,6014601000,3326035000,
56701,-316742,94142,,37297918,30683175,6614743
57515,41124000,48993000,,1276612000,996248000,
58492,30600000,,,3748900000,746800000,
59255,16900000,,,2757200000,1062500000,
59478,2759000000,,12729000000,89388800000,15764800000,
59527,118487000,,,3625074000,1340170000,2284904000
59558,-722000000,,4691000000,382898000000,8193000000,374705000000
60086,370000000,,4494000000,83142000000,17191000000,65108000000
60519,91000000,,724000000,2570000000,1692000000,878000000
60667,1641000000,,,45372000000,-13254000000,58626000000
60714,-1640000,,,1175938000,490563000,
61004,-6000,202000,918000,43302000,39233000,2040000
61986,-6300000,,,1763800000,651600000,
62234,-16816000,,148766000,1017957000,441791000,
62709,1381000000,,,57015000000,,
62996,186000000,,,5107000000,-254000000,5113000000
63276,-40319000,,,6206440000,2129580000,
63330,-8640000,,5804000,47232000,26716000,20516000
63754,162300000,,1605500000,12899800000,5423000000,7450100000
63908,1868000000,,5956000000,56329000000,-3454000000,
64040,1090000000,,,59889000000,33371000000,22164000000
64463,-7556000,,5936000,90049000,-16065000,63056000
64803,1779000000,,94588000000,255585000000,76929000000,178475000000
64996,-108327000,,1393879000,9027658000,,7207047000
65172,3631208,,4734542,27428572,,7816850
65312,1041000,1129000,93538000,251790000,140207000,111583000
65770,-28779000,,,116743000,53204000,63539000
66004,9479000,8804000,44301000,1278961000,449048000,
66382,-12700000,34100000,,3895400000,1254100000,2572900000
66570,59605000,87946000,421340000,2235885000,,1045740000
66740,1116000000,728000000,5954000000,39951000000,4464000000,35428000000
66756,56100000,50600000,400200000,6866300000,2866000000,3477500000
67215,61048000,,,3104972000,1266158000,1838814000
67716,81965000,,674833000,6961474000,2743136000,
68505,430000000,,,14433000000,1641000000,
68622,284000000,,1222000000,17571000000,12527000000,
69422,-578000,-2725000,,103241000,-84488000,215317000
69488,6805000,,,883842000,277423000,606419000
69633,10122000,10467000,43961000,190863000,161548000,29315000
70502,85986000,144443000,,37778743000,3010449000,34747557000
70858,7360000000,,28247000000,3349039000000,293949000000,3053843000000
70866,-17000000,,,4336000000,857000000,3203000000
71557,1028920,,17880769,268588411,94744148,
71691,49551000,,,2735065000,1884856000,
71829,10003000,,,390010000,326886000,63124000
72162,667000,,,520025000,397644000,
72444,-15591000,,20876000,158559000,45618000,112941000
72573,1420000,8053000,,747178000,493228000,251778000
72903,483000000,,,72749000000,19804000000,
72909,42000000,,,4192000000,1670000000,
72971,4894000000,,,1950311000000,181090000000,1767405000000
73124,392000000,,,165071200000,12878500000,152192700000
73290,-1163000,-950000,1119000,7376000,5534000,1842000
73309,156000000,287000000,,34699000000,20069000000,13584000000
74046,11644000,12921000,,369543000,,122684000
74208,76720000,,421948000,10745412000,3331044000,6356559000
74260,245000000,105100000,2114000000,28028100000,5917500000,22084500000
75252,-24982000,,,4856424000,570979000,4285445000
75288,26181000,,,1339706000,592423000,
75362,505100000,,7441700000,42724700000,18022100000,
75677,203800000,,,8969800000,4499200000,
76282,8300000,,,1419600000,349200000,
76605,38238000,,,3186777000,1141268000,2045509000
77360,154900000,,1010400000,6747200000,,3113600000
77476,1834000000,,17919000000,101737000000,18389000000,83208000000
77543,27998000,,,4454298000,1160235000,3266701000
78003,2967000000,,13715000000,208028000000,90338000000,117391000000
78128,283789000,,783626000,18327161000,6460091000,
78239,-44800000,,1983600000,10672400000,4618200000,
78814,35422000,-37373000,493420000,3269703000,-535884000,3805587000
78890,51600000,,,6583600000,205800000,6254600000
79282,331000000,,1404000000,16760000000,,
79661,-712000,-4036000,,45365000,-121630000,166995000
79879,373000000,,,21140000000,6927000000,14048000000
80035,11517000,,,592451000,435776000,
80172,7610000,20732000,103639000,455299000,368585000,86714000
80420,46330000,34763000,,965368000,541363000,424005000
80424,3769000000,4630000000,19776000000,122984000000,,70439000000
80661,2567000000,,20409000000,111409000000,28954000000,82455000000
81018,258000000,,,28166000000,10987000000,
81061,1011000000,,15934000000,38398000000,23002000000,10051000000
81362,12922000,,,2664429000,1385885000,1277929000
81955,841447,-2946058,,67821430,65311253,2510177
82020,34113000,,,585255000,532207000,53048000
82473,-121032,,,14027617,4431593,13353109
82811,57300000,,,14032300000,6422700000,
83246,201000000,,924000000,172441000000,12796000000,159645000000
83350,1768085,,,38399308,32187218,6000921
84246,63214000,,407665000,5729154000,1604212000,4124942000
84748,-1400000,,,1510400000,1270300000,
84839,105248000,,,2948558000,1355752000,1592806000
85535,113498000,,,3458318000,3203007000,243172000
85961,98000000,,3131000000,16421000000,3003000000,13418000000
86312,395000000,,11810000000,135977000000,28191000000,107786000000
87050,-1733000,,513000,16972000,14575000,2397000
87347,797000000,,,49002000000,19515000000,28254000000
87802,-1778500,,942300,10570100,7767900,2802200
88000,22841000,,,2072649000,361018000,144406000
88205,51200000,,,3137500000,1443400000,
88941,19345000,,,1431955000,568815000,
89089,142880000,,1074167000,17316088000,1651075000,
89439,157432000,137652000,,3231304000,2666437000,544205000
89800,503900000,,,24636100000,4130100000,
90498,32388000,,,26792991000,3531485000,23261506000
91142,136600000,,,3267700000,1855100000,1412600000
91388,224000000,,,11146000000,6225000000,
91440,240500000,,1243200000,8069000000,5520800000,2524900000
91576,405000000,,1773000000,188691000000,19003000000,169688000000
91767,54429000,-42960000,,12680593000,2448178000,10218661000
91882,142000000,,,17118000000,5168000000,
92122,1334000000,,7775000000,148109000000,,110886000000
92380,-149000000,,,33212000000,9365000000,
92521,59000000,,,11134000000,4444000000,
93314,-5423759,,246385,8520057,-27773691,37546732
93389,12566000,,,1926091000,637961000,1273654000
93410,3500000000,,47610000000,256397000000,149244000000,106317000000
93556,90400000,,3744600000,22496200000,8841600000,
93751,644000000,,3284000000,372693000000,26692000000,346001000000
94049,19711000,,,2389683000,1200538000,
94344,3077000,,611984000,2707096000,1400427000,1299233000
95029,7768000,10477000,135738000,379003000,321481000,
95552,-12929000,,,763779000,-288661000,
95574,-758000,,,410973000,194430000,216544000
95953,-2293000,,,152542000,91156000,61386000
96021,401000000,406000000,,26347000000,1922000000,
96271,114000000,,649000000,13362000000,5502000000,
96536,2002245,1056160,10564834,70146613,57802631,
96869,-1464000,,,614555000,472478000,126717000
96943,95002000,-136656000,,7163290000,4095164000,3068126000
97134,13100000,,,1180300000,624400000,554200000
97210,98896000,,685680000,3705837000,2797499000,908338000
97216,21000000,,,5840000000,,3996000000
97476,1179000000,,,33757000000,16406000000,17351000000
97745,1507000000,,,99041000000,49390000000,
98222,42653000,,,2066166000,1113624000,
98362,78300000,71200000,,6570400000,2917700000,
98677,18058000,,,1141700000,879352000,
99780,22100000,28900000,585400000,8664700000,1053200000,7365000000
100122,44431000,,365736000,7816316000,3147565000,1877534000
100378,-1472000,919000,81242000,332882000,149497000,182693000
100517,387000000,,,76111000000,12616000000,
100591,22550000,,,792155000,363895000,428260000
100726,-16794000,-11392000,146557000,446540000,,218154000
100790,-82000000,,978000000,5144000000,,
100885,1626000000,,,68492000000,16039000000,52453000000
101199,17700000,,331115000,3528264000,817662000,2710602000
101295,560895,,,12763387,10835749,1927638
101382,81333000,,,69347313000,6748434000,62598879000
101538,546524,,7000005,39496778,32591336,6905442
101594,-3111000,,,55835000,33938000,22277000
101829,1535000000,,,164864000000,61516000000,101520000000
101984,-6274000,,,310611000,149969000,160642000
102212,22395000,,79196000,7975167000,903472000,7071695000
102729,87261000,,,3375423000,1635002000,1683522000
102752,-8973000,,,1732982000,975744000,757238000
103145,11947000,,,1278824000,811858000,466966000
103595,11161000,16896000,,995573000,479680000,
103730,-4092000,,715236000,4200242000,2032132000,2168110000
104169,4487000000,,165609000000,262372000000,83793000000,
104894,-4675000,-3015000,61493000,1827579000,1062922000,764378000
104918,79000000,,617000000,7966000000,2649000000,5317000000
105016,80061000,,1531086000,4454353000,2665050000,
105319,-72585000,,,696873000,-1182923000,1879796000
105418,19549000,,,2063212000,1443633000,619579000
105634,240677000,,3867372000,8078872000,2949957000,5126944000
105744,-20000,,38000,4565000,4517000,
105770,89800000,,,3618200000,2683100000,935100000
106040,520000000,594000000,,16368000000,5177000000,10962000000
106532,5543000,,68030000,299295000,,50745000
106535,83000000,,1763000000,16520000000,9645000000,6875000000
106640,71000000,,,16514000000,2572000000,
107263,691000000,,3048000000,54924000000,12487000000,
107833,75800000,,498700000,7508100000,,
108385,43100000,13629000,163688000,1008488241,436991487,571496754
108516,39663000,28260000,304524000,1682004000,937208000,743483000
108985,3638000,,18456000,641752000,232143000,
109198,1036000000,,,31858000000,8503000000,
109380,170000000,216000000,158000000,87992000000,6327000000,81665000000
109563,99799000,93290000,,3115663000,1827481000,1288182000
110471,12100000,,,1691100000,317200000,
110621,52034000,183204000,,6619575000,2674276000,
200406,10999000000,,,193671000000,78109000000,115562000000
202058,386000000,,,41248000000,19131000000,22118000000
203596,-8992000,,,27412383000,3781579000,23630804000
205402,100900000,97300000,,4550600000,2143800000,2399300000
215466,33353000,,,4066893000,2748512000,
216085,3778000,,,642690000,305361000,337329000
216228,108400000,,913000000,4833700000,2779300000,2047900000
217346,207000000,,3306000000,16942000000,7275000000,9667000000
230557,109896000,,1285186000,14197563000,3258540000,10939023000
275053,4747000,,,252702000,,85602000
275880,66203000,54180000,,5449144000,2453794000,2903412000
277135,479000000,,,8658000000,3480000000,
277509,46300000,,463800000,1879400000,1202400000,677000000
277638,-3258000,,434836000,1398500000,162311000,1037342000
277948,646000000,,,43199000000,,31024000000
278165,-2089000,,,35110000,-45491000,80601000
310142,34462000,,,2092668000,1095034000,
310158,5079000000,,15529000000,115122000000,48335000000,
310354,21880000,857000,,1554556000,686928000,
310522,3661000000,,,4353709000000,98312000000,4255397000000
310764,654000000,546000000,5866000000,46006000000,,25076000000
311094,31037000,,,5966624000,923138000,5043486000
312257,-430436,,15026015,25136372,7845422,17290950
313616,954000000,,,79116000000,50849000000,
313927,220100000,,,8955900000,4551000000,4404900000
314203,-6270000,-8232000,35696000,730597000,,250760000
314227,-255593,,1576558,9957777,3843346,6114431
314489,-29990000,,124954000,19464252000,2179606000,17284646000
314808,-37900000,,620700000,4386800000,2207000000,2175300000
315213,17350000,,,2696953000,1313222000,1383731000
315293,965000000,,,50304000000,7004000000,43030000000
315545,-1140108,,,666257,-5102812,5735238
315709,96892000,,,16269635000,2895079000,13374556000
315852,97052000,,690554000,7382724000,3939361000,3443363000
315958,159062,,4871412,24435712,11328093,13107619
316709,1909000000,,5599000000,462903000000,49511000000,413392000000
317540,103611000,,,5403738000,1499414000,3904324000
318154,1730000000,,,89367000000,6207000000,
318300,24336000,,,9246000000,1137821000,8108179000
318306,-12029000,,,99364000,41396000,57968000
318673,6413735,,82739723,1524250330,385325528,1177756644
318833,-29718000,,,515214000,-25967000,541181000
319201,1088416000,824527000,,15188307000,4004739000,11183568000
320017,-4724000,,,28981000,25356000,3879000
320121,-8604000,,,158061000,126114000,31947000
320187,794000000,1163000000,,37793000000,14007000000,
320335,254563000,,1480422000,29705259000,5425416000,24279843000
350698,175500000,,6690400000,13325600000,2403200000,
350852,21972000,,,6276518000,784172000,5492346000
350894,151517000,,551344000,2566042000,2257852000,308190000
351569,87935000,,,26514940000,3823802000,22691138000
351789,-64000,,,15086000,14300000,
351834,4811000,,201628000,690685000,154815000,520682000
351998,-382000,,6176000,24513000,17547000,
352825,-2110000,,,342826000,170788000,
352915,316680000,,,14875430000,6785604000,
352955,115573,,348184,22285768,18698627,259796
352991,2818,5152,10585,644509,353050,291459
354190,704000000,,,74096000000,22320100000,51742000000
354647,51104000,,,15256591000,2228419000,13028172000
354950,3433000000,,,99157000000,7955000000,91202000000
355019,2506000,1964000,27165000,214923000,171880000,54664000
355811,94874045,,,2782549228,2474826003,303131725
355948,-2057000,-751000,,189810000,152900000,36910000
356171,26363000,,,9819599000,1255519000,8564080000
357173,19830000,,,5727686000,694491000,5033195000
357301,14275000,,,6338545000,687808000,5650737000
700564,92987000,,,32132028000,3274321000,28857707000
700565,22171000,,,7572688000,870949000,6701739000
700841,4186000,,,120992000,34600000,86392000
700923,23308000,,,1522061000,,973389000
701347,17760000,,11096000,7405239000,557376000,6847863000
701719,2493347,,48255829,79664327,55142859,24521468
701985,105000000,,,4881000000,-1451000000,
702165,750000000,,,43800000000,14511000000,29289000000
703351,119100000,118500000,1425100000,2571900000,259000000,
703604,3261000,,478029000,1762912000,636713000,1126199000
704440,-1166237,,9635075,27216167,16345031,10871136
704532,64095000,,266607000,2115052000,1919622000,195430000
705432,21507000,,,8343300000,816623000,7526677000
706129,23943000,,,7628638000,776061000,6852577000
706863,2501000,3001000,,1524832000,70074000,1454758000
707179,144659000,,,53877944000,6534654000,47343290000
707549,1330667000,1191018000,,19968310000,9511105000,10457205000
707605,1908000,889000,,1431524000,110759000,1320765000
708781,8966000,,46407000,2318457000,234247000,2084210000
708821,-24350000,,,1381549000,851995000,529554000
708955,51293000,,,18455067000,2501235000,15953832000
709005,130633,,3760198,16288490,2355985,13932505
709337,13578000,,67786000,5157040000,429134000,4727906000
711034,-540300,,,728181,-792601,1351143
711377,-10900000,-456282000,,4036336000,2660347000,1375989000
711669,6613000,,,3171825000,286925000,2884900000
712034,-13200000,,317400000,2268600000,606100000,1662500000
712534,55339000,,,18439787000,2332214000,16107573000
712537,32696000,,,11786398000,1447051000,10339347000
712770,4155000,10532000,,811688000,303231000,507356000
712771,20242000,20371000,,9759255000,1252939000,8506316000
714256,-3527177,,,96378581,36671008,59711004
714310,106058000,,,61865655000,7499897000,54365758000
714395,10517000,,111056000,8419693000,1046042000,7373651000
714562,18406000,,,5549094000,571945000,4977149000
714712,2008000,,,854007000,50196000,803811000
715072,41518000,,,18271381000,2727105000,15544276000
715579,-272000,,43474000,3270041000,386883000,2883158000
715787,13002000,,,1191798000,513067000,678731000
715957,665000000,134000000,4076000000,104555000000,27365000000,73833000000
716133,-28300000,,,4342000000,1842100000,2499900000
716634,-4752000,,40169000,440969000,-8064000,449649000
716643,250000,7645000,56957000,511248000,68644000,442604000
717423,73036000,50300000,665711000,9820300000,5120259000,4543044000
717538,6310000,,,4448885000,404409000,4044476000
717605,28900000,,,2779200000,1532600000,1246600000
717806,1772000,,,1126967000,,1025736000
718332,722000,607000,,15711000,13348000,2363000
718413,3525455,,,1187857462,102905030,1084952432
718937,-54211000,,42589000,457364000,349972000,107392000
719135,-4150000,,,60160000,10511000,49516000
719220,33401000,,,9718276000,1418034000,8300242000
719402,1598000,,,2033347000,168676000,1864671000
719413,28872000,,,3023557000,2073967000,949590000
719733,-604000,-4914000,111974000,328557000,119595000,208962000
719955,231263000,,,5157315000,2161276000,2996039000
720672,52992000,,1469026000,40383727000,,34845541000
720762,-39000,-42000,,25000,-865000,911000
720858,3171000,,56565000,333781000,254412000,79369000
720875,-999062,-774827,6151516,23448289,12022791,11425498
721693,-884460,,20625,130747730,114296227,16451503
721994,20085000,24190000,,6851178000,694420000,6156669000
722313,-1316000,,13406000,73533000,32832000,40701000
722572,-644786,228740,8009619,49711734,35323823,11377761
723188,49614000,,196248000,16764296000,1834075000,14930221000
723254,463497000,448495000,,9611136000,4592248000,
723269,-76387,-383912,,3176992,-337890,3514882
723531,519300000,413400000,1509000000,11221600000,4116600000,7105000000
723533,-85960,,,360105,22149,337956
723612,-505000000,,2430000000,29044000000,-2822000000,
723646,3922000,,,2257478000,151391000,2106087000
725394,-4195499,-6709601,4574276,21747779,-11832666,33726976
726601,16858000,,,4461233000,512575000,3948658000
726728,249815000,,1380505000,69757696000,39031261000,30515509000
726854,30342000,,,6622956000,756336000,5866620000
726865,-439000000,,3937000000,397406000000,10291000000,387115000000
727273,-9593000,,2954000,145576000,44035000,101541000
727346,-655969,,,34543180,-6081225,40624405
727510,-13585000,,,45521000,1953000,
728387,-18177000,,,329349000,284645000,44704000
728391,101143000,,477700000,7757177000,1289967000,5801945000
728535,117740000,,,8255673000,3866673000,
729986,84306000,94408000,,32788494000,5314449000,27474045000
730263,135185000,-551000,,7170290000,4223727000,
730272,5830000,,,2852143000,1985483000,866660000
730349,-162000,,,3755000,2824000,931000
730464,60832000,75856000,466055000,2789759000,1432713000,1357046000
730708,31464000,,,15732485000,2229740000,13502745000
731012,17228000,,,822963000,514198000,
731122,4345000,,,1602336000,171400000,1430936000
731288,40500000,,242900000,14089000000,2044500000,12044500000
731653,1872000,1849000,,830681000,60801000,769880000
731766,6292000000,,109575000000,309790000000,,204621000000
732026,-495000,507000,,39959000,32316000,7231000
732417,14433000,,,4564169000,493558000,4020093000
732712,4879000000,,33485000000,380364000000,,
732717,4351000000,,30626000000,397467000000,,
732834,316006000,,1610453000,22818102000,12181519000,
733590,4618000,108000,12008000,1083540000,837259000,226627000
736012,-2098000,,,17982000,13401000,
736772,11481000,15064000,,6295508000,624508000,5671000000
737468,12179000,,59065000,6586015000,521680000,6064335000
737875,1053000,,,1435230000,106484000,1328746000
738214,-24529000,,,259841000,-280695000,
739421,7621000,,,3016338000,308296000,2708042000
740806,2457000,,,1312159000,91311000,1220848000
742278,12030000,,,1345919000,1081586000,264333000
743367,10211000,,,4063226000,467311000,3595915000
744218,-53796000,,,739471000,702981000,36490000
744825,-625000,,,63311000,24647000,34099000
745308,17461000,,94197000,1547387000,727852000,808334000
745732,479249000,,,14304616000,5576078000,
746210,-672000,,,4755000,3350000,1405000
746514,3795719,4215867,20688894,385217652,,456595436
746515,203795000,,,4756650000,2285791000,
746598,52263000,40334000,,1698115000,1167553000,530562000
746838,-29500000,,432100000,1840300000,-267800000,
747540,57356,,7231738,24948137,19588748,5359389
748268,-23123000,,1629662,59655848,28911000,30744600
748592,-8202000,,,5059000,-5950000,11009000
749251,210939000,,,8479761000,1497854000,6981907000
749647,-4102495,,,6862086,452028,6410058
750558,2578000,3051000,,1896189000,108223000,1787966000
750577,119504000,,,34750680000,4278672000,30472008000
750686,7326000,,,6964785000,640054000,6324731000
751365,732000,,,183782000,105600000,
751978,2539000,,,665038000,580308000,84475000
752714,28209000,,195416000,2242287000,1136411000,1105876000
753308,833000000,,,194264000000,49812000000,133898000000
754811,-382000,-86000,,48758000,46100000,2658000
755001,27500000,,,1890700000,534100000,
759944,373000000,,1935000000,220148000000,24866000000,195282000000
760498,56112000,,,14038055000,1672827000,12365228000
761648,1445000,,,186763000,34596000,152167000
763532,3883000,5647000,132481000,384565000,,
763563,6023000,,,2796725000,228306000,2568419000
763744,49438000,,1045590000,3099998000,1366713000,1733285000
763901,177502000,,,74038606000,5799695000,68238911000
763907,5806000,,,1979753000,183694000,1796059000
764038,89080000,,,65135454000,8624361000,56511093000
764065,-498000000,,4629000000,20836000000,6254000000,14352000000
764180,1077000000,,,35760000000,-3510000000,39220000000
764478,202000000,,8767000000,14128000000,2763000000,
764630,5891,,,181519,-1655901,1837420
764764,130000000,,860000000,34423000000,,31327000000
765207,7077000,7282000,,3187372000,259681000,2927691000
765880,42828000,,702889000,19815729000,8188047000,10972320000
766421,-166000000,,,19818000000,4137000000,
766792,360000,,,31080000,25992000,5088000
766829,16551000,,167599000,4728810000,1397337000,
767405,2158000,,,1501002000,131526000,1369476000
768899,-14348000,,,692471000,302217000,390254000
769397,152000000,,,10585000000,2617000000,
769520,92352000,112304000,,7401381000,3729921000,
770460,1310000,,,866613000,94455000,772158000
771266,-3113533,,519847,65036412,20680994,44355418
773141,76553000,97276000,,5251740000,5062803000,2261917000
