date,DGS1MO,DGS3MO,DGS2,DGS10,DGS30,DFF,T10Y2Y
2005-02-06,2.2,2.47,3.29,4.09,4.48,2.51,0.8
2005-02-07,2.27,2.51,3.31,4.07,4.43,2.5,0.76
2005-02-08,2.34,2.49,3.33,4.05,4.39,2.48,0.72
2005-02-09,2.34,2.51,3.24,4.0,4.4,2.5,0.76
2005-02-10,2.35,2.51,3.29,4.07,4.5,2.51,0.78
2005-02-11,2.36,2.55,3.34,4.1,4.52,2.5,0.76
2005-02-12,2.36,2.55,3.34,4.1,4.52,2.5,0.76
2005-02-13,2.36,2.55,3.34,4.1,4.52,2.5,0.76
2005-02-14,2.37,2.59,3.38,4.08,4.45,2.51,0.7
2005-02-15,2.4,2.59,3.37,4.1,4.48,2.53,0.73
2005-02-16,2.39,2.57,3.41,4.16,4.53,2.48,0.75
2005-02-17,2.4,2.58,3.38,4.19,4.58,2.5,0.81
2005-02-18,2.39,2.61,3.45,4.27,4.65,2.51,0.82
2005-02-19,2.39,2.61,3.45,4.27,4.65,2.51,0.82
2005-02-20,2.39,2.61,3.45,4.27,4.65,2.51,0.82
2005-02-21,2.39,2.61,3.45,4.27,4.65,2.51,0.82
2005-02-22,2.43,2.67,3.46,4.29,4.71,2.57,0.83
2005-02-23,2.47,2.67,3.46,4.27,4.69,2.53,0.81
2005-02-24,2.48,2.69,3.52,4.29,4.67,2.55,0.77
2005-02-25,2.5,2.74,3.54,4.27,4.61,2.54,0.73
2005-02-26,2.5,2.74,3.54,4.27,4.61,2.54,0.73
2005-02-27,2.5,2.74,3.54,4.27,4.61,2.54,0.73
2005-02-28,2.51,2.76,3.59,4.36,4.71,2.52,0.77
2005-03-01,2.55,2.75,3.59,4.38,4.69,2.39,0.79
2005-03-02,2.54,2.74,3.57,4.38,4.71,2.48,0.81
2005-03-03,2.55,2.76,3.59,4.39,4.71,2.51,0.8
2005-03-04,2.56,2.76,3.57,4.32,4.66,2.5,0.75
2005-03-05,2.56,2.76,3.57,4.32,4.66,2.5,0.75
2005-03-06,2.56,2.76,3.57,4.32,4.66,2.5,0.75
2005-03-07,2.59,2.76,3.61,4.31,4.63,2.51,0.7
2005-03-08,2.61,2.75,3.62,4.38,4.67,2.49,0.76
2005-03-09,2.6,2.76,3.66,4.52,4.84,2.5,0.86
2005-03-10,2.6,2.75,3.68,4.48,4.74,2.52,0.8
2005-03-11,2.6,2.76,3.73,4.56,4.8,2.51,0.83
2005-03-12,2.6,2.76,3.73,4.56,4.8,2.51,0.83
2005-03-13,2.6,2.76,3.73,4.56,4.8,2.51,0.83
2005-03-14,2.62,2.8,3.75,4.52,4.77,2.59,0.77
2005-03-15,2.7,2.81,3.75,4.54,4.8,2.61,0.79
2005-03-16,2.68,2.8,3.72,4.52,4.78,2.57,0.8
2005-03-17,2.68,2.79,3.7,4.47,4.75,2.68,0.77
2005-03-18,2.7,2.81,3.72,4.51,4.8,2.7,0.79
2005-03-19,2.7,2.81,3.72,4.51,4.8,2.7,0.79
2005-03-20,2.7,2.81,3.72,4.51,4.8,2.7,0.79
2005-03-21,2.72,2.85,3.72,4.53,4.85,2.71,0.81
2005-03-22,2.77,2.89,3.86,4.63,4.88,2.72,0.77
2005-03-23,2.72,2.83,3.84,4.61,4.86,2.73,0.77
2005-03-24,2.7,2.84,3.88,4.6,4.84,2.75,0.72
2005-03-25,2.7,2.84,3.88,4.6,4.84,2.8,0.72
2005-03-26,2.7,2.84,3.88,4.6,4.84,2.8,0.72
2005-03-27,2.7,2.84,3.88,4.6,4.84,2.8,0.72
2005-03-28,2.69,2.84,3.9,4.64,4.88,2.79,0.74
2005-03-29,2.7,2.84,3.87,4.6,4.85,2.72,0.73
2005-03-30,2.71,2.83,3.86,4.56,4.77,2.74,0.7
2005-03-31,2.63,2.79,3.8,4.5,4.76,2.96,0.7
2005-04-01,2.66,2.8,3.75,4.46,4.72,2.83,0.71
2005-04-02,2.66,2.8,3.75,4.46,4.72,2.83,0.71
2005-04-03,2.66,2.8,3.75,4.46,4.72,2.83,0.71
2005-04-04,2.64,2.8,3.74,4.47,4.73,2.78,0.73
2005-04-05,2.63,2.79,3.75,4.48,4.75,2.72,0.73
2005-04-06,2.6,2.76,3.7,4.44,4.73,2.73,0.74
2005-04-07,2.61,2.77,3.72,4.49,4.78,2.76,0.77
2005-04-08,2.61,2.79,3.77,4.5,4.77,2.75,0.73
2005-04-09,2.61,2.79,3.77,4.5,4.77,2.75,0.73
2005-04-10,2.61,2.79,3.77,4.5,4.77,2.75,0.73
2005-04-11,2.6,2.76,3.75,4.45,4.73,2.78,0.7
2005-04-12,2.62,2.76,3.71,4.38,4.66,2.77,0.67
2005-04-13,2.62,2.77,3.66,4.38,4.68,2.76,0.72
2005-04-14,2.62,2.78,3.6,4.37,4.73,2.79,0.77
2005-04-15,2.63,2.79,3.54,4.27,4.66,2.82,0.73
2005-04-16,2.63,2.79,3.54,4.27,4.66,2.82,0.73
2005-04-17,2.63,2.79,3.54,4.27,4.66,2.82,0.73
2005-04-18,2.67,2.9,3.55,4.27,4.62,2.75,0.72
2005-04-19,2.73,2.91,3.5,4.21,4.53,2.74,0.71
2005-04-20,2.65,2.87,3.52,4.22,4.59,2.74,0.7
2005-04-21,2.59,2.88,3.65,4.32,4.62,2.75,0.67
2005-04-22,2.64,2.93,3.62,4.26,4.6,2.74,0.64
2005-04-23,2.64,2.93,3.62,4.26,4.6,2.74,0.64
2005-04-24,2.64,2.93,3.62,4.26,4.6,2.74,0.64
2005-04-25,2.67,2.93,3.64,4.26,4.54,2.82,0.62
2005-04-26,2.7,2.91,3.67,4.28,4.59,2.78,0.61
2005-04-27,2.65,2.89,3.64,4.25,4.57,2.63,0.61
2005-04-28,2.6,2.88,3.59,4.19,4.52,2.89,0.6
2005-04-29,2.7,2.9,3.66,4.21,4.53,2.97,0.55
2005-04-30,2.7,2.9,3.66,4.21,4.53,2.97,0.55
2005-05-01,2.7,2.9,3.66,4.21,4.53,2.97,0.55
2005-05-02,2.68,2.93,3.64,4.21,4.53,2.98,0.57
2005-05-03,2.65,2.91,3.68,4.21,4.49,2.95,0.53
2005-05-04,2.59,2.87,3.63,4.2,4.6,2.99,0.57
2005-05-05,2.6,2.81,3.58,4.19,4.6,2.99,0.61
2005-05-06,2.64,2.87,3.73,4.28,4.62,2.98,0.55
2005-05-07,2.64,2.87,3.73,4.28,4.62,2.98,0.55
2005-05-08,2.64,2.87,3.73,4.28,4.62,2.98,0.55
2005-05-09,2.66,2.91,3.76,4.29,4.64,2.99,0.53
2005-05-10,2.6,2.9,3.69,4.23,4.6,2.99,0.54
2005-05-11,2.6,2.87,3.68,4.21,4.54,2.99,0.53
2005-05-12,2.58,2.88,3.66,4.18,4.54,3.01,0.52
2005-05-13,2.47,2.83,3.61,4.12,4.48,3.01,0.51
2005-05-14,2.47,2.83,3.61,4.12,4.48,3.01,0.51
2005-05-15,2.47,2.83,3.61,4.12,4.48,3.01,0.51
2005-05-16,2.48,2.89,3.61,4.13,4.49,3.06,0.52
2005-05-17,2.6,2.88,3.61,4.12,4.47,2.99,0.51
2005-05-18,2.6,2.86,3.56,4.07,4.42,3.0,0.51
2005-05-19,2.63,2.87,3.64,4.11,4.44,3.02,0.47
2005-05-20,2.66,2.9,3.69,4.13,4.44,3.01,0.44
2005-05-21,2.66,2.9,3.69,4.13,4.44,3.01,0.44
2005-05-22,2.66,2.9,3.69,4.13,4.44,3.01,0.44
2005-05-23,2.69,2.97,3.65,4.07,4.38,3.01,0.42
2005-05-24,2.82,2.94,3.61,4.04,4.35,2.99,0.43
2005-05-25,2.79,2.95,3.61,4.08,4.4,3.01,0.47
2005-05-26,2.77,2.94,3.64,4.08,4.45,3.01,0.44
2005-05-27,2.77,2.97,3.64,4.08,4.45,3.01,0.44
2005-05-28,2.77,2.97,3.64,4.08,4.45,3.01,0.44
2005-05-29,2.77,2.97,3.64,4.08,4.45,3.01,0.44
2005-05-30,2.77,2.97,3.64,4.08,4.45,3.01,0.44
2005-05-31,2.8,2.99,3.6,4.0,4.36,3.09,0.4
2005-06-01,2.79,2.97,3.5,3.91,4.27,3.02,0.41
2005-06-02,2.8,2.97,3.52,3.89,4.2,3.0,0.37
2005-06-03,2.82,3.01,3.57,3.98,4.26,2.99,0.41
2005-06-04,2.82,3.01,3.57,3.98,4.26,2.99,0.41
2005-06-05,2.82,3.01,3.57,3.98,4.26,2.99,0.41
2005-06-06,2.83,3.02,3.59,3.96,4.23,3.0,0.37
2005-06-07,2.82,3.02,3.57,3.92,4.18,2.96,0.35
2005-06-08,2.83,3.02,3.6,3.95,4.24,2.96,0.35
2005-06-09,2.81,2.99,3.64,3.98,4.23,3.01,0.34
2005-06-10,2.82,3.01,3.71,4.05,4.3,3.01,0.34
2005-06-11,2.82,3.01,3.71,4.05,4.3,3.01,0.34
2005-06-12,2.82,3.01,3.71,4.05,4.3,3.01,0.34
2005-06-13,2.82,3.03,3.71,4.09,4.39,3.04,0.38
2005-06-14,2.78,3.01,3.71,4.13,4.41,3.01,0.42
2005-06-15,2.78,3.0,3.72,4.12,4.44,3.05,0.4
2005-06-16,2.76,2.98,3.7,4.09,4.36,3.0,0.39
2005-06-17,2.79,2.99,3.72,4.09,4.35,2.99,0.37
2005-06-18,2.79,2.99,3.72,4.09,4.35,2.99,0.37
2005-06-19,2.79,2.99,3.72,4.09,4.35,2.99,0.37
2005-06-20,2.81,3.02,3.72,4.11,4.34,3.01,0.39
2005-06-21,2.85,3.02,3.71,4.06,4.32,2.96,0.35
2005-06-22,2.84,3.03,3.62,3.95,4.23,2.93,0.33
2005-06-23,2.79,3.07,3.63,3.96,4.27,3.05,0.33
2005-06-24,2.78,3.09,3.59,3.92,4.23,3.07,0.33
2005-06-25,2.78,3.09,3.59,3.92,4.23,3.07,0.33
2005-06-26,2.78,3.09,3.59,3.92,4.23,3.07,0.33
2005-06-27,2.85,3.15,3.6,3.9,4.25,3.17,0.3
2005-06-28,2.99,3.14,3.65,3.97,4.22,3.17,0.32
2005-06-29,2.95,3.13,3.65,3.99,4.24,3.2,0.34
2005-06-30,2.99,3.13,3.66,3.94,4.19,3.35,0.28
2005-07-01,3.02,3.17,3.76,4.06,4.28,3.36,0.3
2005-07-02,3.02,3.17,3.76,4.06,4.28,3.36,0.3
2005-07-03,3.02,3.17,3.76,4.06,4.28,3.36,0.3
2005-07-04,3.02,3.17,3.76,4.06,4.28,3.36,0.3
2005-07-05,3.03,3.22,3.79,4.11,4.34,3.27,0.32
2005-07-06,3.04,3.19,3.77,4.08,4.31,2.99,0.31
2005-07-07,3.0,3.15,3.71,4.05,4.28,3.18,0.34
2005-07-08,2.99,3.17,3.78,4.11,4.33,3.22,0.33
2005-07-09,2.99,3.17,3.78,4.11,4.33,3.22,0.33
2005-07-10,2.99,3.17,3.78,4.11,4.33,3.22,0.33
2005-07-11,2.98,3.19,3.81,4.11,4.3,3.23,0.3
2005-07-12,3.02,3.21,3.82,4.15,4.36,3.23,0.33
2005-07-13,3.03,3.22,3.84,4.17,4.38,3.27,0.33
2005-07-14,3.04,3.23,3.86,4.19,4.4,3.32,0.33
2005-07-15,3.04,3.26,3.86,4.18,4.39,3.32,0.32
2005-07-16,3.04,3.26,3.86,4.18,4.39,3.32,0.32
2005-07-17,3.04,3.26,3.86,4.18,4.39,3.32,0.32
2005-07-18,3.06,3.3,3.89,4.22,4.44,3.19,0.33
2005-07-19,3.13,3.31,3.88,4.2,4.41,3.13,0.32
2005-07-20,3.11,3.3,3.9,4.17,4.37,3.25,0.27
2005-07-21,3.13,3.35,3.96,4.28,4.48,3.27,0.32
2005-07-22,3.16,3.38,3.92,4.23,4.39,3.25,0.31
2005-07-23,3.16,3.38,3.92,4.23,4.39,3.25,0.31
2005-07-24,3.16,3.38,3.92,4.23,4.39,3.25,0.31
2005-07-25,3.2,3.44,3.95,4.25,4.44,3.28,0.3
2005-07-26,3.25,3.43,3.95,4.24,4.44,3.25,0.29
2005-07-27,3.23,3.4,3.99,4.27,4.42,3.27,0.28
2005-07-28,3.25,3.41,3.96,4.2,4.38,3.27,0.24
2005-07-29,3.25,3.42,4.02,4.28,4.42,3.31,0.26
2005-07-30,3.25,3.42,4.02,4.28,4.42,3.31,0.26
2005-07-31,3.25,3.42,4.02,4.28,4.42,3.31,0.26
2005-08-01,3.3,3.48,4.04,4.32,4.46,3.3,0.28
2005-08-02,3.35,3.49,4.06,4.34,4.52,3.2,0.28
2005-08-03,3.34,3.46,4.02,4.3,4.48,3.35,0.28
2005-08-04,3.34,3.47,4.04,4.32,4.5,3.44,0.28
2005-08-05,3.35,3.52,4.11,4.4,4.56,3.49,0.29
2005-08-06,3.35,3.52,4.11,4.4,4.56,3.49,0.29
2005-08-07,3.35,3.52,4.11,4.4,4.56,3.49,0.29
2005-08-08,3.38,3.54,4.16,4.42,4.58,3.5,0.26
2005-08-09,3.37,3.52,4.13,4.41,4.56,3.47,0.28
2005-08-10,3.38,3.51,4.13,4.4,4.56,3.48,0.27
2005-08-11,3.31,3.51,4.1,4.32,4.51,3.51,0.22
2005-08-12,3.32,3.52,4.05,4.24,4.42,3.55,0.19
2005-08-13,3.32,3.52,4.05,4.24,4.42,3.55,0.19
2005-08-14,3.32,3.52,4.05,4.24,4.42,3.55,0.19
2005-08-15,3.28,3.54,4.08,4.27,4.45,3.61,0.19
2005-08-16,3.32,3.54,4.03,4.23,4.41,3.46,0.2
2005-08-17,3.31,3.52,4.07,4.28,4.49,3.57,0.21
2005-08-18,3.3,3.5,4.01,4.21,4.4,3.5,0.2
2005-08-19,3.33,3.52,4.03,4.21,4.4,3.54,0.18
2005-08-20,3.33,3.52,4.03,4.21,4.4,3.54,0.18
2005-08-21,3.33,3.52,4.03,4.21,4.4,3.54,0.18
2005-08-22,3.34,3.53,4.03,4.22,4.4,3.51,0.19
2005-08-23,3.34,3.53,4.01,4.2,4.39,3.49,0.19
2005-08-24,3.34,3.53,3.99,4.19,4.38,3.5,0.2
2005-08-25,3.34,3.54,4.0,4.18,4.37,3.55,0.18
2005-08-26,3.36,3.55,4.06,4.2,4.38,3.54,0.14
2005-08-27,3.36,3.55,4.06,4.2,4.38,3.54,0.14
2005-08-28,3.36,3.55,4.06,4.2,4.38,3.54,0.14
2005-08-29,3.42,3.54,4.06,4.2,4.37,3.54,0.14
2005-08-30,3.4,3.54,3.97,4.16,4.34,3.52,0.19
2005-08-31,3.41,3.52,3.84,4.02,4.23,3.63,0.18
2005-09-01,3.35,3.48,3.72,4.02,4.28,3.57,0.3
2005-09-02,3.38,3.46,3.75,4.03,4.26,3.49,0.28
2005-09-03,3.38,3.46,3.75,4.03,4.26,3.49,0.28
2005-09-04,3.38,3.46,3.75,4.03,4.26,3.49,0.28
2005-09-05,3.38,3.46,3.75,4.03,4.26,3.49,0.28
2005-09-06,3.39,3.52,3.8,4.09,4.36,3.57,0.29
2005-09-07,3.36,3.49,3.87,4.15,4.43,3.48,0.28
2005-09-08,3.31,3.48,3.87,4.15,4.43,3.49,0.28
2005-09-09,3.32,3.49,3.88,4.14,4.36,3.49,0.26
2005-09-10,3.32,3.49,3.88,4.14,4.36,3.49,0.26
2005-09-11,3.32,3.49,3.88,4.14,4.36,3.49,0.26
2005-09-12,3.33,3.51,3.92,4.18,4.45,3.5,0.26
2005-09-13,3.3,3.47,3.88,4.14,4.38,3.45,0.26
2005-09-14,3.25,3.42,3.9,4.17,4.41,3.54,0.27
2005-09-15,3.23,3.45,3.9,4.22,4.51,3.67,0.32
2005-09-16,3.23,3.5,3.97,4.26,4.56,3.62,0.29
2005-09-17,3.23,3.5,3.97,4.26,4.56,3.62,0.29
2005-09-18,3.23,3.5,3.97,4.26,4.56,3.62,0.29
2005-09-19,3.23,3.58,3.93,4.25,4.55,3.62,0.32
2005-09-20,3.29,3.61,4.0,4.26,4.49,3.67,0.26
2005-09-21,3.02,3.41,3.96,4.19,4.47,3.72,0.23
2005-09-22,2.99,3.47,3.95,4.19,4.47,3.77,0.24
2005-09-23,3.06,3.48,4.02,4.25,4.47,3.76,0.23
2005-09-24,3.06,3.48,4.02,4.25,4.47,3.76,0.23
2005-09-25,3.06,3.48,4.02,4.25,4.47,3.76,0.23
2005-09-26,3.19,3.52,4.07,4.3,4.56,3.83,0.23
2005-09-27,3.15,3.49,4.08,4.3,4.56,3.73,0.22
2005-09-28,3.12,3.46,4.09,4.26,4.46,3.76,0.17
2005-09-29,3.09,3.54,4.13,4.29,4.5,3.82,0.16
2005-09-30,3.15,3.55,4.18,4.34,4.53,3.93,0.16
2005-10-01,3.15,3.55,4.18,4.34,4.53,3.93,0.16
2005-10-02,3.15,3.55,4.18,4.34,4.53,3.93,0.16
2005-10-03,3.22,3.61,4.21,4.39,4.58,3.87,0.18
2005-10-04,3.35,3.63,4.22,4.38,4.61,3.75,0.16
2005-10-05,3.34,3.58,4.21,4.36,4.54,3.75,0.15
2005-10-06,3.34,3.61,4.2,4.37,4.55,3.76,0.17
2005-10-07,3.35,3.63,4.18,4.35,4.53,3.73,0.17
2005-10-08,3.35,3.63,4.18,4.35,4.53,3.73,0.17
2005-10-09,3.35,3.63,4.18,4.35,4.53,3.73,0.17
2005-10-10,3.35,3.63,4.18,4.35,4.53,3.73,0.17
2005-10-11,3.41,3.73,4.22,4.39,4.56,3.72,0.17
2005-10-12,3.49,3.7,4.24,4.45,4.62,3.36,0.21
2005-10-13,3.5,3.75,4.24,4.48,4.66,3.75,0.24
2005-10-14,3.49,3.78,4.27,4.48,4.67,3.77,0.21
2005-10-15,3.49,3.78,4.27,4.48,4.67,3.77,0.21
2005-10-16,3.49,3.78,4.27,4.48,4.67,3.77,0.21
2005-10-17,3.53,3.86,4.29,4.5,4.68,3.82,0.21
2005-10-18,3.57,3.85,4.27,4.49,4.64,3.71,0.22
2005-10-19,3.57,3.86,4.25,4.47,4.66,3.71,0.22
2005-10-20,3.46,3.85,4.27,4.46,4.62,3.77,0.19
2005-10-21,3.48,3.87,4.22,4.39,4.58,3.76,0.17
2005-10-22,3.48,3.87,4.22,4.39,4.58,3.76,0.17
2005-10-23,3.48,3.87,4.22,4.39,4.58,3.76,0.17
2005-10-24,3.51,3.92,4.25,4.45,4.63,3.76,0.2
2005-10-25,3.71,3.93,4.34,4.54,4.7,3.74,0.2
2005-10-26,3.7,3.9,4.38,4.6,4.77,3.75,0.22
2005-10-27,3.72,3.88,4.36,4.57,4.74,3.85,0.21
2005-10-28,3.75,3.93,4.4,4.58,4.74,3.9,0.18
2005-10-29,3.75,3.93,4.4,4.58,4.74,3.9,0.18
2005-10-30,3.75,3.93,4.4,4.58,4.74,3.9,0.18
2005-10-31,3.77,3.98,4.4,4.57,4.73,4.02,0.17
2005-11-01,3.78,3.96,4.42,4.58,4.74,3.99,0.16
2005-11-02,3.77,3.94,4.43,4.61,4.74,3.99,0.18
2005-11-03,3.81,3.94,4.47,4.65,4.79,4.01,0.18
2005-11-04,3.8,3.98,4.47,4.66,4.84,4.0,0.19
2005-11-05,3.8,3.98,4.47,4.66,4.84,4.0,0.19
2005-11-06,3.8,3.98,4.47,4.66,4.84,4.0,0.19
2005-11-07,3.81,3.96,4.47,4.65,4.82,3.99,0.18
2005-11-08,3.88,3.96,4.43,4.57,4.75,3.95,0.14
2005-11-09,3.91,3.99,4.49,4.64,4.78,4.02,0.15
2005-11-10,3.89,3.97,4.44,4.55,4.74,3.98,0.11
2005-11-11,3.89,3.97,4.44,4.55,4.74,3.98,0.11
2005-11-12,3.89,3.97,4.44,4.55,4.74,3.98,0.11
2005-11-13,3.89,3.97,4.44,4.55,4.74,3.98,0.11
2005-11-14,3.93,4.02,4.5,4.61,4.75,4.03,0.11
2005-11-15,4.01,4.01,4.47,4.56,4.7,3.97,0.09
2005-11-16,4.0,4.0,4.42,4.49,4.63,3.96,0.07
2005-11-17,3.98,4.01,4.37,4.46,4.6,3.98,0.09
2005-11-18,3.95,4.01,4.4,4.5,4.68,4.0,0.1
2005-11-19,3.95,4.01,4.4,4.5,4.68,4.0,0.1
2005-11-20,3.95,4.01,4.4,4.5,4.68,4.0,0.1
2005-11-21,3.93,4.0,4.39,4.46,4.62,4.03,0.07
2005-11-22,3.94,3.93,4.32,4.43,4.65,3.99,0.11
2005-11-23,3.94,3.95,4.36,4.47,4.7,4.01,0.11
2005-11-24,3.94,3.95,4.36,4.47,4.7,4.01,0.11
2005-11-25,3.91,3.95,4.33,4.43,4.66,4.03,0.1
2005-11-26,3.91,3.95,4.33,4.43,4.66,4.03,0.1
2005-11-27,3.91,3.95,4.33,4.43,4.66,4.03,0.1
2005-11-28,3.94,3.98,4.33,4.41,4.58,4.01,0.08
2005-11-29,3.99,3.98,4.4,4.48,4.65,3.99,0.08
2005-11-30,4.0,3.95,4.42,4.49,4.66,4.03,0.07
2005-12-01,3.99,3.97,4.45,4.52,4.68,4.03,0.07
2005-12-02,4.0,3.99,4.43,4.52,4.68,4.0,0.09
2005-12-03,4.0,3.99,4.43,4.52,4.68,4.0,0.09
2005-12-04,4.0,3.99,4.43,4.52,4.68,4.0,0.09
2005-12-05,4.01,4.04,4.47,4.57,4.72,4.02,0.1
2005-12-06,3.84,4.04,4.42,4.49,4.68,3.97,0.07
2005-12-07,3.84,4.03,4.42,4.52,4.67,3.98,0.1
2005-12-08,3.67,3.94,4.37,4.47,4.62,4.09,0.1
2005-12-09,3.62,3.94,4.43,4.54,4.72,4.16,0.11
2005-12-10,3.62,3.94,4.43,4.54,4.72,4.16,0.11
2005-12-11,3.62,3.94,4.43,4.54,4.72,4.16,0.11
2005-12-12,3.59,3.9,4.45,4.56,4.69,4.24,0.11
2005-12-13,3.61,3.91,4.43,4.54,4.68,4.23,0.11
2005-12-14,3.61,3.89,4.37,4.45,4.63,4.26,0.08
2005-12-15,3.6,3.93,4.37,4.47,4.62,4.29,0.1
2005-12-16,3.56,3.93,4.37,4.45,4.63,4.25,0.08
2005-12-17,3.56,3.93,4.37,4.45,4.63,4.25,0.08
2005-12-18,3.56,3.93,4.37,4.45,4.63,4.25,0.08
2005-12-19,3.56,3.96,4.38,4.45,4.62,4.25,0.07
2005-12-20,3.55,3.95,4.42,4.47,4.63,4.3,0.05
2005-12-21,3.56,3.98,4.43,4.49,4.65,4.08,0.06
2005-12-22,3.55,3.98,4.4,4.44,4.59,4.25,0.04
2005-12-23,3.48,3.99,4.37,4.38,4.52,4.21,0.01
2005-12-24,3.48,3.99,4.37,4.38,4.52,4.21,0.01
2005-12-25,3.48,3.99,4.37,4.38,4.52,4.21,0.01
2005-12-26,3.48,3.99,4.37,4.38,4.52,4.21,0.01
2005-12-27,3.51,3.98,4.35,4.34,4.48,4.26,-0.01
2005-12-28,3.57,3.95,4.37,4.38,4.51,4.19,0.01
2005-12-29,3.67,4.01,4.38,4.37,4.49,4.18,-0.01
2005-12-30,4.01,4.08,4.41,4.39,4.51,4.09,-0.02
2005-12-31,4.01,4.08,4.41,4.39,4.51,4.09,-0.02
2006-01-01,4.01,4.08,4.41,4.39,4.51,4.09,-0.02
2006-01-02,4.01,4.08,4.41,4.39,4.51,4.09,-0.02
2006-01-03,4.05,4.16,4.34,4.37,4.52,4.34,0.03
2006-01-04,4.03,4.19,4.31,4.36,4.55,4.22,0.05
2006-01-05,4.05,4.2,4.32,4.36,4.51,4.24,0.04
2006-01-06,4.06,4.22,4.36,4.38,4.53,4.22,0.02
2006-01-07,4.06,4.22,4.36,4.38,4.53,4.22,0.02
2006-01-08,4.06,4.22,4.36,4.38,4.53,4.22,0.02
2006-01-09,4.09,4.23,4.36,4.38,4.53,4.25,0.02
2006-01-10,4.15,4.29,4.41,4.43,4.62,4.24,0.02
2006-01-11,4.16,4.3,4.44,4.46,4.61,4.24,0.02
2006-01-12,4.16,4.32,4.39,4.42,4.56,4.28,0.03
2006-01-13,4.13,4.33,4.34,4.36,4.49,4.3,0.02
2006-01-14,4.13,4.33,4.34,4.36,4.49,4.3,0.02
2006-01-15,4.13,4.33,4.34,4.36,4.49,4.3,0.02
2006-01-16,4.13,4.33,4.34,4.36,4.49,4.3,0.02
2006-01-17,4.11,4.38,4.33,4.34,4.52,4.32,0.01
2006-01-18,4.04,4.35,4.33,4.34,4.53,4.24,0.01
2006-01-19,3.98,4.35,4.37,4.38,4.51,4.23,0.01
2006-01-20,3.95,4.35,4.37,4.37,4.54,4.24,0.0
2006-01-21,3.95,4.35,4.37,4.37,4.54,4.24,0.0
2006-01-22,3.95,4.35,4.37,4.37,4.54,4.24,0.0
2006-01-23,3.98,4.38,4.35,4.36,4.54,4.26,0.01
2006-01-24,4.24,4.4,4.37,4.4,4.53,4.28,0.03
2006-01-25,4.22,4.42,4.46,4.49,4.62,4.36,0.03
2006-01-26,4.17,4.45,4.49,4.53,4.66,4.37,0.04
2006-01-27,4.19,4.45,4.51,4.52,4.7,4.42,0.01
2006-01-28,4.19,4.45,4.51,4.52,4.7,4.42,0.01
2006-01-29,4.19,4.45,4.51,4.52,4.7,4.42,0.01
2006-01-30,4.18,4.48,4.52,4.54,4.67,4.48,0.02
2006-01-31,4.37,4.47,4.54,4.53,4.69,4.47,-0.01
2006-02-01,4.33,4.47,4.59,4.57,4.69,4.47,-0.02
2006-02-02,4.32,4.48,4.59,4.57,4.68,4.48,-0.02
2006-02-03,4.31,4.48,4.59,4.54,4.64,4.51,-0.05
