cusip,auctionDate,issueDate,securityType,securityTerm,tenor_years,offeringAmount,totalAccepted,totalTendered
91282CGD7,2022-12-27,2023-01-03,Note,2-Year,2.0,42000000000.0,42000043000.0,113955627000.0
91282CGC9,2022-12-28,2023-01-03,Note,5-Year,5.0,43000000000.0,43000018900.0,105587972000.0
91282CGB1,2022-12-29,2023-01-03,Note,7-Year,7.0,35000000000.0,35000010200.0,85874350200.0
91282CGE5,2023-01-10,2023-01-17,Note,3-Year,3.0,40000000000.0,40000009200.0,113578584200.0
91282CFV8,2023-01-11,2023-01-17,Note,9-Year 10-Month,5.0,32000000000.0,32000033900.0,80941653900.0
912810TL2,2023-01-12,2023-01-17,Bond,29-Year 10-Month,20.0,18000000000.0,18000040700.0,44109278700.0
912810TM0,2023-01-18,2023-01-31,Bond,19-Year 10-Month,20.0,12000000000.0,12000004700.0,33956802400.0
91282CGG0,2023-01-24,2023-01-31,Note,2-Year,2.0,42000000000.0,42000002800.0,123650302800.0
91282CGJ4,2023-01-26,2023-01-31,Note,7-Year,7.0,35000000000.0,35000009400.0,94174359400.0
91282CGL9,2023-02-07,2023-02-15,Note,3-Year,3.0,40000000000.0,55631649500.0,108942024500.0
91282CGN5,2023-02-21,2023-02-28,Note,2-Year,2.0,42000000000.0,51542599200.0,119308597200.0
91282CGP0,2023-02-22,2023-02-28,Note,5-Year,5.0,43000000000.0,52769839400.0,116516487900.0
91282CGR6,2023-03-07,2023-03-15,Note,3-Year,3.0,40000000000.0,40000003600.0,109064539600.0
91282CGU9,2023-03-27,2023-03-31,Note,2-Year,2.0,42000000000.0,42000018600.0,102406568600.0
91282CGT2,2023-03-28,2023-03-31,Note,5-Year,5.0,43000000000.0,43000054200.0,106634082700.0
91282CGS4,2023-03-29,2023-03-31,Note,7-Year,7.0,35000000000.0,35000010400.0,83785864100.0
91282CGV7,2023-04-11,2023-04-17,Note,3-Year,3.0,40000000000.0,42557489100.0,106354743100.0
91282CGM7,2023-04-12,2023-04-17,Note,9-Year 10-Month,5.0,32000000000.0,34046008600.0,77468793600.0
912810TN8,2023-04-13,2023-04-17,Bond,29-Year 10-Month,20.0,18000000000.0,19150871600.0,43609012000.0
912810TQ1,2023-04-19,2023-05-01,Bond,19-Year 10-Month,20.0,12000000000.0,13171112900.0,33125754900.0
91282CGX3,2023-04-25,2023-05-01,Note,2-Year,2.0,42000000000.0,46098902200.0,116646352200.0
91282CHA2,2023-04-26,2023-05-01,Note,5-Year,5.0,43000000000.0,47196460700.0,113346060700.0
91282CGZ8,2023-04-27,2023-05-01,Note,7-Year,7.0,35000000000.0,38415712700.0,87940030200.0
91282CHB0,2023-05-09,2023-05-15,Note,3-Year,3.0,40000000000.0,50897713300.0,128065108800.0
91282CHD6,2023-05-23,2023-05-31,Note,2-Year,2.0,42000000000.0,49887600600.0,129665477300.0
91282CHE4,2023-05-24,2023-05-31,Note,5-Year,5.0,43000000000.0,51075301400.0,119032625100.0
91282CHF1,2023-05-25,2023-05-31,Note,7-Year,7.0,35000000000.0,41573013500.0,97892008900.0
91282CHH7,2023-06-12,2023-06-15,Note,3-Year,3.0,40000000000.0,40000073800.0,107831969600.0
91282CHL8,2023-06-26,2023-06-30,Note,2-Year,2.0,42000000000.0,42000044500.0,120126760500.0
91282CHK0,2023-06-27,2023-06-30,Note,5-Year,5.0,43000000000.0,43000072100.0,108201132200.0
91282CHJ3,2023-06-28,2023-06-30,Note,7-Year,7.0,35000000000.0,35000007900.0,92871807100.0
91282CHM6,2023-07-11,2023-07-17,Note,3-Year,3.0,40000000000.0,40000012600.0,115286447500.0
91282CHC8,2023-07-12,2023-07-17,Note,9-Year 10-Month,5.0,32000000000.0,32000010200.0,81020970600.0
912810TR9,2023-07-13,2023-07-17,Bond,29-Year 10-Month,20.0,18000000000.0,18000002300.0,43784382300.0
912810TS7,2023-07-19,2023-07-31,Bond,19-Year 10-Month,20.0,12000000000.0,12000005400.0,32198742400.0
91282CHN4,2023-07-24,2023-07-31,Note,2-Year,2.0,42000000000.0,42000109600.0,116839219600.0
91282CHQ7,2023-07-25,2023-07-31,Note,5-Year,5.0,43000000000.0,43000047900.0,111896244100.0
91282CHR5,2023-07-27,2023-07-31,Note,7-Year,7.0,35000000000.0,35000002700.0,86765302700.0
91282CHU8,2023-08-08,2023-08-15,Note,3-Year,3.0,42000000000.0,57712800900.0,137539296800.0
91282CHV6,2023-08-28,2023-08-31,Note,2-Year,2.0,45000000000.0,49675357100.0,137117785800.0
91282CHX2,2023-08-28,2023-08-31,Note,5-Year,5.0,46000000000.0,50779277000.0,121402759900.0
91282CHW4,2023-08-29,2023-08-31,Note,7-Year,7.0,36000000000.0,39740231100.0,99593723600.0
91282CHY0,2023-09-11,2023-09-15,Note,3-Year,3.0,44000000000.0,44000032600.0,121026908100.0
91282CJB8,2023-09-26,2023-10-02,Note,2-Year,2.0,48000000000.0,48000137800.0,130923315800.0
91282CJA0,2023-09-27,2023-10-02,Note,5-Year,5.0,49000000000.0,49000049600.0,123585241100.0
91282CHZ7,2023-09-28,2023-10-02,Note,7-Year,7.0,37000000000.0,37000026500.0,91219272100.0
91282CJC6,2023-10-10,2023-10-16,Note,3-Year,3.0,46000000000.0,46000008300.0,117850808300.0
91282CHT1,2023-10-11,2023-10-16,Note,9-Year 10-Month,5.0,35000000000.0,35000052400.0,87507724600.0
912810TT5,2023-10-12,2023-10-16,Bond,29-Year 10-Month,20.0,20000000000.0,20000002800.0,46974932800.0
912810TU2,2023-10-18,2023-10-31,Bond,19-Year 10-Month,20.0,13000000000.0,13000016300.0,33617891300.0
91282CJE2,2023-10-24,2023-10-31,Note,2-Year,2.0,51000000000.0,51000026900.0,134413900100.0
91282CJF9,2023-10-25,2023-10-31,Note,5-Year,5.0,52000000000.0,52000027800.0,122956296800.0
91282CJG7,2023-10-26,2023-10-31,Note,7-Year,7.0,38000000000.0,38000032300.0,102749692300.0
91282CJK8,2023-11-07,2023-11-15,Note,3-Year,3.0,48000000000.0,48913468500.0,128971178100.0
91282CJL6,2023-11-27,2023-11-30,Note,2-Year,2.0,54000000000.0,54622032900.0,137569670400.0
91282CJN2,2023-11-27,2023-11-30,Note,5-Year,5.0,55000000000.0,55633518500.0,136086878200.0
91282CJM4,2023-11-28,2023-11-30,Note,7-Year,7.0,39000000000.0,39449232700.0,95704757700.0
91282CJP7,2023-12-11,2023-12-15,Note,3-Year,3.0,50000000000.0,50000068500.0,120796778500.0
91282CJS1,2023-12-26,2024-01-02,Note,2-Year,2.0,57000000000.0,57000058100.0,152676029000.0
91282CJR3,2023-12-27,2024-01-02,Note,5-Year,5.0,58000000000.0,58000021100.0,145035462700.0
91282CJQ5,2023-12-28,2024-01-02,Note,7-Year,7.0,40000000000.0,40000020000.0,99915248200.0
91282CJT9,2024-01-09,2024-01-16,Note,3-Year,3.0,52000000000.0,52000056800.0,138967271900.0
91282CJJ1,2024-01-10,2024-01-16,Note,9-Year 10-Month,5.0,37000000000.0,37000011200.0,94874853700.0
912810TV0,2024-01-11,2024-01-16,Bond,29-Year 10-Month,20.0,21000000000.0,21000006300.0,49716151100.0
912810TW8,2024-01-17,2024-01-31,Bond,19-Year 10-Month,20.0,13000000000.0,13000010700.0,32901510400.0
91282CJV4,2024-01-23,2024-01-31,Note,2-Year,2.0,60000000000.0,60000062600.0,154232738200.0
91282CJW2,2024-01-24,2024-01-31,Note,5-Year,5.0,61000000000.0,61000063600.0,141168501100.0
91282CJX0,2024-01-25,2024-01-31,Note,7-Year,7.0,41000000000.0,41000041100.0,105543904100.0
91282CKA8,2024-02-06,2024-02-15,Note,3-Year,3.0,54000000000.0,57993720900.0,143344994900.0
91282CKB6,2024-02-26,2024-02-29,Note,2-Year,2.0,63000000000.0,65725715600.0,159709649500.0
91282CKD2,2024-02-26,2024-02-29,Note,5-Year,5.0,64000000000.0,66768916600.0,157232464100.0
91282CKC4,2024-02-27,2024-02-29,Note,7-Year,7.0,42000000000.0,43817110700.0,110048696800.0
91282CKE0,2024-03-11,2024-03-15,Note,3-Year,3.0,56000000000.0,56000018600.0,145816422300.0
91282CKH3,2024-03-25,2024-04-01,Note,2-Year,2.0,66000000000.0,66000028700.0,172885569100.0
91282CKG5,2024-03-26,2024-04-01,Note,5-Year,5.0,67000000000.0,67000049700.0,161526139600.0
91282CKF7,2024-03-27,2024-04-01,Note,7-Year,7.0,43000000000.0,43000000600.0,112406413600.0
91282CKJ9,2024-04-09,2024-04-15,Note,3-Year,3.0,58000000000.0,58956538700.0,145805811200.0
91282CJZ5,2024-04-10,2024-04-15,Note,9-Year 10-Month,5.0,39000000000.0,39643278400.0,91748378400.0
912810TX6,2024-04-11,2024-04-15,Bond,29-Year 10-Month,20.0,22000000000.0,22362826900.0,52434584500.0
912810TZ1,2024-04-17,2024-04-30,Bond,19-Year 10-Month,20.0,13000000000.0,13061977000.0,36716398400.0
91282CKK6,2024-04-23,2024-04-30,Note,2-Year,2.0,69000000000.0,69328870200.0,183777750200.0
91282CKP5,2024-04-24,2024-04-30,Note,5-Year,5.0,70000000000.0,70333647700.0,167390398200.0
91282CKN0,2024-04-25,2024-04-30,Note,7-Year,7.0,44000000000.0,44209715500.0,109368420500.0
91282CKR1,2024-05-07,2024-05-15,Note,3-Year,3.0,58000000000.0,65290209800.0,159930388000.0
91282CKS9,2024-05-28,2024-05-31,Note,2-Year,2.0,69000000000.0,73096387700.0,170105487700.0
91282CKT7,2024-05-28,2024-05-31,Note,5-Year,5.0,70000000000.0,74155764000.0,164834676800.0
91282CKU4,2024-05-29,2024-05-31,Note,7-Year,7.0,44000000000.0,46612240400.0,109416353400.0
91282CKV2,2024-06-10,2024-06-17,Note,3-Year,3.0,58000000000.0,59876059100.0,142991557100.0
91282CKY6,2024-06-25,2024-07-01,Note,2-Year,2.0,69000000000.0,71402712600.0,192191805500.0
91282CKX8,2024-06-26,2024-07-01,Note,5-Year,5.0,70000000000.0,72437531400.0,167267516700.0
91282CKW0,2024-06-27,2024-07-01,Note,7-Year,7.0,44000000000.0,45532190200.0,115108672600.0
91282CKZ3,2024-07-09,2024-07-15,Note,3-Year,3.0,58000000000.0,67423503800.0,164119003800.0
91282CKQ3,2024-07-10,2024-07-15,Note,9-Year 10-Month,5.0,39000000000.0,45336567200.0,106761715400.0
912810UA4,2024-07-11,2024-07-15,Bond,29-Year 10-Month,20.0,22000000000.0,25574432800.0,54158192800.0
912810UB2,2024-07-17,2024-07-31,Bond,19-Year 10-Month,20.0,13000000000.0,13716789100.0,35616003500.0
91282CLB5,2024-07-23,2024-07-31,Note,2-Year,2.0,69000000000.0,72804526100.0,197960920100.0
91282CLC3,2024-07-24,2024-07-31,Note,5-Year,5.0,70000000000.0,73859602700.0,171829552700.0
91282CLD1,2024-07-25,2024-07-31,Note,7-Year,7.0,44000000000.0,46426114700.0,118469714700.0
91282CLG4,2024-08-06,2024-08-15,Note,3-Year,3.0,58000000000.0,69030182700.0,159002762700.0
91282CLH2,2024-08-27,2024-09-03,Note,2-Year,2.0,69000000000.0,74486516100.0,190276718800.0
91282CLK5,2024-08-28,2024-09-03,Note,5-Year,5.0,70000000000.0,75566080600.0,174338755400.0
91282CLJ8,2024-08-29,2024-09-03,Note,7-Year,7.0,44000000000.0,47498677700.0,113503043700.0
91282CLL3,2024-09-10,2024-09-16,Note,3-Year,3.0,58000000000.0,58554417200.0,154967032700.0
91282CLP4,2024-09-24,2024-09-30,Note,2-Year,2.0,69000000000.0,70424647300.0,179988391200.0
91282CLN9,2024-09-25,2024-09-30,Note,5-Year,5.0,70000000000.0,71445154300.0,168383886600.0
91282CLM1,2024-09-26,2024-09-30,Note,7-Year,7.0,44000000000.0,44908314000.0,116558354000.0
91282CLQ2,2024-10-08,2024-10-15,Note,3-Year,3.0,58000000000.0,58796091400.0,143021848200.0
91282CLF6,2024-10-09,2024-10-15,Note,9-Year 10-Month,5.0,39000000000.0,39535267300.0,97309077800.0
912810UC0,2024-10-10,2024-10-15,Bond,29-Year 10-Month,20.0,22000000000.0,22301948200.0,55201874700.0
912810UD8,2024-10-23,2024-10-31,Bond,19-Year 10-Month,20.0,13000000000.0,13219300000.0,33903724000.0
91282CLR0,2024-10-28,2024-10-31,Note,5-Year,5.0,70000000000.0,71180811500.0,168521656500.0
91282CLS8,2024-10-28,2024-10-31,Note,2-Year,2.0,69000000000.0,70164113400.0,173909709400.0
91282CLU3,2024-10-29,2024-10-31,Note,7-Year,7.0,44000000000.0,44742219600.0,121176492300.0
91282CLX7,2024-11-04,2024-11-15,Note,3-Year,3.0,58000000000.0,72095620100.0,165049168600.0
91282CLY5,2024-11-25,2024-12-02,Note,2-Year,2.0,69000000000.0,73693402000.0,196153787000.0
91282CMA6,2024-11-26,2024-12-02,Note,5-Year,5.0,70000000000.0,74761379400.0,174953315900.0
91282CLZ2,2024-11-27,2024-12-02,Note,7-Year,7.0,44000000000.0,46992807400.0,122176981400.0
91282CMB4,2024-12-10,2024-12-16,Note,3-Year,3.0,58000000000.0,58415483800.0,149906083800.0
91282CME8,2024-12-23,2024-12-31,Note,2-Year,2.0,69000000000.0,69678721900.0,189004166500.0
91282CMD0,2024-12-24,2024-12-31,Note,5-Year,5.0,70000000000.0,70688599900.0,168560836400.0
91282CMC2,2024-12-26,2024-12-31,Note,7-Year,7.0,44000000000.0,44433012100.0,121807340800.0
