cusip,issueDate,securityType,securityTerm,auctionDate,auctionDateYear,originalDatedDate,highYield,highDiscountRate,highInvestmentRate,highPrice,averageMedianYield,averageMedianDiscountRate,averageMedianInvestmentRate,averageMedianPrice,lowYield,lowDiscountRate,lowInvestmentRate,lowPrice,bidToCoverRatio,allocationPercentage,allocationPercentageDecimals,competitiveTendered,competitiveAccepted,noncompetitiveTendered,noncompetitiveAccepted,directBidderTendered,directBidderAccepted,indirectBidderTendered,indirectBidderAccepted,primaryDealerTendered,primaryDealerAccepted,fimaNoncompetitiveTendered,fimaNoncompetitiveAccepted,offeringAmount,totalAccepted,totalTendered,term,tintCusip,tips,frn
912810RS9,2016-07-15,Bond,29-Year 10-Month,2016-07-13,2016,2016-05-15T00:00:00,2.172,,,107.171412,2.13,,,,2.0,,,,2.48,93.96,2,29813473000.0,11996909400.0,,3090800.0,1518500000.0,1009500000.0,10208973000.0,8217221400.0,18086000000.0,2770188000.0,0.0,0.0,12000000000.0,12781587000.0,30598150600.0,30-Year,,No,
912810RT7,2016-10-17,Bond,29-Year 10-Month,2016-10-13,2016,2016-08-15T00:00:00,2.47,,,95.372563,2.425,,,,2.3,,,,2.44,48.9,2,29261599000.0,11993142200.0,,6888800.0,1367000000.0,735000000.0,9527099000.0,7842737200.0,18367500000.0,3415405000.0,0.0,0.0,12000000000.0,12000031000.0,29268487800.0,30-Year,,No,
912810RU4,2017-01-17,Bond,29-Year 10-Month,2017-01-12,2017,2016-11-15T00:00:00,2.914,,,99.221642,2.85,,,,2.75,,,,2.32,47.34,2,27781329000.0,11994935000.0,,5068600.0,1119000000.0,544000000.0,9199829000.0,7995435000.0,17462500000.0,3455500000.0,0.0,0.0,12000000000.0,12664929300.0,28451323300.0,30-Year,,No,
912810RV2,2017-04-17,Bond,29-Year 10-Month,2017-04-12,2017,2017-02-15T00:00:00,2.938,,,101.221385,2.861,,,,2.8,,,,2.23,27.01,2,26705679000.0,11992750500.0,,7259000.0,1248000000.0,698000000.0,8729679000.0,7731235500.0,16728000000.0,3563515000.0,0.0,0.0,12000000000.0,12098641600.0,26811570100.0,30-Year,,No,
912810RX8,2017-07-17,Bond,29-Year 10-Month,2017-07-13,2017,2017-05-15T00:00:00,2.936,,,101.261161,2.87,,,,2.5,,,,2.31,30.56,2,27671990000.0,11995970000.0,,4044300.0,1295000000.0,765000000.0,8260990000.0,7399330000.0,18116000000.0,3831640000.0,0.0,0.0,12000000000.0,12273921200.0,27949941200.0,30-Year,,No,
912810RY6,2017-10-16,Bond,29-Year 10-Month,2017-10-12,2017,2017-08-15T00:00:00,2.87,,,97.601366,2.824,,,,2.5,,,,2.53,23.37,2,30355186000.0,11995097500.0,,4905400.0,1902000000.0,1272000000.0,10066126000.0,7533526000.0,18387060000.0,3189571500.0,0.0,0.0,12000000000.0,12000002900.0,30360091400.0,30-Year,,No,
912810RZ3,2018-01-16,Bond,29-Year 10-Month,2018-01-11,2018,2017-11-15T00:00:00,2.867,,,97.660428,2.834,,,,2.288,,,,2.74,41.08,2,32883440000.0,11997353200.0,,2656200.0,1420000000.0,873000000.0,13260740000.0,8576790000.0,18202700000.0,2547563200.0,0.0,0.0,12000000000.0,12406398400.0,33292485200.0,30-Year,,No,
912810SA7,2018-04-16,Bond,29-Year 10-Month,2018-04-12,2018,2018-02-15T00:00:00,3.044,,,99.136422,2.999,,,,2.188,,,,2.41,41.8,2,31385387000.0,12998197000.0,,1805600.0,2546000000.0,1896000000.0,10064387000.0,7931197000.0,18775000000.0,3171000000.0,0.0,0.0,13000000000.0,13022289700.0,31409479700.0,30-Year,,No,
912810SC3,2018-07-16,Bond,29-Year 10-Month,2018-07-12,2018,2018-05-15T00:00:00,2.958,,,103.289415,2.914,,,,2.688,,,,2.34,46.9,2,32713362000.0,13995064000.0,,4936500.0,2095000000.0,1445000000.0,10453362000.0,8660064000.0,20165000000.0,3890000000.0,0.0,0.0,14000000000.0,14054415600.0,32772713600.0,30-Year,,No,
912810SD1,2018-10-15,Bond,29-Year 10-Month,2018-10-11,2018,2018-08-15T00:00:00,3.344,,,93.532007,3.309,,,,3.23,,,,2.42,5.26,2,36290104000.0,14997966200.0,,2034200.0,2566000000.0,1916000000.0,11860104000.0,9660865200.0,21864000000.0,3421101000.0,0.0,0.0,15000000000.0,15000000400.0,36292138200.0,30-Year,,No,
912810SE9,2019-01-15,Bond,29-Year 10-Month,2019-01-10,2019,2018-11-15T00:00:00,3.035,,,106.635985,2.99,,,,2.588,,,,2.19,73.89,2,35052100000.0,15992784300.0,,7219200.0,3185100000.0,2550100000.0,10110000000.0,9167181300.0,21757000000.0,4275503000.0,0.0,0.0,16000000000.0,16000003500.0,35059319200.0,30-Year,,No,
912810SF6,2019-04-15,Bond,29-Year 10-Month,2019-04-11,2019,2019-02-15T00:00:00,2.93,,,101.381292,2.87,,,,2.488,,,,2.25,59.85,2,36015690000.0,15997217500.0,,2806800.0,2988400000.0,2303362500.0,10424290000.0,9672215000.0,22603000000.0,4021640000.0,0.0,0.0,16000000000.0,16002247400.0,36020719900.0,30-Year,,No,
912810SH2,2019-07-15,Bond,29-Year 10-Month,2019-07-11,2019,2019-05-15T00:00:00,2.644,,,104.742265,2.57,,,,1.888,,,,2.13,19.72,2,34059995000.0,15992757000.0,,7247000.0,2683300000.0,2683300000.0,8503695000.0,7994695000.0,22873000000.0,5314762000.0,0.0,0.0,16000000000.0,16136224700.0,34203462700.0,30-Year,,No,
912810SJ8,2019-10-15,Bond,29-Year 10-Month,2019-10-10,2019,2019-08-15T00:00:00,2.17,,,101.747638,2.119,,,,1.8,,,,2.25,75.61,2,35923790000.0,15997302900.0,,2716300.0,2980600000.0,2965600000.0,10695190000.0,9361946400.0,22248000000.0,3669756500.0,0.0,0.0,16000000000.0,16000019200.0,35926506300.0,30-Year,,No,
912810SK5,2020-01-15,Bond,29-Year 10-Month,2020-01-09,2020,2019-11-15T00:00:00,2.341,,,100.723975,2.31,,,,0.88,,,,2.54,9.9,2,40653470000.0,15983332000.0,,16673100.0,3574700000.0,2858734300.0,13771770000.0,10074122700.0,23307000000.0,3050475000.0,0.0,0.0,16000000000.0,16511946200.0,41182084200.0,30-Year,,No,
912810SL3,2020-04-15,Bond,29-Year 10-Month,2020-04-08,2020,2020-02-15T00:00:00,1.325,,,116.588638,1.27,,,,0.08,,,,2.35,18.15,2,39979345700.0,16996500700.0,,3523500.0,2552000000.0,1862000000.0,14058845700.0,11292295700.0,23368500000.0,3842205000.0,0.0,0.0,17000000000.0,17055977200.0,40038822200.0,30-Year,,No,
912810SN9,2020-07-15,Bond,29-Year 10-Month,2020-07-09,2020,2020-05-15T00:00:00,1.33,,,98.034284,1.294,,,,0.88,,,,2.5,63.47,2,47495820000.0,18997073000.0,,941300.0,5143500000.0,1995000000.0,16664320000.0,13687096400.0,25688000000.0,3314976600.0,2000000.0,2000000.0,19000000000.0,20666899600.0,49165646600.0,30-Year,,No,
912810SR0,2020-07-31,Bond,19-Year 10-Month,2020-07-22,2020,2020-05-15T00:00:00,1.059,,,101.174893,1.0,,,,0.88,,,,2.43,33.47,2,41343450000.0,16999579200.0,,442300.0,3705000000.0,1999000000.0,13044450000.0,11391799100.0,24594000000.0,3608780100.0,0.0,0.0,17000000000.0,18931875600.0,43275746400.0,20-Year,,No,
912810SP4,2020-10-15,Bond,29-Year 10-Month,2020-10-08,2020,2020-08-15T00:00:00,1.578,,,95.183187,1.513,,,,1.45,,,,2.29,18.34,2,52615060800.0,22996151800.0,,3849000.0,5957400000.0,3443400000.0,14922660800.0,14260830800.0,31735000000.0,5291921000.0,0.0,0.0,23000000000.0,23643373500.0,53262282500.0,30-Year,,No,
912810SQ2,2020-11-02,Bond,19-Year 10-Month,2020-10-21,2020,2020-08-15T00:00:00,1.37,,,95.765607,1.325,,,,0.08,,,,2.43,96.29,2,53431640000.0,21998494500.0,,1520600.0,5431000000.0,3431000000.0,16410640000.0,13847349500.0,31590000000.0,4720145000.0,0.0,0.0,22000000000.0,24334075500.0,55767221000.0,20-Year,,No,
912810SS8,2021-01-15,Bond,29-Year 10-Month,2021-01-13,2021,2020-11-15T00:00:00,1.825,,,95.413195,1.79,,,,0.08,,,,2.47,79.27,2,59324623000.0,23996512600.0,,3489200.0,6338200000.0,4128017500.0,20691423000.0,16471750600.0,32295000000.0,3396744500.0,0.0,0.0,24000000000.0,26412625300.0,61740735700.0,30-Year,,No,
912810ST6,2021-02-01,Bond,19-Year 10-Month,2021-01-20,2021,2020-11-15T00:00:00,1.657,,,95.258107,1.6,,,,0.08,,,,2.28,82.12,2,54695950000.0,23997476000.0,,2547400.0,5727000000.0,3482530000.0,15527950000.0,14336130000.0,33441000000.0,6178816000.0,0.0,0.0,24000000000.0,27243816900.0,57942290900.0,20-Year,,No,
912810SU3,2021-04-15,Bond,29-Year 10-Month,2021-04-13,2021,2021-02-15T00:00:00,2.32,,,90.4542,2.27,,,,2.19,,,,2.47,54.85,2,59171672000.0,23993018000.0,,7015000.0,7810000000.0,5265970000.0,19005672000.0,14625648000.0,32356000000.0,4101400000.0,0.0,0.0,24000000000.0,27684435400.0,62863089400.0,30-Year,,No,
912810SW9,2021-04-30,Bond,19-Year 10-Month,2021-04-21,2021,2021-02-15T00:00:00,2.144,,,95.676788,2.092,,,,0.08,,,,2.42,17.74,2,57975000000.0,23995619000.0,,4385800.0,7888000000.0,4843000000.0,16482000000.0,14092071000.0,33605000000.0,5060548000.0,0.0,0.0,24000000000.0,28583344600.0,62562725600.0,20-Year,,No,
912810SX7,2021-07-15,Bond,29-Year 10-Month,2021-07-13,2021,2021-05-15T00:00:00,2.0,,,108.392467,1.9,,,,1.87,,,,2.19,62.83,2,52631750000.0,23998547300.0,,1484700.0,6141700000.0,3989841500.0,14882050000.0,14661125000.0,31608000000.0,5347580800.0,0.0,0.0,24000000000.0,27950950000.0,56584152700.0,30-Year,,No,
912810SY5,2021-08-02,Bond,19-Year 10-Month,2021-07-21,2021,2021-05-15T00:00:00,1.89,,,105.917067,1.8,,,,0.88,,,,2.33,22.24,2,55893630000.0,23998663600.0,,1354200.0,6720000000.0,4545000000.0,16385630000.0,14436534000.0,32788000000.0,5017129600.0,0.0,0.0,24000000000.0,26298329200.0,58193295600.0,20-Year,,No,
912810SZ2,2021-10-15,Bond,29-Year 10-Month,2021-10-13,2021,2021-08-15T00:00:00,2.049,,,98.908044,1.97,,,,1.9,,,,2.36,64.54,2,56624335000.0,23996214400.0,,3808600.0,6633000000.0,4120000000.0,18246335000.0,16928214400.0,31745000000.0,2948000000.0,0.0,0.0,24000000000.0,25805823000.0,58433943600.0,30-Year,,No,
912810TA6,2021-11-01,Bond,19-Year 10-Month,2021-10-20,2021,2021-08-15T00:00:00,2.1,,,94.354444,2.007,,,,1.88,,,,2.25,97.19,2,54084840000.0,23993770400.0,,6241700.0,6069000000.0,3744000000.0,16155840000.0,15555390400.0,31860000000.0,4694380000.0,0.0,0.0,24000000000.0,26439990100.0,56531059700.0,20-Year,,No,
912810TB4,2022-01-18,Bond,29-Year 10-Month,2022-01-13,2022,2021-11-15T00:00:00,2.075,,,95.566819,2.0,,,,1.94,,,,2.35,71.09,2,51795250000.0,21997657500.0,,2352200.0,6184400000.0,3756281500.0,15707850000.0,14293276500.0,29903000000.0,3948099500.0,0.0,0.0,22000000000.0,25529881900.0,55327474400.0,30-Year,,No,
912810TC2,2022-01-31,Bond,19-Year 10-Month,2022-01-19,2022,2021-11-15T00:00:00,2.21,,,96.646052,2.15,,,,2.12,,,,2.48,82.43,2,49621300000.0,19998247200.0,,1759200.0,5873000000.0,3404864500.0,15974300000.0,13243186200.0,27774000000.0,3350196500.0,0.0,0.0,20000000000.0,22989260500.0,52612313300.0,20-Year,,No,
912810TD0,2022-04-18,Bond,29-Year 10-Month,2022-04-13,2022,2022-02-15T00:00:00,2.815,,,88.643787,2.725,,,,2.67,,,,2.3,67.71,2,45998040000.0,19995400600.0,,4635600.0,4630900000.0,3780900000.0,14371140000.0,13042019600.0,26996000000.0,3172481000.0,0.0,0.0,20000000000.0,24770919400.0,50773558800.0,30-Year,,No,
912810TF5,2022-05-02,Bond,19-Year 10-Month,2022-04-20,2022,2022-02-15T00:00:00,3.095,,,89.399717,3.03,,,,2.88,,,,2.8,65.88,2,44807020000.0,15991717700.0,,8340600.0,3819000000.0,2450372100.0,17435020000.0,12143347600.0,23553000000.0,1397998000.0,0.0,0.0,16000000000.0,18218454400.0,47033756700.0,20-Year,,No,
91282CEU1,2022-06-15,Note,3-Year,2022-06-07,2022,,2.927,,,99.851689,2.87,,,,2.78,,,,2.45,63.87,2,107559550000.0,43625747800.0,,174362800.0,10773000000.0,10284652800.0,29622550000.0,22473550000.0,67164000000.0,10867545000.0,200000000.0,200000000.0,44000000000.0,46587278700.0,110521080900.0,3-Year,,No,
91282CEW7,2022-06-30,Note,5-Year,2022-06-27,2022,,3.271,,,99.903859,3.18,,,,3.12,,,,2.28,21.9,2,107150435000.0,46888035000.0,,111967900.0,11237000000.0,9237000000.0,29777435000.0,26477435000.0,66136000000.0,11173600000.0,0.0,0.0,47000000000.0,50592129800.0,110854529800.0,5-Year,,No,
91282CEX5,2022-06-30,Note,2-Year,2022-06-27,2022,,3.084,,,99.838282,3.0,,,,2.94,,,,2.51,1.29,2,114511436000.0,45115298500.0,,784936800.0,13406300000.0,11406300000.0,36414136000.0,23222676000.0,64691000000.0,10486322500.0,100000000.0,100000000.0,46000000000.0,49515934000.0,118912071500.0,2-Year,,No,
91282CEV9,2022-06-30,Note,7-Year,2022-06-28,2022,,3.28,,,99.813719,3.199,,,,3.13,,,,2.48,17.1,2,99218190000.0,39973204000.0,,26817200.0,9910500000.0,8160500000.0,28710690000.0,24725939000.0,60597000000.0,7086765000.0,0.0,0.0,40000000000.0,43057150400.0,102302136400.0,7-Year,,No,
91282CEY3,2022-07-15,Note,3-Year,2022-07-11,2022,,3.093,,,99.7355,3.038,,,,2.9,,,,2.43,62.48,2,104134900000.0,42740347400.0,,159662100.0,8592000000.0,8271207400.0,33315900000.0,25800900000.0,62227000000.0,8668240000.0,100000000.0,100000000.0,43000000000.0,48480681900.0,109875234500.0,3-Year,,No,
91282CEP2,2022-07-15,Note,9-Year 10-Month,2022-07-12,2022,2022-05-15T00:00:00,2.96,,,99.274623,2.85,,,,2.81,,,,2.34,4.7,2,77346345000.0,32988390000.0,,11623000.0,5929000000.0,5929000000.0,22619345000.0,20231520000.0,48798000000.0,6827870000.0,0.0,0.0,33000000000.0,37206110400.0,81564065400.0,10-Year,,No,
912810TG3,2022-07-15,Bond,29-Year 10-Month,2022-07-13,2022,2022-05-15T00:00:00,3.115,,,95.354138,3.05,,,,2.99,,,,2.44,84.69,2,46277320000.0,18997865100.0,,2140800.0,3562200000.0,3103450000.0,16604120000.0,13906415100.0,26111000000.0,1988000000.0,0.0,0.0,19000000000.0,21421698300.0,48701153200.0,30-Year,,No,
912810TH1,2022-08-01,Bond,19-Year 10-Month,2022-07-20,2022,2022-05-15T00:00:00,3.42,,,97.563393,3.33,,,,2.88,,,,2.65,4.47,2,37136990000.0,13980661700.0,,19340100.0,2697000000.0,1970000000.0,13539990000.0,10900420300.0,20900000000.0,1110241400.0,0.0,0.0,14000000000.0,15214669000.0,38370997300.0,20-Year,,No,
91282CFA4,2022-08-01,Note,2-Year,2022-07-25,2022,,3.015,,,99.971015,2.95,,,,2.85,,,,2.58,6.49,2,115484485000.0,44253657400.0,,643391200.0,11307000000.0,8855682400.0,39662485000.0,27456485000.0,64515000000.0,7941490000.0,103000000.0,103000000.0,45000000000.0,48904336300.0,120135163900.0,2-Year,,No,
91282CFB2,2022-08-01,Note,5-Year,2022-07-26,2022,,2.86,,,99.491044,2.8,,,,2.72,,,,2.46,21.1,2,113252120000.0,45932955000.0,,64082100.0,9088000000.0,7723500000.0,37764120000.0,30487120000.0,66400000000.0,7722335000.0,3000000.0,3000000.0,46000000000.0,49991086600.0,117310251600.0,5-Year,,No,
91282CFC0,2022-08-01,Note,7-Year,2022-07-28,2022,,2.73,,,99.335208,2.65,,,,2.592,,,,2.6,53.12,2,98935690000.0,37986148000.0,,13898900.0,7977500000.0,7003480000.0,32659190000.0,26945388000.0,58299000000.0,4037280000.0,0.0,0.0,38000000000.0,41297000800.0,102246542800.0,7-Year,,No,
91282CFE6,2022-08-15,Note,3-Year,2022-08-09,2022,,3.202,,,99.781411,3.14,,,,3.075,,,,2.5,25.45,2,104730405000.0,41704680000.0,,195323600.0,8940000000.0,7207500000.0,36157405000.0,26305555000.0,59633000000.0,8191625000.0,100000000.0,100000000.0,42000000000.0,68564317600.0,131590042600.0,3-Year,,No,
91282CFG1,2022-08-31,Note,2-Year,2022-08-23,2022,,3.307,,,99.890561,3.25,,,,3.15,,,,2.49,17.58,2,108500187000.0,43039847000.0,,755211300.0,7452000000.0,7452000000.0,38902187000.0,25709267000.0,62146000000.0,9878580000.0,205000000.0,205000000.0,44000000000.0,49728465100.0,115188805100.0,2-Year,,No,
91282CFH9,2022-08-31,Note,5-Year,2022-08-24,2022,,3.23,,,99.518772,3.15,,,,3.05,,,,2.3,74.56,2,103277450000.0,44899090000.0,,97952400.0,8329000000.0,8179000000.0,32242450000.0,27468130000.0,62706000000.0,9251960000.0,3000000.0,3000000.0,45000000000.0,50858640200.0,109237000200.0,5-Year,,No,
91282CFJ5,2022-08-31,Note,7-Year,2022-08-25,2022,,3.13,,,99.968787,3.09,,,,3.05,,,,2.65,73.37,2,98204705000.0,36980452100.0,,19604600.0,8124500000.0,5805500000.0,35874205000.0,28000549100.0,54206000000.0,3174403000.0,0.0,0.0,37000000000.0,41817126000.0,103041378900.0,7-Year,,No,
91282CFK2,2022-09-15,Note,3-Year,2022-09-12,2022,,3.564,,,99.819428,3.5,,,,3.39,,,,2.49,82.62,2,102035600000.0,40791578000.0,,208435000.0,10913000000.0,8913000000.0,31604600000.0,22250993000.0,59518000000.0,9627585000.0,0.0,0.0,41000000000.0,41000013000.0,102244035000.0,3-Year,,No,
91282CFN6,2022-09-30,Note,2-Year,2022-09-26,2022,,4.29,,,99.924113,4.22,,,,4.1,,,,2.51,7.03,2,106044797000.0,41136040500.0,,1644083200.0,10219000000.0,10219000000.0,35082797000.0,21783389000.0,60743000000.0,9133651500.0,220000000.0,220000000.0,43000000000.0,43000123700.0,107908880200.0,2-Year,,No,
91282CFM8,2022-09-30,Note,5-Year,2022-09-27,2022,,4.228,,,99.540144,4.13,,,,4.05,,,,2.27,79.0,2,99736080000.0,43805510000.0,,192397900.0,8442000000.0,8192000000.0,29810080000.0,26099510000.0,61484000000.0,9514000000.0,2200000.0,2200000.0,44000000000.0,44000107900.0,99930677900.0,5-Year,,No,
91282CFL0,2022-09-30,Note,7-Year,2022-09-28,2022,,3.898,,,99.860277,3.85,,,,3.797,,,,2.57,55.6,2,92432265000.0,35947089000.0,,52914600.0,9878400000.0,8865400000.0,29350865000.0,22463689000.0,53203000000.0,4618000000.0,0.0,0.0,36000000000.0,36000003600.0,92485179600.0,7-Year,,No,
91282CFP1,2022-10-17,Note,3-Year,2022-10-11,2022,,4.318,,,99.810402,4.24,,,,4.18,,,,2.57,3.17,2,102188870000.0,39502040000.0,,397969700.0,7774000000.0,7724000000.0,29252870000.0,21092870000.0,65162000000.0,10685170000.0,100000000.0,100000000.0,40000000000.0,40000009700.0,102686839700.0,3-Year,,No,
91282CFF3,2022-10-17,Note,9-Year 10-Month,2022-10-12,2022,2022-08-15T00:00:00,3.93,,,90.449122,3.85,,,,3.8,,,,2.34,41.09,2,74879434000.0,31985066500.0,,14963100.0,7595600000.0,7520600000.0,20877834000.0,18163834000.0,46406000000.0,6300632500.0,0.0,0.0,32000000000.0,32000029600.0,74894397100.0,10-Year,,No,
912810TJ7,2022-10-17,Bond,29-Year 10-Month,2022-10-13,2022,2022-08-15T00:00:00,3.93,,,83.740689,3.85,,,,3.79,,,,2.39,33.5,2,42941679000.0,17990969000.0,,9032400.0,3395600000.0,3355600000.0,14866079000.0,12436419000.0,24680000000.0,2198950000.0,0.0,0.0,18000000000.0,18000001400.0,42950711400.0,30-Year,,No,
912810TK4,2022-10-31,Bond,19-Year 10-Month,2022-10-19,2022,2022-08-15T00:00:00,4.395,,,86.599384,4.319,,,,4.22,,,,2.5,28.43,2,29993020000.0,11965293000.0,,34717800.0,2384000000.0,2376843000.0,9571020000.0,7622020000.0,18038000000.0,1966430000.0,0.0,0.0,12000000000.0,12000010800.0,30027737800.0,20-Year,,No,
