cik,opmargin_change_rank
0000831641,960
0000832101,77
0000832428,181
0000832988,2681
0000833640,2593
0000835011,1824
0000836157,134
0000837465,1132
0000838875,661
0000839087,1289
0000842023,369
0000842162,2183
0000842633,763
0000843006,997
0000844059,1645
0000844985,1118
0000845819,156
0000846913,141
0000849145,2081
0000849146,445
0000849395,1178
0000851205,1104
0000851310,2524
0000851520,1035
0000851968,1416
0000853816,1282
0000854775,101
0000855658,2518
0000856982,1276
0000856984,1502
0000857005,1944
0000858470,836
0000858877,74
0000860731,2002
0000861459,1113
0000861884,999
0000862651,2235
0000862861,1630
0000863110,1683
0000863436,2559
0000864749,1191
0000865752,672
0000866273,1339
0000866729,915
0000866787,1775
0000866829,841
0000867038,801
0000867840,932
0000868278,331
0000868780,2218
0000868857,988
0000871763,2022
0000872589,439
0000872912,1490
0000873303,319
0000874015,325
0000874238,1096
0000874396,771
0000874499,789
0000874716,425
0000875320,359
0000875355,1677
0000875582,749
0000875657,2601
0000876167,1916
0000876343,464
0000876523,2653
0000876883,2056
0000877212,106
0000879101,2361
0000879169,966
0000879407,527
0000879526,2258
0000879585,168
0000880117,680
0000880266,88
0000880631,1541
0000880984,1126
0000882095,396
0000882508,2535
0000882835,1292
0000883107,459
0000883237,1606
0000883241,2142
0000883569,1121
0000883902,779
0000883984,1262
0000884144,1854
0000884614,1676
0000884624,1063
0000884887,1513
0000885245,1039
0000885307,1293
0000885508,641
0000885568,1714
0000885590,502
0000885639,1363
0000885725,1232
0000885978,614
0000886128,2624
0000886163,308
0000886206,994
0000886346,108
0000886744,335
0000887359,368
0000887396,878
0000887596,1395
0000887733,934
0000887905,2437
0000887936,986
0000888981,1568
0000889348,2147
0000889900,829
0000890564,2069
0000891014,333
0000891103,1894
0000891482,1428
0000891532,1792
0000892553,781
0000893538,876
0000894405,1323
0000894556,553
0000894627,874
0000894871,202
0000895126,787
0000895417,2388
0000895419,2497
0000895447,1088
0000896156,1337
0000896264,431
0000896429,137
0000896622,739
0000896878,2042
0000897077,115
0000897448,360
0000897723,2575
0000898173,1769
0000898293,2563
0000898437,1338
0000899460,488
0000899629,2336
0000899751,1349
0000899923,430
0000901491,1406
0000903129,2210
0000906553,1501
0000906709,324
0000907254,2393
0000908255,2174
0000908315,2683
0000908937,171
0000909724,1485
0000909832,1343
0000910329,683
0000910406,648
0000910606,2387
0000910638,1802
0000911147,1413
0000911177,1695
0000912061,952
0000912093,2542
0000912562,1493
0000912615,1057
0000912728,272
0000912766,901
0000913142,1213
0000913241,1414
0000913277,1172
0000914156,1288
0000914208,1565
0000914475,351
0000915840,2326
0000915912,2382
0000915913,362
0000916076,2454
0000916365,1256
0000916540,651
0000917251,2365
0000917520,1130
0000918541,69
0000918965,1021
0000919012,1026
0000920148,596
0000920371,757
0000920522,2434
0000921082,2396
0000921299,297
0000921582,1458
0000921638,2348
0000922224,1702
0000922358,2686
0000922621,1101
0000923120,2220
0000923601,2253
0000923796,2320
0000924168,2498
0000924719,1447
0000926282,2536
0000926326,50
0000926423,1116
0000927003,2530
0000927066,600
0000928054,417
0000928340,1728
0000929008,1009
0000929351,1530
0000930420,2019
0000931015,2192
0000931148,2603
0000932021,2628
0000932696,2669
0000933034,2205
0000933036,1989
0000933972,2626
0000933974,149
0000934549,2439
0000934612,1247
0000935036,2052
0000935419,1497
0000935703,1304
0000936395,2512
0000936468,2208
0000937556,1324
0000939767,382
0000940944,1421
0000943452,2198
0000943819,1217
0000944075,76
0000944695,1278
0000944809,395
0000945114,1011
0000945841,1014
0000945983,1028
0000946563,1605
0000946644,24
0000948320,622
0000948708,1799
0000949157,928
0000949870,703
0001000228,1018
0001000623,889
0001000694,513
0001000697,1596
0001000753,2028
0001001115,1295
0001001233,705
0001001250,440
0001001316,377
0001001614,847
0001001838,2773
0001002590,2654
0001002638,2041
0001002910,1660
0001003078,1013
0001004724,1590
0001004980,1685
0001005101,2699
0001005210,2659
0001005284,2607
0001005757,1977
0001006028,354
0001006045,1302
0001006281,310
0001006655,846
0001006837,754
0001007019,679
0001007587,165
0001009829,1236
0001009891,2182
0001010086,506
0001012019,1772
0001013237,2074
0001013488,1426
0001013857,2141
0001013871,1754
0001013880,2037
0001013934,893
0001014473,1988
0001014739,608
0001014763,2799
0001016281,1230
0001017303,54
0001017655,1975
0001018164,989
0001018724,2663
0001018840,1061
0001018963,1185
0001019849,1777
0001020214,1087
0001020569,2359
0001020710,1023
0001020859,941
0001021561,931
0001021635,1736
0001021860,129
0001021917,638
0001022079,599
0001022321,1123
0001022505,2153
0001022652,2604
0001022671,1135
0001023024,397
0001023128,1778
0001023313,882
0001023459,1855
0001023994,2311
0001024305,465
0001024478,1196
0001024795,746
0001026655,742
0001027838,1158
0001029199,1436
0001030192,2768
0001030894,2555
0001031203,1770
0001031235,2419
0001031296,1704
0001031308,2051
0001032220,2018
0001034054,2402
0001034670,2204
0001034760,1955
0001034842,447
0001035201,1739
0001035267,1162
0001035983,1234
0001036044,38
0001037868,1260
0001037976,1589
0001038074,2516
0001038277,1670
0001039280,1898
0001039399,2532
0001039684,1703
0001040470,1620
0001040829,2378
0001040896,1823
0001040971,2381
0001041061,1376
0001041514,1348
0001041803,1335
0001041859,1108
0001041934,1202
0001042046,1297
0001042893,144
0001043277,279
0001043337,2214
0001043509,1776
0001043961,1403
0001044777,2104
0001045450,2405
0001045609,2350
0001045810,2505
0001046102,2001
0001046257,684
0001046311,1528
0001046568,888
0001047127,2537
0001047335,604
0001047340,1643
0001047862,1705
0001048268,1401
0001048286,1453
0001048477,474
0001048695,94
0001048911,718
0001049502,1216
0001049521,2515
0001049606,750
0001050377,1006
0001050446,2760
0001050797,1351
0001050915,1398
0001051470,2409
0001051512,155
0001051627,2486
0001052752,1508
0001053507,2414
0001053706,1318
0001054102,1390
0001054905,438
0001056288,1585
0001056358,404
0001056696,2043
0001056903,1706
0001057060,1781
0001057352,1903
0001057379,961
0001058090,1464
0001058290,2045
0001058623,197
0001059556,2006
0001060391,1696
0001060822,1326
0001060955,1020
0001061069,1667
0001061219,1679
0001061983,31
0001062231,2217
0001062822,231
0001063761,2421
0001064728,1484
0001065059,2456
0001065088,2098
0001065280,1455
0001065696,1032
0001066194,1871
0001066923,225
0001067294,1418
0001067701,2014
0001068148,762
0001068689,2203
0001069183,745
0001069202,114
0001069258,2202
0001069394,426
0001069533,1740
0001069878,1325
0001069899,410
0001070050,560
0001070081,509
0001070423,1397
0001070494,468
0001070750,2373
0001071739,1361
0001072379,227
0001072627,1255
0001075531,275
0001075736,193
0001076930,2584
0001078271,81
0001080014,467
0001080340,2375
0001080657,2403
0001081316,1697
0001081745,2135
0001081938,317
0001082554,463
0001083301,2740
0001083446,990
0001083490,2165
0001083522,644
0001084048,189
0001084267,217
0001084765,1805
0001084869,2642
0001084961,2706
0001084991,809
0001085277,284
0001085392,1678
0001086600,1535
0001087294,497
0001088034,1350
0001088413,147
0001088856,489
0001089063,2684
0001089819,1748
0001089872,1478
0001090396,2286
0001090727,1378
0001090872,1190
0001091667,180
0001092699,2061
0001093557,1115
0001093691,2481
0001094285,1246
0001095146,2716
0001095565,1940
0001095651,2408
0001095981,2263
0001096056,429
0001096275,2149
0001096343,1561
0001096752,461
0001097149,1271
0001097864,2491
0001098009,517
0001098972,314
0001099160,159
0001099219,1340
0001099369,2157
0001099590,2112
0001099800,1245
0001100682,965
0001101239,2363
0001101302,734
0001101433,2075
0001102238,1627
0001102993,1815
0001103982,669
0001104038,2725
0001104485,2775
0001104506,292
0001104657,766
0001106644,500
0001107843,1954
0001108109,601
0001108426,1692
0001108524,1980
0001109116,154
0001109242,1305
0001109262,282
0001109354,1364
0001109357,1709
0001109448,1543
0001110607,57
0001110803,1195
0001111485,1604
0001111711,1699
0001111741,2771
0001111928,2591
0001113169,1554
0001113232,139
0001114483,1410
0001114925,51
0001114936,223
0001114995,2602
0001116132,1393
0001116463,1580
0001116942,2565
0001117057,637
0001117171,2596
0001117297,1985
0001119643,551
0001120193,1546
0001120970,873
0001121484,107
0001121788,1200
0001122904,109
0001122976,371
0001123360,2146
0001123494,791
0001124105,505
0001124198,1127
0001124524,442
0001124796,2503
0001125345,299
0001125376,602
0001127475,744
0001127537,1224
0001128928,675
0001130310,1700
0001130464,1691
0001130713,2655
0001132105,2667
0001133062,2063
0001133311,2076
0001133421,1188
0001136869,1206
0001136893,2038
0001137091,136
0001137789,47
0001138118,1583
0001138476,615
0001138723,1488
0001139685,2250
0001140102,1947
0001140215,712
0001140536,1117
0001140859,946
0001141103,2054
0001141197,800
0001141284,2485
0001141391,1982
0001142417,175
0001142750,1892
0001144215,2556
0001144879,2162
0001144980,1779
0001145197,1263
0001145255,1588
0001145986,699
0001156039,1434
0001156041,2594
0001156375,1559
0001157408,897
0001157601,345
0001158114,2568
0001158172,2088
0001158449,1765
0001158463,721
0001158780,2303
0001159036,454
0001160420,323
0001160791,2764
0001162194,322
0001163609,692
0001163739,822
0001165002,1592
0001166003,277
0001166691,194
0001166708,1186
0001167419,2733
0001169138,2309
0001169445,2111
0001171155,274
0001171326,1300
0001171759,1417
0001173489,2036
0001173514,132
0001175454,1878
0001176334,958
0001177394,1005
0001177609,1177
0001177648,316
0001177702,1333
0001179929,1448
0001180262,943
0001185348,2709
0001190370,1527
0001192448,1144
0001193311,1687
0001196298,1489
0001200375,290
0001201792,886
0001206264,1103
0001210677,1896
0001210708,2083
0001211583,380
0001211805,1841
0001213037,2780
0001213809,270
0001217234,574
0001218683,2734
0001219601,767
0001224133,1934
0001224608,1301
0001227636,1119
0001227654,2447
0001228627,535
0001230058,698
0001230524,747
0001232524,338
0001232582,2431
0001235468,1961
0001235912,1036
0001236275,726
0001237831,1192
0001254699,2660
0001257640,457
0001260221,2189
0001261333,1913
0001261654,904
0001262039,80
0001262823,456
0001262976,911
0001265521,30
0001267565,394
0001269026,2232
0001270436,1514
0001271833,179
0001272842,2526
0001274494,2528
0001274737,591
0001275158,1249
0001275187,1358
0001276187,1716
0001278021,1566
0001278027,694
0001280058,1856
0001280263,2514
0001280452,2539
0001282224,1167
0001282637,435
0001282648,849
0001283699,188
0001285550,1205
0001285785,486
0001286139,2091
0001286613,890
0001286681,936
0001287098,891
0001287213,60
0001288403,799
0001288469,2493
0001288847,1875
0001289340,1545
0001289419,1547
0001289460,1408
0001289490,2417
0001289848,985
0001289945,199
0001290900,2163
0001294133,1319
0001295514,714
0001297184,477
0001297937,2279
0001297989,2004
0001297996,2367
0001299130,554
0001299969,1613
0001300514,1386
0001301787,1025
0001304161,953
0001306830,408
0001307748,2399
0001307954,452
0001308027,2460
0001308208,1412
0001308547,2394
0001309108,2048
0001309402,350
0001310383,2435
0001310630,5
0001311370,1552
0001314102,2762
0001314196,2197
0001314727,2511
0001315061,814
0001315098,1922
0001315257,1380
0001316835,1381
0001317630,1715
0001317685,92
0001317945,778
0001318008,1046
0001318220,1727
0001318484,1045
0001318605,2177
0001319161,2283
0001319947,1040
0001320350,925
0001320414,610
0001320760,976
0001320854,2219
0001321655,1811
0001321732,1342
0001323468,938
0001323885,1163
0001324404,356
0001324424,268
0001324759,526
0001325618,1165
0001325702,2590
0001325964,2445
0001326110,288
0001326200,1098
0001326205,532
0001326380,1153
0001326706,2265
0001326732,636
0001326801,2039
0001327567,143
0001327811,1849
0001327978,2362
0001328581,1031
0001329606,1681
0001332174,1579
0001332349,589
0001333274,1479
0001333493,1219
0001333822,2621
0001334036,740
0001334325,1102
0001334978,2089
0001335258,2299
0001336047,1694
0001336920,2040
0001337013,1199
0001337298,332
0001337634,2294
0001338474,824
0001339005,629
0001340476,2113
0001341439,1992
0001341766,665
0001342423,1853
0001342916,2767
0001342958,2560
0001345016,1141
0001345126,1283
0001347178,478
0001348362,2638
0001349436,803
0001349706,2605
0001350102,226
0001350593,752
0001351636,2151
0001352010,1995
0001352190,837
0001352952,20
0001354866,2585
0001355096,2673
0001355790,411
0001355839,1843
0001355848,1526
0001356090,235
0001356115,2415
0001356576,400
0001357615,1140
0001357671,2696
0001357874,11
0001360214,487
0001360442,1563
0001360565,1946
0001361538,1176
0001361658,1463
0001362004,983
0001362190,2118
0001362468,717
0001364397,827
0001364954,881
0001365135,2109
0001366868,157
0001367644,479
0001367993,1840
0001368265,923
0001368458,2672
0001368514,349
0001368757,2380
0001369290,1173
0001369568,392
0001370053,492
0001370450,984
0001370637,1818
0001370946,1438
0001371285,1313
0001371451,363
0001371489,973
0001372299,523
0001372612,1893
0001373715,2049
0001374567,1179
0001374881,1516
0001375365,67
0001376139,1360
0001376231,2226
0001376321,1767
0001376339,1624
0001376793,2743
0001377149,2525
0001377630,2126
0001378325,1744
0001378590,1874
0001378950,1764
0001380106,1507
0001381531,1510
0001382101,295
0001382574,17
0001383312,2035
0001383650,1763
0001384101,576
0001384195,1634
0001384905,1905
0001385157,991
0001385662,826
0001385818,498
0001385849,2442
0001386044,2695
0001386278,2712
0001386301,1923
0001386570,471
0001387467,2581
0001388295,2314
0001388658,1091
0001389170,1649
0001391135,499
0001392380,328
0001392694,173
0001393052,2017
0001393311,2389
0001393434,529
0001393584,1835
0001393781,42
0001393883,1791
0001394056,40
0001394638,859
0001395937,266
0001395942,1768
0001396009,2451
0001396536,2249
0001396814,402
0001397016,1394
0001397183,1820
0001397187,1482
0001398659,981
0001398733,294
0001398805,2495
0001399520,1341
0001400891,170
0001401257,89
0001401521,1336
0001401667,482
0001401914,22
0001402057,2678
0001402328,443
0001402436,2000
0001402829,1142
0001403161,1880
0001403568,2674
0001404655,1888
0001404804,2237
0001405495,2433
0001406666,166
0001407704,2335
0001408075,1495
0001408198,1942
0001408710,2564
0001409171,2676
0001409947,844
0001410098,437
0001410384,1847
0001410428,1603
0001410636,1701
0001411057,919
0001411207,2230
0001411579,1159
0001411690,1085
0001412408,1876
0001412502,2413
0001413329,1422
0001413447,2501
0001414382,26
0001414953,682
0001415404,163
0001417663,1557
0001417926,1442
0001418121,2398
0001418135,681
0001418819,192
0001419275,913
0001419612,2496
0001419793,39
0001419951,2259
0001420520,12
0001420800,1111
0001421517,70
0001422143,346
0001422892,256
0001422930,2110
0001423221,1345
0001423902,1737
0001424768,1086
0001424929,1801
0001425205,303
0001425287,872
0001425292,381
0001425355,2779
0001425450,1133
0001425627,2308
0001427570,2446
0001428336,1929
0001428439,164
0001429260,306
0001429393,2470
0001429764,2487
0001430306,329
0001432133,1999
0001433195,1932
0001433270,798
0001433551,830
0001433607,704
0001433660,49
0001434070,818
0001434316,462
0001434588,892
0001434621,2702
0001434728,1751
0001434868,347
0001435064,1617
0001436126,968
0001436208,1229
0001437107,204
0001437226,967
0001437402,364
0001437578,1047
0001437750,2795
0001437925,1897
0001438133,944
0001438231,1796
0001438423,2587
0001438472,1540
0001438533,348
0001438943,1806
0001439222,253
0001439264,2708
0001439288,71
0001439725,572
0001441236,1357
0001441683,1962
0001441816,1904
0001442145,1984
0001442236,1638
0001443863,557
0001445305,1821
0001446847,302
0001447028,236
0001447362,579
0001447669,1908
0001448431,1848
0001449349,534
0001449792,2608
0001450704,1659
0001451505,796
0001451809,2492
0001453593,1551
0001453687,2788
0001454938,1885
0001455863,2397
0001456189,2175
0001457919,852
0001459200,2030
0001459839,1146
0001460329,1925
0001462056,1850
0001462223,853
0001462418,2097
0001463000,1610
0001463101,2612
0001463972,2489
0001464521,1481
0001464790,926
0001466258,1328
0001466593,1698
0001467373,2009
0001467623,2072
0001467761,4
0001467858,2201
0001468327,2649
0001468328,603
0001468929,1476
0001469367,2504
0001469443,922
0001471727,700
0001473334,1575
0001473490,2640
0001474098,2358
0001474167,963
0001474432,53
0001474735,2552
0001474903,1987
0001476045,2423
0001476840,2065
0001477294,1220
0001477333,1976
0001477449,581
0001477720,1830
0001477815,1468
0001478242,992
0001478320,343
0001479615,21
0001479681,2032
0001481582,998
0001481792,912
0001482554,1809
0001484612,1440
0001484769,1322
0001484778,2680
0001486159,842
0001486957,119
0001487197,649
0001487952,2567
0001488139,1435
0001488917,1139
0001489393,412
0001489874,546
0001489993,955
0001490281,2103
0001490978,409
0001492422,326
0001492691,1391
0001493137,1136
0001493594,2545
0001493761,2616
0001494259,2115
0001494558,884
0001494582,1612
0001494891,1794
0001495231,2124
0001495320,1069
0001495932,1598
0001496443,1860
0001497645,2410
0001498828,2384
0001499200,1761
0001499832,198
0001500198,921
0001500217,2438
0001500412,2521
0001500435,1581
0001500881,2763
0001501585,2200
0001501697,287
0001501989,525
0001502292,1072
0001502557,2461
0001503274,1597
0001503802,340
0001504776,1287
0001505155,1844
0001505497,221
0001505952,1926
0001506293,2096
0001506307,1668
0001506492,1602
0001506929,7
0001507079,1270
0001507605,2741
0001510295,1312
0001510964,470
0001511737,2546
0001511820,1673
0001512673,2120
0001514183,2313
0001514416,2003
0001514443,2114
0001514705,1382
0001514991,195
0001515139,2301
0001515673,484
0001517022,490
0001517175,939
0001517228,2519
0001517302,1571
0001517375,1914
0001518461,2500
0001519061,418
0001519472,1084
0001519751,1437
0001520006,868
0001520118,2693
0001520262,481
0001520358,670
0001521036,460
0001521332,2209
0001522540,1831
0001522727,1708
0001522767,401
0001524025,977
0001524472,95
0001525221,719
0001525306,969
0001525769,1451
0001526113,2339
0001526520,2085
0001527352,2754
0001527541,2422
0001527702,178
0001527753,634
0001527762,2490
0001528287,1346
0001528356,1753
0001528396,1891
0001529113,539
0001529628,2448
0001529864,2710
0001530804,399
0001530950,667
0001530979,2685
0001531152,1354
0001531177,1070
0001532286,855
0001533758,162
0001533924,929
0001534154,646
0001534504,1124
0001534525,315
0001534675,1389
0001534708,2694
0001534969,2793
0001535955,555
0001537054,183
0001537435,145
0001538379,2125
0001539838,871
0001540684,23
0001541401,2376
0001542447,2357
0001543151,1930
0001544522,1966
0001546296,2239
0001546417,1392
0001546853,2131
0001547459,1272
0001549346,2145
0001549595,556
0001549966,1614
0001550913,2338
0001551152,434
0001551306,588
0001552000,1467
0001552033,2092
0001552275,1298
0001552797,1486
0001553079,2377
0001553788,2782
0001555017,784
0001555279,1359
0001556739,1927
0001557376,313
0001557746,304
0001557798,37
0001558569,2455
0001559053,228
0001559432,1787
0001559720,1972
0001559865,2093
0001560258,1231
0001560293,733
0001560327,2025
0001560385,158
0001561032,2411
0001561550,1953
0001561680,2327
0001561921,1235
0001562088,1917
0001562151,654
0001562733,491
0001563190,1622
0001563665,248
0001563922,1644
0001564408,1867
0001564902,2298
0001565687,2106
0001566011,1125
0001566044,307
0001566610,2698
0001566826,945
0001567683,1657
0001568100,1828
0001568385,1833
0001568651,1214
0001569187,1569
0001569345,1907
0001570562,366
0001570585,187
0001570827,1576
0001570937,1180
0001571123,1945
0001571949,1519
0001571996,65
0001573221,2647
0001574085,2368
0001574094,246
0001575515,1294
0001575828,823
0001575965,2349
0001576280,575
0001576427,2119
0001576873,2317
0001576942,2657
0001577445,2746
0001578732,1556
0001579091,1911
0001579157,1042
0001579214,2132
0001579241,2070
0001579428,365
0001579733,695
0001579877,2351
0001579878,2231
0001580560,1834
0001580670,2322
0001580808,62
0001580905,2324
0001581091,1646
0001581552,839
0001581760,2116
0001581990,1399
0001582961,2094
0001582982,2099
0001583107,337
0001583708,1866
0001584549,1609
0001585364,495
0001585389,2420
0001585521,1921
0001585608,260
0001585689,1411
0001587523,2527
0001588014,1990
0001588978,1258
0001589149,907
0001589150,510
0001589526,2179
0001590418,2477
0001590560,241
0001590584,1321
0001590714,423
0001590877,566
0001590895,1462
0001590955,1965
0001590976,2224
0001591698,1939
0001591890,2784
0001591956,2726
0001593001,8
0001593184,1812
0001593549,2268
0001594805,1936
0001595974,1912
0001596532,102
0001596961,1978
0001596993,1052
0001597033,1958
0001597672,1550
0001597846,1279
0001598665,1252
0001598981,2557
0001599117,211
0001599407,1073
0001599617,135
0001600222,899
0001600347,790
0001600620,353
0001600626,2340
0001600641,2644
0001600983,2483
0001601046,1122
0001601548,982
0001601830,544
0001603015,2044
0001603145,1053
0001604464,545
0001604665,378
0001604821,590
0001604868,1075
0001605331,2341
0001605888,1941
0001606163,1483
0001606268,1760
0001606498,1310
0001606757,2569
0001606909,1499
0001607962,2164
0001609151,1882
0001609253,2275
0001609550,1274
0001609711,1933
0001609804,451
0001610853,794
0001611046,1783
0001611052,1886
0001611115,580
0001611647,659
0001613780,887
0001614178,1924
